_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-01,57491,100227,55432.0,35844,80632.0,57566,45932,16.5,16.9,16.5,20.0,15.9,15.9,15.8,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,238.0,206.0,32.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-02,58226,100594,56080.0,36264,82052.0,58570,46744,16.7,16.9,16.7,20.2,16.2,16.2,16.1,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,286.0,242.0,44.0,1.3,0.4,1.2,1.2,1.8,1.7,1.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-03,58053,99960,55891.0,36177,81946.0,58417,46740,16.7,16.8,16.6,20.2,16.2,16.1,16.1,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,425.0,344.0,81.0,-0.3,-0.6,-0.3,-0.2,-0.1,-0.3,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-04,58419,100130,56249.0,36465,82427.0,58863,47168,16.8,16.8,16.7,20.3,16.2,16.2,16.2,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,340.0,271.0,69.0,0.6,0.2,0.6,0.8,0.6,0.8,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-05,58481,100204,56345.0,36532,82284.0,58971,47187,16.8,16.9,16.8,20.4,16.2,16.3,16.2,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,389.0,298.0,91.0,0.1,0.1,0.2,0.2,-0.2,0.2,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-06,58342,100085,56230.0,36529,81973.0,58891,46940,16.8,16.8,16.7,20.4,16.2,16.2,16.1,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,412.0,318.0,94.0,-0.2,-0.1,-0.2,0.0,-0.4,-0.1,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-07,59394,102285,57238.0,36915,83485.0,59919,47716,17.1,17.2,17.0,20.6,16.5,16.5,16.4,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,419.0,366.0,53.0,1.8,2.2,1.8,1.1,1.8,1.7,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-08,59476,103021,57310.0,36706,83650.0,59856,47707,17.1,17.3,17.0,20.4,16.5,16.5,16.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,385.0,327.0,58.0,0.1,0.7,0.1,-0.6,0.2,-0.1,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-09,59862,103941,57744.0,36735,83797.0,60204,47997,17.2,17.5,17.2,20.5,16.5,16.6,16.5,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,408.0,334.0,74.0,0.6,0.9,0.8,0.1,0.2,0.6,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-10,58330,101272,56215.0,35897,81977.0,58794,46631,16.8,17.0,16.7,20.0,16.2,16.2,16.0,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,362.0,319.0,43.0,-2.6,-2.6,-2.6,-2.3,-2.2,-2.3,-2.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-11,58445,101374,56286.0,36149,82393.0,58979,46651,16.8,17.1,16.7,20.1,16.2,16.3,16.0,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,377.0,312.0,65.0,0.2,0.1,0.1,0.7,0.5,0.3,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1995-12,58515,101239,56238.0,36212,83211.0,59123,46762,16.8,17.0,16.7,20.2,16.4,16.3,16.1,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,401.0,297.0,104.0,0.1,-0.1,-0.1,0.2,1.0,0.2,0.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-01,59040,102377,56639.0,36308,84624.0,59575,47215,17.0,17.2,16.8,20.2,16.7,16.4,16.2,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,279.0,255.0,24.0,0.9,1.1,0.7,0.3,1.7,0.8,1.0,2.7,2.1,2.2,1.3,5.0,3.5,2.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-02,57971,100389,55512.0,35520,83738.0,58569,46409,16.7,16.9,16.5,19.8,16.5,16.2,16.0,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,312.0,277.0,35.0,-1.8,-1.9,-2.0,-2.2,-1.0,-1.7,-1.7,-0.4,-0.2,-1.0,-2.1,2.1,0.0,-0.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-03,57258,99477,54751.0,34832,83215.0,57899,45721,16.5,16.7,16.3,19.4,16.4,16.0,15.7,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,369.0,314.0,55.0,-1.2,-0.9,-1.4,-1.9,-0.6,-1.1,-1.5,-1.4,-0.5,-2.0,-3.7,1.5,-0.9,-2.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-04,57191,99086,54711.0,34894,82920.0,57822,45773,16.4,16.7,16.3,19.4,16.3,16.0,15.7,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,409.0,356.0,53.0,-0.1,-0.4,-0.1,0.2,-0.4,-0.1,0.1,-2.1,-1.0,-2.7,-4.3,0.6,-1.8,-3.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-05,58378,101072,55927.0,35620,83981.0,58932,46828,16.8,17.0,16.6,19.8,16.6,16.3,16.1,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,506.0,421.0,85.0,2.1,2.0,2.2,2.1,1.3,1.9,2.3,-0.2,0.9,-0.7,-2.5,2.1,-0.1,-0.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-06,59553,103068,57084.0,36613,85418.0,60019,47799,17.1,17.3,17.0,20.4,16.8,16.6,16.4,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,460.0,347.0,113.0,2.0,2.0,2.1,2.8,1.7,1.8,2.1,2.1,3.0,1.5,0.2,4.2,1.9,1.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-07,60008,104138,57549.0,36718,85839.0,60501,48063,17.2,17.5,17.1,20.5,16.9,16.7,16.5,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,540.0,478.0,62.0,0.8,1.0,0.8,0.3,0.5,0.8,0.6,1.0,1.8,0.5,-0.5,2.8,1.0,0.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-08,60613,105794,58103.0,36793,86920.0,61044,48404,17.4,17.8,17.3,20.5,17.1,16.8,16.6,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,542.0,469.0,73.0,1.0,1.6,1.0,0.2,1.3,0.9,0.7,1.9,2.7,1.4,0.2,3.9,2.0,1.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-09,60961,106819,58477.0,36682,87095.0,61300,48655,17.5,18.0,17.4,20.4,17.2,16.9,16.7,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,451.0,378.0,73.0,0.6,1.0,0.6,-0.3,0.2,0.4,0.5,1.8,2.8,1.3,-0.1,3.9,1.8,1.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-10,61013,107106,58531.0,36613,87132.0,61369,48619,17.5,18.0,17.4,20.4,17.2,16.9,16.7,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,507.0,454.0,53.0,0.1,0.3,0.1,-0.2,0.0,0.1,-0.1,4.6,5.8,4.1,2.0,6.3,4.4,4.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-11,60684,106270,58225.0,36563,86586.0,61079,48402,17.4,17.9,17.3,20.4,17.1,16.8,16.6,1996-11,1,1996-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,528.0,456.0,72.0,-0.5,-0.8,-0.5,-0.1,-0.6,-0.5,-0.4,3.8,4.8,3.4,1.1,5.1,3.6,3.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1996-12,60704,105981,58257.0,36536,86509.0,61250,48450,17.4,17.8,17.3,20.4,17.1,16.9,16.7,1996-12,1,1996-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,521.0,415.0,106.0,0.0,-0.3,0.1,-0.1,-0.1,0.3,0.1,3.7,4.7,3.6,0.9,4.0,3.6,3.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-01,60883,106216,58464.0,36553,86478.0,61361,48709,17.5,17.9,17.4,20.4,17.0,16.9,16.8,1997-01,1,1997-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,400.0,357.0,43.0,0.3,0.2,0.4,0.0,0.0,0.2,0.5,3.1,3.8,3.2,0.7,2.2,3.0,3.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-02,61371,107287,58926.0,36784,87288.0,61856,49004,17.6,18.0,17.5,20.5,17.2,17.1,16.9,1997-02,1,1997-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,373.0,334.0,39.0,0.8,1.0,0.8,0.6,0.9,0.8,0.6,5.9,6.9,6.1,3.6,4.2,5.6,5.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-03,62381,109127,59873.0,37455,88958.0,62716,49859,17.9,18.4,17.8,20.9,17.5,17.3,17.1,1997-03,1,1997-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,429.0,362.0,67.0,1.6,1.7,1.6,1.8,1.9,1.4,1.7,8.9,9.7,9.4,7.5,6.9,8.3,9.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-04,63509,110807,60937.0,38205,90754.0,63986,50754,18.2,18.6,18.1,21.3,17.9,17.7,17.5,1997-04,1,1997-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,513.0,436.0,77.0,1.8,1.5,1.8,2.0,2.0,2.0,1.8,11.0,11.8,11.4,9.5,9.4,10.7,10.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-05,64820,112859,62236.0,38796,92224.0,65433,51865,18.6,19.0,18.5,21.6,18.2,18.1,17.8,1997-05,1,1997-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,544.0,468.0,76.0,2.1,1.9,2.1,1.5,1.6,2.3,2.2,11.0,11.7,11.3,8.9,9.8,11.0,10.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-06,65199,113752,62652.0,38710,92246.0,65907,52108,18.7,19.1,18.6,21.6,18.2,18.2,17.9,1997-06,1,1997-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,602.0,485.0,117.0,0.6,0.8,0.7,-0.2,0.0,0.7,0.5,9.5,10.4,9.8,5.7,8.0,9.8,9.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/1997-07,66908,117086,64349.0,39392,94136.0,67563,53497,19.2,19.7,19.1,21.9,18.6,18.6,18.4,1997-07,1,1997-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,658.0,586.0,72.0,2.6,2.9,2.7,1.8,2.0,2.5,2.7,11.5,12.4,11.8,7.3,9.7,11.7,11.3,,
