_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-01,295563,507604,281312.0,159120,440036.0,305784,243204,84.9,85.4,83.7,88.6,86.7,84.4,83.6,-2.9,-3.0,-2.8,-4.4,-2.8,-2.5,-2.4,0.2,0.4,0.1,-0.1,1.0,0.2,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,374.0,302.0,72.0,89.0,277.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-02,297083,510676,282501.0,159089,446195.0,307419,244729,85.4,85.9,84.0,88.6,88.0,84.8,84.2,-1.8,-2.0,-1.5,-3.8,-2.6,-1.5,-1.1,0.5,0.6,0.4,0.0,1.4,0.5,0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,312.0,237.0,75.0,71.0,228.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-03,296809,511400,281500.0,158186,451700.0,307480,244099,85.3,86.0,83.7,88.1,89.0,84.8,83.9,-1.4,-1.6,-1.2,-3.2,-1.3,-1.0,-0.7,-0.1,0.1,-0.4,-0.6,1.2,0.0,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,419.0,314.0,105.0,75.0,327.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-04,296642,512472,281070.0,157186,452698.0,307057,244034,85.2,86.2,83.6,87.6,89.2,84.7,83.9,0.2,0.4,0.3,-2.1,0.2,0.4,0.6,-0.1,0.2,-0.2,-0.6,0.2,-0.1,0.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,179.0,139.0,40.0,33.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-05,294885,509990,278311.0,156365,454952.0,305506,241951,84.7,85.8,82.8,87.1,89.7,84.3,83.2,1.3,1.9,0.8,-0.7,3.4,1.6,1.1,-0.6,-0.5,-1.0,-0.5,0.5,-0.5,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,215.0,178.0,37.0,44.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-06,296130,510555,280431.0,156713,452693.0,307098,243815,85.1,85.9,83.4,87.3,89.2,84.7,83.8,1.7,2.2,1.3,-0.8,3.7,2.1,1.7,0.4,0.1,0.8,0.2,-0.5,0.5,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,345.0,270.0,75.0,76.0,264.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-07,297194,510846,282261.0,157995,450567.0,308331,244966,85.4,85.9,83.9,88.0,88.8,85.1,84.2,1.3,1.4,1.3,-0.8,2.2,1.9,1.5,0.4,0.1,0.7,0.8,-0.5,0.4,0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,339.0,270.0,69.0,61.0,270.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-08,301504,518452,287052.0,159000,453929.0,312853,249230,86.6,87.2,85.4,88.6,89.5,86.3,85.7,1.6,1.6,1.8,-1.0,1.9,2.2,2.0,1.5,1.5,1.7,0.6,0.7,1.5,1.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,366.0,291.0,75.0,80.0,283.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-09,304040,524961,288937.0,159336,460070.0,315300,250940,87.4,88.3,85.9,88.8,90.7,87.0,86.3,2.9,3.2,3.1,-0.2,3.0,3.5,3.0,0.8,1.3,0.7,0.2,1.4,0.8,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,379.0,298.0,81.0,69.0,294.0
http://landregistry.data.gov.uk/data/ukhpi/region/central-bedfordshire/month/2020-10,301110,520805,286829.0,156727,452633.0,312135,248853,86.5,87.6,85.3,87.3,89.2,86.1,85.6,2.1,2.9,2.5,-1.4,2.0,2.5,2.4,-1.0,-0.8,-0.7,-1.6,-1.6,-1.0,-0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/central-bedfordshire,476.0,387.0,89.0,91.0,367.0
