_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-01,179938,242754,179722.0,91576,328771.0,153047,133090,73.5,73.2,73.5,76.7,75.9,73.8,72.6,-1.1,-1.2,-1.1,-2.9,-0.8,-0.6,-0.6,-1.2,-1.2,-1.2,-1.4,-0.5,-1.2,-1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,76.0,74.0,2.0,48.0,26.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-02,183543,247473,183233.0,93403,338401.0,155983,136092,74.9,74.7,74.9,78.3,78.1,75.2,74.3,0.6,0.4,0.6,-1.5,-0.2,1.0,1.3,2.0,1.9,2.0,2.0,2.9,1.9,2.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,62.0,61.0,1.0,25.0,36.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-03,180854,243747,180459.0,92098,337904.0,153735,134204,73.8,73.5,73.8,77.2,78.0,74.1,73.2,1.7,1.4,1.7,0.1,1.7,2.0,2.5,-1.5,-1.5,-1.5,-1.4,-0.1,-1.4,-1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,66.0,66.0,,34.0,29.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-04,182677,246263,182252.0,92516,344379.0,155133,135770,74.6,74.3,74.5,77.5,79.5,74.8,74.1,2.3,2.1,2.2,0.3,2.8,2.5,2.9,1.0,1.0,1.0,0.5,1.9,0.9,1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,29.0,29.0,,12.0,16.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-05,184663,248735,184168.0,93780,355918.0,157230,137063,75.4,75.0,75.3,78.6,82.1,75.8,74.8,3.7,3.6,3.6,2.1,7.5,4.0,3.8,1.1,1.0,1.1,1.4,3.4,1.4,1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,27.0,27.0,,16.0,9.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-06,187253,252008,186782.0,94886,357361.0,159695,139111,76.5,76.0,76.4,79.5,82.5,77.0,75.9,3.6,3.5,3.4,1.5,7.5,4.1,3.6,1.4,1.3,1.4,1.2,0.4,1.6,1.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,36.0,36.0,,18.0,16.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-07,193178,260060,192742.0,98224,362618.0,164682,143359,78.9,78.5,78.8,82.3,83.7,79.4,78.2,9.1,9.2,9.0,6.8,10.8,9.5,8.8,3.2,3.2,3.2,3.5,1.5,3.1,3.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,67.0,67.0,,33.0,33.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-08,190829,256964,190459.0,96243,351096.0,162571,141856,77.9,77.5,77.9,80.6,81.0,78.4,77.4,6.9,6.9,6.9,4.4,7.2,7.4,6.9,-1.2,-1.2,-1.2,-2.0,-3.2,-1.3,-1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,54.0,53.0,1.0,29.0,24.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-09,193030,260239,192661.0,96846,354525.0,164144,143465,78.8,78.5,78.8,81.1,81.8,79.1,78.3,7.5,7.7,7.5,4.8,6.9,8.0,7.4,1.2,1.3,1.2,0.6,1.0,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,73.0,73.0,,30.0,40.0
http://landregistry.data.gov.uk/data/ukhpi/region/ceredigion/month/2020-10,190831,257766,190506.0,95039,345936.0,161848,141719,77.9,77.8,77.9,79.6,79.8,78.0,77.3,5.0,5.3,5.0,2.1,3.6,5.0,5.0,-1.1,-1.0,-1.1,-1.9,-2.4,-1.4,-1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/ceredigion,121.0,121.0,,63.0,58.0
