_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-01,52814,103939,52927.0,39661,35385.0,60831,48223,16.2,16.4,16.1,18.6,15.0,15.6,15.1,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,103.0,88.0,15.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-02,51651,100625,51739.0,38780,34788.0,59728,47214,15.8,15.8,15.8,18.2,14.8,15.3,14.8,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,152.0,130.0,22.0,-2.2,-3.2,-2.2,-2.2,-1.7,-1.8,-2.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-03,52260,101531,52335.0,39195,35312.0,60402,47884,16.0,16.0,16.0,18.4,15.0,15.5,15.0,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,185.0,154.0,31.0,1.2,0.9,1.2,1.1,1.5,1.1,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-04,52671,101754,52748.0,39630,35578.0,60877,48305,16.1,16.0,16.1,18.6,15.1,15.6,15.2,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,167.0,148.0,19.0,0.8,0.2,0.8,1.1,0.8,0.8,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-05,54300,104805,54389.0,40929,36601.0,62675,49839,16.6,16.5,16.6,19.2,15.5,16.0,15.6,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,172.0,149.0,23.0,3.1,3.0,3.1,3.3,2.9,3.0,3.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-06,54871,105718,54972.0,41616,36891.0,63329,50237,16.8,16.7,16.8,19.6,15.7,16.2,15.8,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,184.0,151.0,33.0,1.1,0.9,1.1,1.7,0.8,1.0,0.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-07,55336,107022,55440.0,41770,37191.0,63912,50668,17.0,16.9,16.9,19.6,15.8,16.4,15.9,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,196.0,185.0,11.0,0.8,1.2,0.9,0.4,0.8,0.9,0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-08,55742,108484,55852.0,41873,37419.0,64367,51036,17.1,17.1,17.0,19.7,15.9,16.5,16.0,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,169.0,155.0,14.0,0.7,1.4,0.7,0.2,0.6,0.7,0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-09,56996,111348,57135.0,42613,38050.0,65776,52252,17.5,17.5,17.4,20.0,16.1,16.8,16.4,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,160.0,147.0,13.0,2.2,2.6,2.3,1.8,1.7,2.2,2.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-10,58692,114719,58807.0,44051,39412.0,67790,53638,18.0,18.1,17.9,20.7,16.7,17.3,16.8,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,170.0,158.0,12.0,3.0,3.0,2.9,3.4,3.6,3.1,2.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-11,58193,113584,58285.0,43974,39253.0,67220,53010,17.8,17.9,17.8,20.7,16.7,17.2,16.6,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,174.0,161.0,13.0,-0.9,-1.0,-0.9,-0.2,-0.4,-0.8,-1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1995-12,55663,108420,55698.0,42123,37974.0,64375,50656,17.1,17.1,17.0,19.8,16.1,16.5,15.9,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,176.0,165.0,11.0,-4.3,-4.5,-4.4,-4.2,-3.3,-4.2,-4.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1996-01,53488,104362,53483.0,40267,36812.0,61854,48783,16.4,16.4,16.3,18.9,15.6,15.8,15.3,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,122.0,114.0,8.0,-3.9,-3.7,-4.0,-4.4,-3.1,-3.9,-3.7,1.3,0.4,1.0,1.5,4.0,1.7,1.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1996-02,53162,103551,53125.0,39856,36809.0,61529,48603,16.3,16.3,16.2,18.7,15.6,15.7,15.3,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,106.0,96.0,10.0,-0.6,-0.8,-0.7,-1.0,0.0,-0.5,-0.4,2.9,2.9,2.7,2.8,5.8,3.0,2.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1996-03,54232,105874,54174.0,40596,37683.0,62820,49533,16.6,16.7,16.5,19.1,16.0,16.1,15.5,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,171.0,162.0,9.0,2.0,2.2,2.0,1.9,2.4,2.1,1.9,3.8,4.3,3.5,3.6,6.7,4.0,3.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/cheltenham/month/1996-04,53402,103710,53352.0,40251,37014.0,61726,48816,16.4,16.3,16.3,18.9,15.7,15.8,15.3,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheltenham,190.0,182.0,8.0,-1.5,-2.0,-1.5,-0.8,-1.8,-1.7,-1.4,1.4,1.9,1.1,1.6,4.0,1.4,1.1,,
