_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-01,219913,359891,213247.0,122872,290231.0,207170,157864,79.5,79.7,78.5,83.0,81.5,79.2,78.1,0.1,-0.1,0.2,-1.4,0.1,0.7,0.5,-1.1,-1.0,-1.2,-1.4,-0.3,-1.1,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,493.0,424.0,69.0,150.0,335.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-02,218939,358417,212225.0,122036,291473.0,206107,157379,79.1,79.4,78.2,82.4,81.8,78.8,77.9,1.4,1.1,1.7,-0.3,0.4,1.9,2.1,-0.4,-0.4,-0.5,-0.7,0.4,-0.5,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,510.0,423.0,87.0,148.0,341.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-03,220091,361012,212989.0,122436,296957.0,207086,157918,79.6,80.0,78.4,82.7,83.4,79.2,78.1,2.0,1.7,2.2,0.4,1.8,2.3,2.6,0.5,0.7,0.4,0.3,1.9,0.5,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,548.0,432.0,116.0,143.0,382.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-04,222708,366365,215397.0,122814,301200.0,209272,159787,80.5,81.2,79.3,83.0,84.5,80.0,79.0,2.7,3.0,2.9,0.5,2.5,2.8,3.0,1.2,1.5,1.1,0.3,1.4,1.1,1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,200.0,165.0,35.0,50.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-05,221374,364781,213471.0,122016,302935.0,208096,158296,80.0,80.8,78.6,82.4,85.0,79.6,78.3,0.1,0.8,-0.2,-2.0,2.1,0.1,-0.3,-0.6,-0.4,-0.9,-0.7,0.6,-0.6,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,338.0,308.0,30.0,102.0,228.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-06,220201,361979,212830.0,121186,298646.0,207326,157883,79.6,80.2,78.4,81.9,83.8,79.3,78.1,0.3,1.0,0.1,-2.0,2.3,0.4,0.0,-0.5,-0.8,-0.3,-0.7,-1.4,-0.4,-0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,479.0,409.0,70.0,157.0,315.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-07,219942,360303,213051.0,121995,295642.0,207324,157956,79.5,79.8,78.5,82.4,83.0,79.3,78.1,0.5,0.8,0.6,-1.2,1.3,0.8,0.3,-0.1,-0.5,0.1,0.7,-1.0,0.0,0.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,498.0,427.0,71.0,137.0,346.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-08,227791,373217,221041.0,125667,304014.0,214743,163860,82.3,82.7,81.4,84.9,85.3,82.1,81.1,3.0,3.3,3.2,1.0,3.3,3.4,2.9,3.6,3.6,3.8,3.0,2.8,3.6,3.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,578.0,490.0,88.0,163.0,402.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-09,232988,383166,225820.0,127845,312380.0,219253,167212,84.2,84.9,83.2,86.4,87.7,83.8,82.7,3.6,4.2,3.8,1.2,3.7,4.0,3.2,2.3,2.7,2.2,1.7,2.8,2.1,2.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,636.0,536.0,100.0,192.0,425.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-east/month/2020-10,238372,392528,231455.0,130029,317315.0,224211,171171,86.2,87.0,85.2,87.8,89.1,85.7,84.7,5.1,5.9,5.5,2.1,5.0,5.3,4.9,2.3,2.4,2.5,1.7,1.6,2.3,2.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-east,735.0,641.0,94.0,202.0,517.0
