_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-01,196794,322869,192887.0,110517,271429.0,191987,149311,77.9,78.1,77.3,81.9,80.2,77.5,76.9,3.3,3.0,3.3,1.8,3.2,3.7,3.6,0.8,1.0,0.7,0.5,1.6,0.8,0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,367.0,326.0,41.0,110.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-02,196163,322025,192038.0,109893,272708.0,191276,148957,77.7,77.9,76.9,81.5,80.6,77.2,76.7,2.3,1.8,2.5,0.4,1.1,2.7,2.8,-0.3,-0.3,-0.4,-0.6,0.5,-0.4,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,370.0,335.0,35.0,101.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-03,196127,322610,191584.0,109681,276230.0,191160,148704,77.6,78.1,76.8,81.3,81.6,77.2,76.6,2.0,1.7,2.1,0.3,1.6,2.3,2.5,0.0,0.2,-0.2,-0.2,1.3,-0.1,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,415.0,356.0,59.0,136.0,268.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-04,195372,322164,190725.0,108537,276125.0,190246,148207,77.3,78.0,76.4,80.5,81.6,76.8,76.3,0.6,0.8,0.7,-1.6,0.2,0.8,0.8,-0.4,-0.1,-0.4,-1.0,0.0,-0.5,-0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,135.0,122.0,13.0,32.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-05,196713,324504,191562.0,109362,281619.0,191651,148975,77.9,78.5,76.7,81.1,83.2,77.4,76.7,1.2,1.7,0.9,-0.8,3.2,1.3,1.0,0.7,0.7,0.4,0.8,2.0,0.7,0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,211.0,201.0,10.0,63.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-06,195949,322698,191167.0,108573,277913.0,191220,148579,77.6,78.1,76.6,80.5,82.1,77.2,76.5,1.0,1.5,0.7,-1.5,2.9,1.3,0.8,-0.4,-0.6,-0.2,-0.7,-1.3,-0.2,-0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,319.0,301.0,18.0,80.0,236.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-07,197246,323868,192804.0,109886,276882.0,192672,149661,78.1,78.4,77.2,81.5,81.8,77.8,77.1,1.3,1.5,1.3,-0.7,1.9,1.8,1.2,0.7,0.4,0.9,1.2,-0.4,0.8,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,356.0,332.0,24.0,107.0,241.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-08,200237,329019,196072.0,110702,278425.0,195624,152191,79.3,79.6,78.6,82.1,82.3,79.0,78.4,2.4,2.6,2.5,0.0,2.3,3.0,2.4,1.5,1.6,1.7,0.7,0.6,1.5,1.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,408.0,376.0,32.0,107.0,294.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-09,204288,336821,199886.0,112437,285189.0,199298,155116,80.9,81.5,80.1,83.4,84.3,80.4,79.9,3.7,4.1,3.8,0.8,3.2,4.3,3.3,2.0,2.4,1.9,1.6,2.4,1.9,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,475.0,457.0,18.0,132.0,338.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-10,207917,343665,203745.0,113713,287961.0,202760,157783,82.3,83.2,81.6,84.3,85.1,81.8,81.3,6.4,7.3,6.6,3.0,5.7,6.7,6.1,1.8,2.0,1.9,1.1,1.0,1.7,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,626.0,606.0,20.0,188.0,423.0
http://landregistry.data.gov.uk/data/ukhpi/region/cheshire-west-and-chester/month/2020-11,208983,345585,205218.0,114339,286265.0,203620,158682,82.7,83.6,82.2,84.8,84.6,82.2,81.7,7.2,8.1,7.4,3.8,6.1,7.2,7.2,0.5,0.6,0.7,0.6,-0.6,0.4,0.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/cheshire-west-and-chester,564.0,548.0,16.0,176.0,374.0
