_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-01,238303,527437,228192.0,197919,318471.0,343507,287164,88.1,86.2,87.9,88.6,89.8,87.1,87.5,3.6,6.7,3.4,2.4,5.2,6.0,6.4,0.1,0.6,-0.1,-0.1,1.0,0.2,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,844.0,754.0,90.0,230.0,614.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-02,238429,531930,227892.0,197734,321897.0,344986,287502,88.1,87.0,87.8,88.5,90.8,87.4,87.6,5.2,8.7,5.1,3.9,5.8,7.9,8.0,0.1,0.9,-0.1,-0.1,1.1,0.4,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,587.0,511.0,76.0,162.0,425.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-03,238240,530270,227302.0,197916,325037.0,343972,286234,88.1,86.7,87.5,88.6,91.7,87.2,87.3,4.7,6.9,4.6,4.0,5.3,6.6,6.4,-0.1,-0.3,-0.3,0.1,1.0,-0.3,-0.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,609.0,477.0,132.0,201.0,408.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-04,235552,529221,224569.0,195020,323319.0,341546,284601,87.1,86.5,86.5,87.3,91.2,86.6,86.8,3.8,7.2,3.6,2.7,4.5,6.0,5.6,-1.1,-0.2,-1.2,-1.5,-0.5,-0.7,-0.6,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,268.0,237.0,31.0,58.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-05,237819,535503,226378.0,196637,330380.0,345789,288040,87.9,87.6,87.2,88.0,93.2,87.6,87.8,3.9,8.3,3.4,2.6,7.0,6.5,5.7,1.0,1.2,0.8,0.8,2.2,1.2,1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,335.0,320.0,15.0,87.0,248.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-06,243672,550352,232159.0,201099,336205.0,355722,296113,90.1,90.0,89.4,90.0,94.8,90.2,90.3,5.4,11.6,4.9,3.7,9.0,9.0,7.9,2.5,2.8,2.6,2.3,1.8,2.9,2.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,406.0,377.0,29.0,123.0,283.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-07,247497,554570,236151.0,205039,337493.0,358803,298728,91.5,90.7,90.9,91.8,95.2,90.9,91.1,6.3,11.4,5.9,4.9,8.3,9.3,8.2,1.6,0.8,1.7,2.0,0.4,0.9,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,525.0,447.0,78.0,158.0,367.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-08,246382,547067,235392.0,204486,332545.0,356229,297366,91.1,89.4,90.7,91.5,93.8,90.3,90.6,5.0,9.4,4.7,3.7,6.2,8.1,7.0,-0.5,-1.4,-0.3,-0.3,-1.5,-0.7,-0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,644.0,574.0,70.0,197.0,447.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-09,243435,536555,232531.0,202296,329062.0,351480,293917,90.0,87.7,89.6,90.5,92.8,89.1,89.6,2.2,5.3,2.0,1.1,2.8,5.1,4.0,-1.2,-1.9,-1.2,-1.1,-1.0,-1.3,-1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,1095.0,1010.0,85.0,284.0,811.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-10,244127,534479,233501.0,203007,326596.0,352539,295186,90.3,87.4,89.9,90.9,92.1,89.3,90.0,1.8,3.7,1.7,1.1,1.6,3.8,3.4,0.3,-0.4,0.4,0.4,-0.7,0.3,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,1277.0,1157.0,120.0,329.0,948.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-11,245837,540062,235442.0,204444,325562.0,353952,296964,90.9,88.3,90.7,91.5,91.8,89.7,90.5,1.7,3.1,1.7,1.2,1.1,2.7,3.0,0.7,1.0,0.8,0.7,-0.3,0.4,0.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,1255.0,1171.0,84.0,307.0,948.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2020-12,247145,546972,236797.0,205239,326188.0,355749,298862,91.4,89.4,91.2,91.9,92.0,90.2,91.1,3.8,4.3,3.7,3.6,3.5,3.7,4.4,0.5,1.3,0.6,0.4,0.2,0.5,0.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,1217.0,1105.0,112.0,317.0,900.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-edinburgh/month/2021-01,245487,538679,235638.0,204773,319449.0,350293,294601,90.8,88.1,90.7,91.7,90.1,88.8,89.8,3.0,2.1,3.3,3.5,0.3,2.0,2.6,-0.7,-1.5,-0.5,-0.2,-2.1,-1.5,-1.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-edinburgh,906.0,854.0,52.0,250.0,656.0
