_about,average_price,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_terraced,house_price_index,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_terraced,percentage_annual_change,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_terraced,percentage_change,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-01,764614,767541.0,765058,1033387.0,2848156.0,87.5,87.9,87.6,86.8,83.9,-10.6,-10.7,-10.6,-9.5,-9.4,2.1,1.8,2.1,2.4,1.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,7.0,5.0,2.0,3.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-02,789968,782438.0,790428,1075663.0,2915545.0,90.4,89.6,90.5,90.4,85.9,-10.6,-10.6,-10.6,-10.6,-9.1,3.3,1.9,3.3,4.1,2.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,25.0,15.0,10.0,6.0,13.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-03,837035,818595.0,837521,1150086.0,3068017.0,95.8,93.7,95.9,96.6,90.3,-0.7,-1.1,-0.7,-0.9,0.4,6.0,4.6,6.0,6.9,5.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,17.0,14.0,3.0,9.0,7.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-04,907196,884904.0,907723,1251540.0,3342083.0,103.9,101.3,103.9,105.2,98.4,24.2,24.0,24.2,24.0,26.2,8.4,8.1,8.4,8.8,8.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,14.0,4.0,10.0,9.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-05,906782,880445.0,907309,1259658.0,3307838.0,103.8,100.8,103.9,105.9,97.4,27.5,25.4,27.5,29.3,26.4,0.0,-0.5,0.0,0.6,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,5.0,5.0,,2.0,3.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-06,860840,839156.0,861340,1188859.0,3159115.0,98.6,96.1,98.6,99.9,93.0,14.4,12.3,14.4,15.9,13.5,-5.1,-4.7,-5.1,-5.6,-4.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,3.0,3.0,,1.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-07,777381,761894.0,777833,1064696.0,2854453.0,89.0,87.2,89.1,89.5,84.1,4.1,3.1,4.1,4.3,3.5,-9.7,-9.2,-9.7,-10.4,-9.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,4.0,4.0,,4.0,
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-08,818122,804331.0,818597,1115073.0,3055517.0,93.7,92.1,93.7,93.7,90.0,1.9,1.1,1.9,1.7,2.8,5.2,5.6,5.2,4.7,7.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,7.0,7.0,,5.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-09,791089,776116.0,791549,1081652.0,2966687.0,90.6,88.9,90.6,90.9,87.4,-0.4,-0.6,-0.4,-0.9,1.1,-3.3,-3.5,-3.3,-3.0,-2.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,6.0,6.0,,1.0,5.0
http://landregistry.data.gov.uk/data/ukhpi/region/city-of-london/month/2020-10,814569,802153.0,815042,1107418.0,3085677.0,93.3,91.8,93.3,93.1,90.9,0.5,0.6,0.5,-0.5,3.0,3.0,3.4,3.0,2.4,4.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/city-of-london,7.0,7.0,,3.0,3.0
