_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-01,122378,227218,117485.0,72887,188514.0,131327,100108,79.5,78.4,79.4,82.3,81.7,79.1,78.2,3.0,4.2,3.0,0.5,3.6,3.3,3.3,1.5,1.9,1.4,1.2,2.5,1.4,1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,74.0,69.0,5.0,27.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-02,120651,224822,115682.0,71340,187607.0,129717,98754,78.4,77.5,78.1,80.5,81.3,78.2,77.2,-0.2,1.2,-0.2,-3.2,-0.5,0.2,0.2,-1.4,-1.1,-1.5,-2.1,-0.5,-1.2,-1.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,54.0,44.0,10.0,18.0,36.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-03,122574,228068,117323.0,72476,193242.0,131871,100365,79.7,78.7,79.2,81.8,83.7,79.4,78.4,1.7,2.5,1.6,-0.3,1.7,2.0,2.0,1.6,1.4,1.4,1.6,3.0,1.7,1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,74.0,61.0,13.0,29.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-04,117911,219735,112837.0,69382,186253.0,126857,96901,76.6,75.8,76.2,78.3,80.7,76.4,75.7,-3.1,-1.7,-3.0,-5.3,-3.4,-2.9,-2.8,-3.8,-3.7,-3.8,-4.3,-3.6,-3.8,-3.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,30.0,28.0,2.0,8.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-05,121247,225020,115872.0,71572,193953.0,130482,99823,78.8,77.6,78.3,80.8,84.1,78.6,78.0,-1.8,-0.5,-2.0,-3.9,0.0,-1.5,-1.7,2.8,2.4,2.7,3.2,4.1,2.9,3.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,40.0,37.0,3.0,9.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-06,122961,229177,117624.0,71974,194970.0,132626,101385,79.9,79.0,79.5,81.3,84.5,79.9,79.2,1.2,3.6,0.9,-2.4,3.3,1.7,1.2,1.4,1.8,1.5,0.6,0.5,1.6,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,35.0,32.0,3.0,10.0,25.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-07,127140,237569,121729.0,74604,199898.0,136816,104406,82.6,81.9,82.2,84.2,86.6,82.4,81.6,5.0,7.5,4.8,1.4,6.2,5.5,4.7,3.4,3.7,3.5,3.7,2.5,3.2,3.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,52.0,39.0,13.0,15.0,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-08,126262,235603,121031.0,73982,196300.0,136097,103883,82.1,81.3,81.8,83.5,85.1,82.0,81.2,4.9,7.2,4.8,0.9,5.3,5.7,5.0,-0.7,-0.8,-0.6,-0.8,-1.8,-0.5,-0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,73.0,58.0,15.0,18.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-09,126035,233836,120829.0,74034,195712.0,136049,104076,81.9,80.7,81.6,83.6,84.8,82.0,81.3,2.3,3.8,2.3,-1.1,2.0,3.4,2.7,-0.2,-0.8,-0.2,0.1,-0.3,0.0,0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,105.0,101.0,4.0,34.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/clackmannanshire/month/2020-10,125467,231645,120464.0,73577,192106.0,135897,104146,81.6,79.9,81.4,83.1,83.3,81.9,81.4,0.8,1.7,0.9,-2.2,-0.5,1.9,1.9,-0.5,-0.9,-0.3,-0.6,-1.8,-0.1,0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/clackmannanshire,113.0,102.0,11.0,33.0,80.0
