_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-01,161471,237476,160140.0,103827,249807.0,162906,125769,77.5,76.9,77.2,80.8,80.9,77.2,76.5,3.4,3.2,3.3,1.8,4.2,4.1,3.9,-1.6,-1.5,-1.7,-2.0,-0.8,-1.6,-1.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,157.0,151.0,6.0,76.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-02,158287,233009,156962.0,101469,246647.0,159645,123491,76.0,75.5,75.7,79.0,79.9,75.7,75.1,1.8,1.7,1.8,-0.1,1.1,2.6,2.7,-2.0,-1.9,-2.0,-2.3,-1.3,-2.0,-1.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,147.0,138.0,9.0,69.0,72.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-03,159060,234243,157666.0,101813,250700.0,160467,124121,76.3,75.9,76.0,79.3,81.2,76.1,75.5,2.5,2.2,2.5,0.9,1.7,3.1,3.4,0.5,0.5,0.4,0.3,1.6,0.5,0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,152.0,138.0,14.0,75.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-04,159787,235646,158369.0,101695,252374.0,161164,124982,76.7,76.3,76.4,79.2,81.7,76.4,76.1,1.9,2.0,2.0,0.1,1.1,2.4,2.9,0.5,0.6,0.4,-0.1,0.7,0.4,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,38.0,37.0,1.0,15.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-05,157745,232421,156228.0,100582,252535.0,159172,123333,75.7,75.3,75.3,78.3,81.8,75.5,75.0,-1.1,-1.0,-1.2,-2.7,0.5,-0.7,-0.6,-1.3,-1.4,-1.4,-1.1,0.1,-1.2,-1.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,61.0,57.0,4.0,32.0,28.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-06,153353,225820,151959.0,97506,243220.0,154960,120027,73.6,73.1,73.3,75.9,78.8,73.5,73.0,-2.2,-1.9,-2.2,-4.2,-0.5,-1.7,-1.6,-2.8,-2.8,-2.7,-3.1,-3.7,-2.6,-2.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,79.0,74.0,5.0,32.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-07,151638,223170,150354.0,96790,237691.0,153236,118416,72.8,72.3,72.5,75.3,77.0,72.6,72.1,-3.8,-3.5,-3.8,-5.7,-3.8,-3.3,-3.6,-1.1,-1.2,-1.1,-0.7,-2.3,-1.1,-1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,135.0,131.0,4.0,54.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-08,160066,235808,158806.0,101542,248161.0,161971,125104,76.8,76.4,76.6,79.0,80.4,76.8,76.1,-0.1,0.2,0.0,-2.4,-0.6,0.6,0.2,5.6,5.7,5.6,4.9,4.4,5.7,5.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,110.0,110.0,,56.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-09,165049,243628,163737.0,104271,256238.0,166982,128972,79.2,78.9,79.0,81.2,83.0,79.2,78.5,2.4,3.0,2.5,-0.3,1.3,3.2,2.5,3.1,3.3,3.1,2.7,3.3,3.1,3.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,138.0,134.0,4.0,70.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-10,171808,254484,170544.0,107736,263860.0,173715,134290,82.4,82.4,82.2,83.9,85.5,82.4,81.7,5.4,6.4,5.6,1.9,3.8,6.0,5.7,4.1,4.5,4.2,3.3,3.0,4.0,4.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,181.0,180.0,1.0,93.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-11,174505,258934,173336.0,109349,264768.0,176063,136500,83.7,83.9,83.6,85.1,85.8,83.5,83.1,8.8,9.9,8.9,5.2,6.4,8.9,9.3,1.6,1.7,1.6,1.5,0.3,1.4,1.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,212.0,210.0,2.0,109.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2020-12,175947,261257,174850.0,110075,264680.0,177339,137856,84.4,84.6,84.3,85.7,85.7,84.1,83.9,7.2,8.3,7.4,3.9,5.1,7.1,8.0,0.8,0.9,0.9,0.7,0.0,0.7,1.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,208.0,200.0,8.0,110.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2021-01,175399,259161,174371.0,110846,262045.0,176780,137664,84.2,83.9,84.1,86.3,84.9,83.8,83.8,8.6,9.1,8.9,6.8,4.9,8.5,9.5,-0.3,-0.8,-0.3,0.7,-1.0,-0.3,-0.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,181.0,176.0,5.0,92.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/conwy/month/2021-02,171023,251560,170023.0,109021,255433.0,172333,134537,82.1,81.5,82.0,84.9,82.7,81.7,81.9,8.0,8.0,8.3,7.4,3.6,7.9,8.9,-2.5,-2.9,-2.5,-1.6,-2.5,-2.5,-2.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/conwy,170.0,161.0,9.0,88.0,82.0
