_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-01,227066,345881,225030.0,132799,278272.0,224757,183731,76.1,75.7,75.7,79.7,78.8,76.1,75.4,1.4,1.1,1.3,-0.2,1.5,1.8,1.8,-0.3,-0.3,-0.4,-0.6,0.5,-0.3,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,681.0,639.0,42.0,294.0,365.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-02,226129,344493,223931.0,131838,279601.0,223777,183203,75.8,75.4,75.3,79.1,79.1,75.8,75.2,1.5,1.3,1.6,-0.4,0.6,2.0,2.2,-0.4,-0.4,-0.5,-0.7,0.5,-0.4,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,725.0,672.0,53.0,320.0,372.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-03,228403,348096,225890.0,132860,286192.0,226170,185036,76.6,76.2,76.0,79.7,81.0,76.6,76.0,2.5,2.2,2.6,0.8,2.4,2.9,3.2,1.0,1.0,0.9,0.8,2.4,1.1,1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,743.0,664.0,79.0,325.0,381.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-04,225317,343783,222755.0,130337,283276.0,222999,182771,75.5,75.2,74.9,78.2,80.2,75.5,75.0,2.2,2.2,2.2,0.2,1.9,2.5,2.7,-1.4,-1.2,-1.4,-1.9,-1.0,-1.4,-1.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,251.0,239.0,12.0,95.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-05,227040,345894,224075.0,131781,289677.0,225021,184051,76.1,75.7,75.4,79.1,82.0,76.2,75.5,3.4,3.5,3.2,2.0,5.8,3.8,3.6,0.8,0.6,0.6,1.1,2.3,0.9,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,386.0,367.0,19.0,165.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-06,226171,344334,223472.0,130940,285815.0,224269,183616,75.8,75.4,75.2,78.6,80.9,76.0,75.4,2.7,2.8,2.5,0.9,5.0,3.2,3.0,-0.4,-0.5,-0.3,-0.6,-1.3,-0.3,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,604.0,551.0,53.0,270.0,319.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-07,231062,351762,228593.0,134229,288763.0,229020,187402,77.5,77.0,76.9,80.5,81.7,77.6,76.9,2.5,2.7,2.4,0.8,3.2,2.9,2.5,2.2,2.2,2.3,2.5,1.0,2.1,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,700.0,654.0,46.0,310.0,363.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-08,232388,354316,230204.0,133741,287095.0,230447,188776,77.9,77.6,77.4,80.2,81.3,78.1,77.5,2.5,2.7,2.5,0.1,2.4,3.1,2.7,0.6,0.7,0.7,-0.4,-0.6,0.6,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,658.0,614.0,44.0,294.0,350.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-09,235850,360367,233560.0,135052,292164.0,233818,191523,79.1,78.9,78.6,81.0,82.7,79.2,78.6,2.8,3.2,2.9,0.1,2.3,3.5,2.9,1.5,1.7,1.5,1.0,1.8,1.5,1.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,765.0,690.0,75.0,373.0,376.0
http://landregistry.data.gov.uk/data/ukhpi/region/cornwall/month/2020-10,241590,370347,239522.0,137386,296276.0,239144,196183,81.0,81.1,80.6,82.4,83.9,81.0,80.5,5.8,6.5,5.9,2.5,4.8,6.1,6.0,2.4,2.8,2.6,1.7,1.4,2.3,2.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cornwall,1006.0,968.0,38.0,457.0,527.0
