_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-01,98291,171448,96181.0,61933,159303.0,98859,79675,76.7,77.5,76.2,80.4,79.0,77.3,75.6,1.6,1.3,1.6,-0.4,1.5,2.0,1.7,-1.0,-0.8,-1.1,-1.3,-0.2,-1.1,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,591.0,533.0,58.0,226.0,350.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-02,97891,170875,95722.0,61521,160035.0,98485,79320,76.4,77.2,75.8,79.8,79.4,77.0,75.3,3.2,2.7,3.4,1.0,2.1,3.6,3.4,-0.4,-0.3,-0.5,-0.7,0.5,-0.4,-0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,530.0,486.0,44.0,192.0,329.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-03,97017,169758,94722.0,60895,160800.0,97614,78503,75.8,76.7,75.0,79.0,79.8,76.3,74.5,2.9,2.5,3.0,1.2,2.6,3.2,3.1,-0.9,-0.7,-1.0,-1.0,0.5,-0.9,-1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,539.0,456.0,83.0,189.0,323.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-04,95499,167222,93208.0,59539,158634.0,95999,77333,74.6,75.6,73.8,77.3,78.7,75.0,73.4,-2.4,-2.5,-2.3,-4.2,-2.7,-2.2,-2.2,-1.6,-1.5,-1.6,-2.2,-1.3,-1.7,-1.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,235.0,217.0,18.0,89.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-05,96014,168476,93500.0,59871,161750.0,96531,77631,75.0,76.1,74.1,77.7,80.3,75.4,73.7,-3.8,-3.4,-4.0,-5.4,-1.7,-3.6,-4.0,0.5,0.7,0.3,0.6,2.0,0.6,0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,359.0,339.0,20.0,146.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-06,96899,169677,94515.0,60283,161625.0,97486,78427,75.7,76.7,74.9,78.2,80.2,76.2,74.4,-3.9,-3.5,-4.1,-5.9,-1.9,-3.6,-4.2,0.9,0.7,1.1,0.7,-0.1,1.0,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,510.0,461.0,49.0,206.0,299.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-07,99254,173472,96953.0,62091,164008.0,99882,80383,77.5,78.4,76.8,80.6,81.4,78.0,76.3,-0.3,0.0,-0.3,-2.0,0.7,0.1,-0.6,2.4,2.2,2.6,3.0,1.5,2.5,2.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,555.0,503.0,52.0,227.0,315.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-08,99787,174276,97619.0,62034,163317.0,100445,80876,77.9,78.8,77.3,80.5,81.0,78.5,76.8,-0.7,-0.5,-0.7,-2.8,-0.3,-0.2,-1.1,0.5,0.5,0.7,-0.1,-0.4,0.6,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,593.0,537.0,56.0,214.0,365.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-09,100749,176584,98475.0,62324,165784.0,101195,81634,78.7,79.8,78.0,80.9,82.3,79.1,77.5,-0.7,-0.2,-0.6,-3.1,-0.4,-0.2,-1.2,1.0,1.3,0.9,0.5,1.5,0.7,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,549.0,495.0,54.0,219.0,316.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-10,102776,180433,100575.0,63198,167868.0,103083,83321,80.2,81.5,79.7,82.0,83.3,80.6,79.1,1.6,2.4,1.7,-1.4,1.6,1.7,1.2,2.0,2.2,2.1,1.4,1.3,1.9,2.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,832.0,786.0,46.0,315.0,508.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-11,104916,184160,102850.0,64611,169464.0,104963,85229,81.9,83.2,81.5,83.9,84.1,82.0,80.9,4.9,5.7,5.1,1.9,4.4,4.5,4.9,2.1,2.1,2.3,2.2,1.0,1.8,2.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,689.0,657.0,32.0,257.0,416.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2020-12,106502,186646,104543.0,65499,170592.0,106452,86684,83.2,84.3,82.8,85.0,84.6,83.2,82.3,7.3,8.0,7.5,4.3,6.9,6.5,7.6,1.5,1.4,1.6,1.4,0.7,1.4,1.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,846.0,776.0,70.0,307.0,508.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-01,108713,189276,106899.0,67522,172227.0,108632,88827,84.9,85.5,84.7,87.6,85.5,84.9,84.3,10.6,10.4,11.1,9.0,8.1,9.9,11.5,2.1,1.4,2.3,3.1,1.0,2.0,2.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,678.0,612.0,66.0,274.0,403.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-02,109855,190082,108080.0,68799,173631.0,109739,90087,85.8,85.9,85.6,89.3,86.1,85.8,85.5,12.2,11.2,12.9,11.8,8.5,11.4,13.6,1.1,0.4,1.1,1.9,0.8,1.0,1.4,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,797.0,709.0,88.0,270.0,526.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-03,111253,191347,109490.0,70532,175784.0,111031,91561,86.9,86.5,86.7,91.5,87.2,86.8,86.9,14.7,12.7,15.6,15.8,9.3,13.7,16.6,1.3,0.7,1.3,2.5,1.2,1.2,1.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,948.0,836.0,112.0,357.0,591.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-04,110871,190774,108972.0,70233,177223.0,110504,91314,86.6,86.2,86.3,91.1,87.9,86.3,86.7,16.1,14.1,16.9,18.0,11.7,15.1,18.1,-0.3,-0.3,-0.5,-0.4,0.8,-0.5,-0.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,749.0,668.0,81.0,288.0,461.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-05,112197,193186,110257.0,70978,179603.0,111763,92414,87.6,87.3,87.3,92.1,89.1,87.3,87.7,16.9,14.7,17.9,18.6,11.0,15.8,19.0,1.2,1.3,1.2,1.1,1.3,1.1,1.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,710.0,645.0,65.0,275.0,434.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-06,116340,199308,114541.0,73454,183242.0,115766,96200,90.8,90.1,90.7,95.3,90.9,90.5,91.3,20.1,17.5,21.2,21.8,13.4,18.8,22.7,3.7,3.2,3.9,3.5,2.0,3.6,4.1,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,1158.0,990.0,168.0,365.0,790.0
http://landregistry.data.gov.uk/data/ukhpi/region/county-durham/month/2021-07,117512,201230,115644.0,74062,185847.0,117159,97071,91.8,90.9,91.6,96.1,92.2,91.6,92.1,18.4,16.0,19.3,19.3,13.3,17.3,20.8,1.0,1.0,1.0,0.8,1.4,1.2,0.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/county-durham,829.0,758.0,71.0,257.0,571.0
