_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-01,181922,333695,179900.0,112628,217906.0,213333,165649,83.6,84.3,83.0,85.8,86.4,84.0,82.6,0.7,0.5,0.7,-1.8,-0.3,1.1,1.1,1.2,1.3,1.1,0.8,2.0,1.2,1.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,329.0,304.0,25.0,71.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-02,180829,332089,178718.0,111844,218505.0,211892,164721,83.1,83.8,82.5,85.2,86.6,83.4,82.2,0.6,0.4,0.9,-2.3,-1.5,0.9,1.3,-0.6,-0.5,-0.7,-0.7,0.3,-0.7,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,326.0,300.0,26.0,67.0,252.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-03,182168,334791,179827.0,112749,222945.0,213595,165835,83.7,84.5,83.0,85.9,88.4,84.1,82.7,1.7,1.3,1.9,-0.6,0.4,1.9,2.3,0.7,0.8,0.6,0.8,2.0,0.8,0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,293.0,254.0,39.0,51.0,230.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-04,180121,332092,177777.0,110609,220706.0,211193,164176,82.7,83.8,82.0,84.3,87.5,83.2,81.9,0.1,0.3,0.3,-3.0,-1.8,0.4,0.7,-1.1,-0.8,-1.1,-1.9,-1.0,-1.1,-1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,113.0,102.0,11.0,22.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-05,181700,335264,179011.0,111620,225491.0,213506,165361,83.5,84.6,82.6,85.1,89.4,84.1,82.5,0.8,1.4,0.7,-1.6,1.6,1.3,1.0,0.9,1.0,0.7,0.9,2.2,1.1,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,149.0,140.0,9.0,26.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-06,182883,336856,180441.0,111902,224677.0,214869,166686,84.0,85.1,83.2,85.3,89.0,84.6,83.1,1.0,1.8,1.0,-2.0,1.6,1.7,1.3,0.7,0.5,0.8,0.3,-0.4,0.6,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,245.0,211.0,34.0,43.0,199.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-07,182951,335520,180735.0,112614,222747.0,214711,166773,84.0,84.7,83.4,85.8,88.3,84.5,83.2,1.4,1.9,1.5,-1.2,0.8,2.0,1.7,0.0,-0.4,0.2,0.6,-0.9,-0.1,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,234.0,217.0,17.0,54.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-08,183957,337266,181936.0,112690,222133.0,215806,167943,84.5,85.2,83.9,85.9,88.0,85.0,83.8,1.0,1.4,1.3,-2.1,-0.4,1.6,1.4,0.5,0.5,0.7,0.1,-0.3,0.5,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,274.0,254.0,20.0,42.0,230.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-09,183772,337743,181639.0,112279,222883.0,215618,167778,84.4,85.3,83.8,85.6,88.3,84.9,83.7,0.3,0.9,0.6,-3.1,-1.5,1.1,0.6,-0.1,0.1,-0.2,-0.4,0.3,-0.1,-0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,308.0,285.0,23.0,73.0,232.0
http://landregistry.data.gov.uk/data/ukhpi/region/coventry/month/2020-10,186093,342964,184181.0,112961,223554.0,218208,170124,85.5,86.6,85.0,86.1,88.6,85.9,84.9,2.0,2.9,2.3,-1.5,0.2,2.4,2.5,1.3,1.5,1.4,0.6,0.3,1.2,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/coventry,386.0,368.0,18.0,65.0,312.0
