_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-01,377674,808187,375716.0,263019,385576.0,499366,365759,87.8,87.2,87.2,91.0,93.2,86.5,85.5,2.0,2.3,2.0,0.6,1.4,2.9,3.2,0.1,0.2,0.1,0.0,0.8,0.2,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,306.0,278.0,28.0,51.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-02,377626,807030,375505.0,262838,387737.0,498882,366319,87.8,87.1,87.1,91.0,93.7,86.4,85.6,2.2,2.6,2.4,0.5,0.3,3.2,3.9,0.0,-0.1,-0.1,-0.1,0.6,-0.1,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,313.0,284.0,29.0,41.0,253.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-03,374522,800496,371911.0,260778,389966.0,495279,362959,87.0,86.4,86.3,90.2,94.3,85.8,84.8,0.5,0.7,0.6,-0.9,-0.2,1.4,1.9,-0.8,-0.8,-1.0,-0.8,0.6,-0.7,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,313.0,289.0,24.0,34.0,270.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-04,373678,803083,370974.0,259298,390016.0,494120,362737,86.8,86.7,86.1,89.7,94.3,85.6,84.8,1.3,2.5,1.4,-0.5,0.7,2.4,2.6,-0.2,0.3,-0.3,-0.6,0.0,-0.2,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,134.0,122.0,12.0,15.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-05,376791,810919,373482.0,261794,398686.0,498721,364702,87.6,87.5,86.7,90.6,96.4,86.4,85.2,2.1,3.6,1.9,0.7,4.1,3.0,2.6,0.8,1.0,0.7,1.0,2.2,0.9,0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,134.0,122.0,12.0,23.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-06,377568,811200,374734.0,261738,395101.0,500515,366331,87.8,87.5,87.0,90.6,95.5,86.7,85.6,2.4,3.9,2.3,0.9,4.3,3.6,3.2,0.2,0.0,0.3,0.0,-0.9,0.4,0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,231.0,214.0,17.0,20.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-07,382092,815874,379648.0,265431,395855.0,506216,371003,88.8,88.0,88.1,91.9,95.7,87.7,86.7,3.1,4.0,3.1,1.8,3.6,4.2,4.0,1.2,0.6,1.3,1.4,0.2,1.1,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,316.0,283.0,33.0,48.0,261.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-08,379791,812002,377857.0,262370,388858.0,504470,370311,88.3,87.6,87.7,90.8,94.0,87.4,86.6,2.5,3.3,2.6,0.7,2.1,3.8,3.7,-0.6,-0.5,-0.5,-1.2,-1.8,-0.3,-0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,327.0,279.0,48.0,43.0,272.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-09,382323,821431,380221.0,263377,392850.0,508685,372723,88.9,88.6,88.2,91.1,95.0,88.1,87.1,3.1,4.3,3.2,0.9,2.2,4.7,4.2,0.7,1.2,0.6,0.4,1.0,0.8,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,332.0,296.0,36.0,45.0,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/croydon/month/2020-10,383854,827734,382144.0,263531,390773.0,511466,374700,89.2,89.3,88.7,91.2,94.5,88.6,87.6,3.4,4.7,3.6,1.3,1.9,4.8,4.6,0.4,0.8,0.5,0.1,-0.5,0.5,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/croydon,426.0,380.0,46.0,55.0,358.0
