_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-01,127644,216080,124785.0,77093,174972.0,131739,103237,82.5,83.0,81.8,85.0,85.7,82.8,81.4,0.4,-0.2,0.5,-2.0,-1.1,1.1,0.6,-0.7,-0.5,-0.8,-1.1,0.0,-0.9,-0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,319.0,286.0,33.0,114.0,198.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-02,127309,215880,124382.0,77030,176240.0,131151,102975,82.3,82.9,81.6,84.9,86.3,82.4,81.2,-0.5,-1.0,-0.2,-2.9,-2.9,-0.1,-0.1,-0.3,-0.1,-0.3,-0.1,0.7,-0.4,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,285.0,256.0,29.0,96.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-03,127199,216153,124171.0,76770,177829.0,130993,102783,82.2,83.0,81.4,84.6,87.1,82.3,81.1,-1.2,-1.7,-0.9,-3.2,-2.8,-0.9,-0.7,-0.1,0.1,-0.2,-0.3,0.9,-0.1,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,281.0,235.0,46.0,85.0,190.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-04,130006,220704,126838.0,78079,182484.0,134022,105111,84.0,84.7,83.2,86.0,89.4,84.2,82.9,0.6,0.3,0.8,-1.2,-0.4,0.9,0.9,2.2,2.1,2.1,1.7,2.6,2.3,2.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,141.0,116.0,25.0,53.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-05,129200,219931,125754.0,77593,184301.0,133127,104263,83.5,84.5,82.5,85.5,90.2,83.7,82.2,1.1,1.3,0.8,-0.2,3.3,1.3,0.9,-0.6,-0.4,-0.9,-0.6,1.0,-0.7,-0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,198.0,179.0,19.0,64.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-06,129602,219814,126379.0,77541,182626.0,133823,104762,83.8,84.4,82.9,85.5,89.4,84.1,82.6,2.6,2.7,2.5,0.7,4.5,3.1,2.5,0.3,-0.1,0.5,-0.1,-0.9,0.5,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,300.0,268.0,32.0,104.0,188.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-07,129054,219087,126003.0,77711,180268.0,133041,104305,83.4,84.1,82.6,85.6,88.3,83.6,82.3,1.9,2.0,1.9,0.3,2.4,2.3,1.6,-0.4,-0.3,-0.3,0.2,-1.3,-0.6,-0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,335.0,302.0,33.0,135.0,192.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-08,130371,220768,127516.0,77946,179851.0,134681,105492,84.3,84.8,83.6,85.9,88.1,84.7,83.2,0.6,0.3,0.8,-1.0,0.5,1.4,0.4,1.0,0.8,1.2,0.3,-0.2,1.2,1.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,345.0,309.0,36.0,111.0,227.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-09,131813,224415,128738.0,78507,183637.0,135813,106489,85.2,86.2,84.4,86.5,89.9,85.4,84.0,-0.1,0.0,0.0,-2.0,0.0,0.7,-0.5,1.1,1.7,1.0,0.7,2.1,0.8,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,411.0,376.0,35.0,141.0,255.0
http://landregistry.data.gov.uk/data/ukhpi/region/cumberland/month/2020-10,131688,224356,128785.0,77893,181822.0,135715,106406,85.1,86.2,84.5,85.8,89.0,85.3,83.9,0.2,0.6,0.4,-2.2,0.0,0.6,-0.1,-0.1,0.0,0.0,-0.8,-1.0,-0.1,-0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/cumberland,501.0,455.0,46.0,176.0,315.0
