_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-01,122844,222408,119995.0,82619,230080.0,134381,96483,82.1,83.6,81.4,85.7,84.2,82.2,80.2,0.3,-0.2,0.4,-1.6,-0.3,0.6,0.5,-1.9,-1.7,-2.0,-2.2,-1.1,-2.0,-2.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,127.0,112.0,15.0,31.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-02,119442,216041,116605.0,80180,225762.0,130565,94028,79.8,81.2,79.1,83.2,82.6,79.9,78.1,-1.7,-2.2,-1.4,-3.7,-3.0,-1.4,-1.2,-2.8,-2.9,-2.8,-3.0,-1.9,-2.8,-2.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,108.0,91.0,17.0,34.0,72.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-03,117931,213551,114966.0,79087,226024.0,128986,92760,78.8,80.3,78.0,82.0,82.7,78.9,77.1,-2.6,-3.2,-2.5,-4.4,-2.9,-2.4,-2.1,-1.3,-1.2,-1.4,-1.4,0.1,-1.2,-1.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,142.0,120.0,22.0,43.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-04,120550,218489,117507.0,80214,231183.0,131741,94980,80.5,82.1,79.7,83.2,84.6,80.6,78.9,1.2,1.1,1.4,-0.9,0.6,1.3,1.7,2.2,2.3,2.2,1.4,2.3,2.1,2.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,42.0,39.0,3.0,10.0,32.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-05,120540,219084,117218.0,80171,234337.0,131887,94621,80.5,82.4,79.5,83.2,85.8,80.7,78.6,1.8,2.3,1.7,-0.2,3.6,2.0,1.8,0.0,0.3,-0.2,-0.1,1.4,0.1,-0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,52.0,47.0,5.0,18.0,33.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-06,118794,215340,115720.0,78748,228717.0,130118,93359,79.4,81.0,78.5,81.7,83.7,79.6,77.6,-1.8,-1.4,-2.0,-4.3,0.0,-1.6,-2.0,-1.4,-1.7,-1.3,-1.8,-2.4,-1.3,-1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,96.0,84.0,12.0,34.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-07,118414,214049,115518.0,79013,226055.0,129759,93110,79.1,80.5,78.3,82.0,82.7,79.4,77.4,-4.1,-4.0,-4.1,-6.0,-3.4,-3.7,-4.3,-0.3,-0.6,-0.2,0.3,-1.2,-0.3,-0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,147.0,127.0,20.0,35.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-08,121802,220186,118986.0,80877,230657.0,133495,95822,81.4,82.8,80.7,83.9,84.4,81.7,79.6,-2.7,-2.6,-2.6,-4.8,-2.4,-2.2,-3.0,2.9,2.9,3.0,2.4,2.0,2.9,2.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,150.0,125.0,25.0,39.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-09,123815,224645,120836.0,81974,235749.0,135528,97338,82.7,84.5,81.9,85.0,86.3,82.9,80.9,1.3,1.7,1.4,-1.1,1.5,1.9,0.7,1.7,2.0,1.6,1.4,2.2,1.5,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,153.0,140.0,13.0,53.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/darlington/month/2020-10,125271,227557,122437.0,82447,236531.0,137109,98499,83.7,85.6,83.0,85.5,86.6,83.9,81.9,2.7,3.3,2.8,-0.2,2.6,3.0,2.3,1.2,1.3,1.3,0.6,0.3,1.2,1.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/darlington,204.0,181.0,23.0,47.0,153.0
