_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-01,153262,207263,153169.0,79203,149075.0,138720,110941,79.4,79.4,79.2,81.0,82.2,79.5,78.4,5.9,5.6,6.0,4.0,5.8,6.4,6.5,-1.4,-1.3,-1.4,-1.7,-0.6,-1.4,-1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,82.0,80.0,2.0,35.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-02,151126,204412,150926.0,78338,148380.0,136589,109604,78.3,78.4,78.1,80.1,81.8,78.3,77.4,3.0,2.8,3.1,1.1,1.7,3.4,3.7,-1.4,-1.4,-1.5,-1.1,-0.5,-1.5,-1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,109.0,102.0,7.0,39.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-03,149707,202442,149369.0,77932,149109.0,135289,108580,77.5,77.6,77.3,79.7,82.2,77.6,76.7,2.8,2.5,2.8,1.8,2.3,3.2,3.6,-0.9,-1.0,-1.0,-0.5,0.5,-1.0,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,89.0,85.0,4.0,35.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-04,153857,208228,153473.0,79604,154098.0,138894,111728,79.7,79.8,79.4,81.4,84.9,79.6,78.9,7.0,6.8,7.0,5.5,6.4,7.1,7.6,2.8,2.9,2.7,2.1,3.3,2.7,2.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,27.0,25.0,2.0,9.0,16.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-05,151129,204464,150658.0,78206,153461.0,136590,109598,78.3,78.4,77.9,80.0,84.6,78.3,77.4,4.3,4.3,4.2,3.2,6.4,4.4,4.6,-1.8,-1.8,-1.8,-1.8,-0.4,-1.7,-1.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,55.0,45.0,10.0,19.0,33.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-06,152396,206084,151993.0,78620,153171.0,137817,110593,78.9,79.0,78.6,80.4,84.4,79.0,78.1,4.8,4.9,4.7,3.3,6.9,4.9,5.0,0.8,0.8,0.9,0.5,-0.2,0.9,0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,55.0,52.0,3.0,26.0,28.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-07,147702,199599,147397.0,76588,146480.0,133656,107123,76.5,76.5,76.2,78.3,80.7,76.6,75.7,0.3,0.4,0.2,-1.2,0.4,0.4,0.1,-3.1,-3.1,-3.0,-2.6,-4.4,-3.0,-3.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,97.0,91.0,6.0,37.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-08,151063,204124,150813.0,77698,148427.0,136767,109676,78.2,78.2,78.0,79.5,81.8,78.4,77.5,1.9,1.9,1.8,-0.1,1.4,2.2,1.8,2.3,2.3,2.3,1.4,1.3,2.3,2.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,100.0,97.0,3.0,40.0,59.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-09,150769,203928,150498.0,77145,148599.0,136434,109417,78.1,78.2,77.8,78.9,81.9,78.2,77.3,0.5,0.6,0.5,-2.2,-0.6,0.8,0.1,-0.2,-0.1,-0.2,-0.7,0.1,-0.2,-0.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,99.0,96.0,3.0,34.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/denbighshire/month/2020-10,153792,208558,153590.0,78049,149959.0,138921,111467,79.6,79.9,79.4,79.8,82.6,79.6,78.8,0.7,1.1,0.8,-2.4,-0.8,0.7,0.5,2.0,2.3,2.1,1.2,0.9,1.8,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/denbighshire,161.0,156.0,5.0,75.0,83.0
