_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-01,176146,264873,170591.0,109347,252138.0,163004,132176,78.1,78.8,77.2,81.2,80.7,78.0,76.7,1.0,0.6,0.9,-1.1,1.4,1.4,1.1,0.3,0.4,0.2,-0.1,1.0,0.2,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,930.0,840.0,90.0,260.0,648.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-02,176106,264412,170611.0,109462,253369.0,162962,132389,78.1,78.6,77.2,81.3,81.1,78.0,76.8,1.5,0.9,1.7,-0.7,0.5,2.1,2.0,0.0,-0.2,0.0,0.1,0.5,0.0,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,940.0,817.0,123.0,269.0,638.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-03,175397,263801,169709.0,108715,255683.0,162275,131630,77.7,78.5,76.8,80.7,81.8,77.7,76.4,1.4,0.7,1.5,-0.9,0.8,1.9,1.7,-0.4,-0.2,-0.5,-0.7,0.9,-0.4,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,960.0,800.0,160.0,256.0,658.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-04,175825,264729,169961.0,107847,257670.0,162554,132130,77.9,78.7,76.9,80.1,82.5,77.8,76.7,1.5,1.2,1.6,-1.6,1.1,2.0,1.6,0.2,0.4,0.1,-0.8,0.8,0.2,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,410.0,361.0,49.0,88.0,303.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-05,175632,264495,169430.0,107504,260207.0,162568,131772,77.8,78.7,76.7,79.8,83.3,77.8,76.5,1.3,1.4,1.0,-1.4,3.7,1.7,1.1,-0.1,-0.1,-0.3,-0.3,1.0,0.0,-0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,568.0,526.0,42.0,155.0,390.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-06,176937,265366,171134.0,108390,258532.0,164007,133246,78.4,78.9,77.5,80.5,82.7,78.5,77.3,1.7,1.5,1.5,-0.7,3.8,2.0,1.8,0.7,0.3,1.0,0.8,-0.6,0.9,1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,898.0,792.0,106.0,241.0,642.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-07,179243,268617,173710.0,110902,259004.0,166125,134912,79.4,79.9,78.6,82.4,82.9,79.5,78.3,3.2,3.0,3.3,1.8,3.7,3.4,3.3,1.3,1.2,1.5,2.3,0.2,1.3,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,907.0,810.0,97.0,256.0,633.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-08,181535,272307,176111.0,111837,260836.0,168016,136832,80.5,81.0,79.7,83.1,83.5,80.4,79.4,4.1,3.8,4.4,2.4,3.3,4.4,4.2,1.3,1.4,1.4,0.8,0.7,1.1,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1011.0,892.0,119.0,282.0,704.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-09,182722,274997,177096.0,111870,263865.0,168976,137387,81.0,81.8,80.2,83.1,84.5,80.9,79.7,4.1,4.1,4.4,1.8,2.8,4.6,3.9,0.7,1.0,0.6,0.0,1.2,0.6,0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,981.0,864.0,117.0,246.0,698.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-10,183753,276972,178319.0,111696,263539.0,169644,138367,81.4,82.4,80.7,83.0,84.4,81.2,80.3,4.9,5.3,5.3,1.5,3.5,5.0,4.9,0.6,0.7,0.7,-0.2,-0.1,0.4,0.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1313.0,1176.0,137.0,409.0,862.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-11,186177,280615,181083.0,112987,263726.0,171678,140479,82.5,83.5,82.0,83.9,84.4,82.2,81.5,6.2,6.5,6.7,2.8,4.6,5.9,6.7,1.3,1.3,1.6,1.2,0.1,1.2,1.5,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1318.0,1183.0,135.0,406.0,863.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2020-12,189852,285979,184870.0,115149,267243.0,174753,143758,84.1,85.1,83.7,85.5,85.5,83.7,83.4,8.1,8.4,8.6,5.2,7.0,7.5,9.1,2.0,1.9,2.1,1.9,1.3,1.8,2.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1350.0,1228.0,122.0,411.0,886.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2021-01,192162,287792,187485.0,117582,267618.0,177191,146121,85.2,85.6,84.9,87.3,85.7,84.8,84.8,9.1,8.7,9.9,7.5,6.1,8.7,10.6,1.2,0.6,1.4,2.1,0.1,1.4,1.6,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1028.0,903.0,125.0,287.0,738.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2021-02,194219,289440,189569.0,119736,269989.0,179243,148342,86.1,86.1,85.8,88.9,86.4,85.8,86.1,10.3,9.5,11.1,9.4,6.6,10.0,12.1,1.1,0.6,1.1,1.8,0.9,1.2,1.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1364.0,1203.0,161.0,396.0,966.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2021-03,194470,288111,189873.0,121544,270163.0,179655,149201,86.2,85.7,85.9,90.3,86.5,86.0,86.6,10.9,9.2,11.9,11.8,5.7,10.7,13.3,0.1,-0.5,0.2,1.5,0.1,0.2,0.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1851.0,1603.0,248.0,555.0,1291.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2021-04,193973,287508,189115.0,120854,272166.0,179170,148833,86.0,85.5,85.6,89.8,87.1,85.8,86.4,10.3,8.6,11.3,12.1,5.6,10.2,12.6,-0.3,-0.2,-0.4,-0.6,0.7,-0.3,-0.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1409.0,1203.0,206.0,432.0,972.0
http://landregistry.data.gov.uk/data/ukhpi/region/derbyshire/month/2021-05,193206,286496,188330.0,120471,271443.0,178408,148199,85.6,85.2,85.3,89.5,86.9,85.4,86.0,10.0,8.3,11.2,12.1,4.3,9.7,12.5,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/derbyshire,1251.0,1074.0,177.0,341.0,908.0
