_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-01,254295,393643,250279.0,147498,317318.0,257917,203744,79.5,79.2,78.9,83.3,82.5,79.4,78.6,-0.3,-0.7,-0.4,-1.8,-0.2,0.2,0.5,-0.6,-0.7,-0.7,-0.8,0.1,-0.7,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,966.0,902.0,64.0,429.0,520.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-02,254398,394339,250102.0,147125,320696.0,257961,203799,79.6,79.3,78.9,83.1,83.4,79.4,78.6,0.4,0.1,0.5,-1.5,-0.4,0.9,1.3,0.0,0.2,-0.1,-0.3,1.1,0.0,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,984.0,882.0,102.0,400.0,547.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-03,257231,399194,252355.0,148619,329703.0,260947,205820,80.5,80.3,79.6,83.9,85.7,80.3,79.4,1.2,1.0,1.2,-0.3,1.7,1.7,2.0,1.1,1.2,0.9,1.0,2.8,1.2,1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,1045.0,907.0,138.0,453.0,554.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-04,257296,400245,252202.0,147542,331683.0,260951,205979,80.5,80.5,79.5,83.3,86.2,80.3,79.5,2.6,2.7,2.6,0.7,3.3,3.0,3.2,0.0,0.3,-0.1,-0.7,0.6,0.0,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,389.0,356.0,33.0,145.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-05,254561,395238,249076.0,146606,331942.0,258477,203710,79.6,79.5,78.6,82.8,86.3,79.6,78.6,1.4,1.5,1.0,0.2,4.4,1.8,1.6,-1.1,-1.3,-1.2,-0.6,0.1,-0.9,-1.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,473.0,438.0,35.0,206.0,261.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-06,251130,389418,246165.0,144188,323747.0,255165,201429,78.5,78.3,77.6,81.4,84.2,78.5,77.7,0.4,0.4,0.1,-1.3,2.8,0.9,0.7,-1.3,-1.5,-1.2,-1.6,-2.5,-1.3,-1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,748.0,652.0,96.0,325.0,410.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-07,251877,389969,247337.0,145397,320921.0,255919,201944,78.8,78.4,78.0,82.1,83.4,78.8,77.9,-0.5,-0.3,-0.6,-2.0,0.3,0.0,-0.4,0.3,0.1,0.5,0.8,-0.9,0.3,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,996.0,899.0,97.0,384.0,584.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-08,258490,401274,254092.0,147808,327110.0,262625,207420,80.9,80.7,80.1,83.4,85.0,80.8,80.0,1.7,1.9,1.7,-0.5,2.1,2.4,2.0,2.6,2.9,2.7,1.7,1.9,2.6,2.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,1000.0,905.0,95.0,405.0,576.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-09,264085,410705,259288.0,150625,336702.0,268349,211646,82.6,82.6,81.8,85.0,87.5,82.6,81.7,2.5,3.0,2.5,0.2,3.0,3.3,2.5,2.2,2.4,2.0,1.9,2.9,2.2,2.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,1180.0,1067.0,113.0,520.0,639.0
http://landregistry.data.gov.uk/data/ukhpi/region/devon/month/2020-10,268761,419629,264231.0,152173,339733.0,272614,215326,84.1,84.4,83.3,85.9,88.3,83.9,83.1,4.2,4.9,4.3,1.3,4.2,4.6,4.3,1.8,2.2,1.9,1.0,0.9,1.6,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/devon,1567.0,1438.0,129.0,677.0,854.0
