_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-01,122361,190350,120625.0,71752,156017.0,119525,93209,76.7,77.2,76.2,80.4,79.5,76.9,75.5,4.5,3.9,4.5,2.3,4.3,4.8,4.7,-1.2,-1.1,-1.3,-1.3,-0.5,-1.3,-1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,311.0,296.0,15.0,92.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-02,122448,190595,120605.0,71765,157052.0,119482,93409,76.8,77.3,76.2,80.4,80.0,76.9,75.6,2.9,2.3,3.1,0.3,1.4,3.2,3.3,0.1,0.1,0.0,0.0,0.7,0.0,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,349.0,315.0,34.0,99.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-03,121342,189147,119296.0,71116,157572.0,118358,92475,76.1,76.7,75.4,79.6,80.3,76.1,74.9,2.7,2.2,2.8,0.4,1.8,2.9,3.2,-0.9,-0.8,-1.1,-0.9,0.3,-0.9,-1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,303.0,276.0,27.0,77.0,219.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-04,120925,188620,118853.0,70220,157336.0,117902,92291,75.8,76.5,75.1,78.6,80.2,75.8,74.7,0.1,-0.1,0.2,-2.8,-0.8,0.2,0.5,-0.3,-0.3,-0.4,-1.3,-0.1,-0.4,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,128.0,118.0,10.0,38.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-05,122268,190678,119905.0,71244,161490.0,119343,93089,76.7,77.3,75.8,79.8,82.3,76.8,75.4,1.8,1.9,1.5,-0.3,3.5,1.9,1.7,1.1,1.1,0.9,1.5,2.6,1.2,0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,196.0,183.0,13.0,70.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-06,124153,193442,121941.0,72056,162335.0,121243,94595,77.9,78.4,77.1,80.7,82.7,78.0,76.6,2.5,2.7,2.2,0.1,4.2,2.7,2.3,1.5,1.4,1.7,1.1,0.5,1.6,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,287.0,255.0,32.0,76.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-07,126079,196232,124009.0,73538,163244.0,123126,96110,79.1,79.5,78.4,82.4,83.2,79.2,77.8,4.9,5.1,4.9,2.6,5.4,5.2,4.7,1.6,1.4,1.7,2.1,0.6,1.6,1.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,348.0,324.0,24.0,105.0,239.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-08,126246,196635,124357.0,73083,161793.0,123252,96321,79.2,79.7,78.6,81.8,82.5,79.3,78.0,4.8,5.0,4.9,2.2,4.4,5.1,4.5,0.1,0.2,0.3,-0.6,-0.9,0.1,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,314.0,281.0,33.0,90.0,217.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-09,126301,197251,124323.0,72889,162635.0,123140,96351,79.2,79.9,78.6,81.6,82.9,79.2,78.0,5.3,5.7,5.4,2.2,4.5,5.6,4.8,0.0,0.3,0.0,-0.3,0.5,-0.1,0.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,384.0,352.0,32.0,102.0,278.0
http://landregistry.data.gov.uk/data/ukhpi/region/doncaster/month/2020-10,127665,200028,125824.0,72986,162998.0,124339,97353,80.1,81.1,79.5,81.7,83.1,80.0,78.8,4.8,5.6,4.9,1.2,3.6,4.7,4.4,1.1,1.4,1.2,0.1,0.2,1.0,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/doncaster,459.0,425.0,34.0,114.0,328.0
