_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-01,168862,265590,168141.0,96661,238743.0,173230,144026,77.4,77.5,77.2,81.2,80.1,77.1,76.6,4.1,3.5,4.0,2.6,3.9,4.4,4.4,-0.7,-0.5,-0.7,-1.0,0.1,-0.7,-0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,357.0,345.0,12.0,98.0,246.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-02,167779,264173,166992.0,95641,239051.0,172095,143237,76.9,77.1,76.7,80.3,80.2,76.6,76.2,3.2,2.8,3.3,1.1,1.7,3.6,3.8,-0.6,-0.5,-0.7,-1.1,0.1,-0.7,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,277.0,266.0,11.0,63.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-03,166305,262057,165393.0,94593,240312.0,170628,141928,76.2,76.5,76.0,79.4,80.6,76.0,75.5,1.9,1.6,2.0,0.1,1.4,2.3,2.5,-0.9,-0.8,-1.0,-1.1,0.5,-0.9,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,298.0,282.0,16.0,70.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-04,162778,256836,161876.0,92077,235446.0,167005,139078,74.6,75.0,74.3,77.3,79.0,74.4,74.0,0.4,0.4,0.4,-1.7,-0.4,0.7,0.8,-2.1,-2.0,-2.1,-2.7,-2.0,-2.1,-2.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,112.0,106.0,6.0,23.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-05,164416,259489,163363.0,93233,241351.0,168787,140173,75.4,75.7,75.0,78.3,81.0,75.2,74.6,0.5,0.7,0.3,-1.1,2.6,0.7,0.4,1.0,1.0,0.9,1.3,2.5,1.1,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,166.0,164.0,2.0,42.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-06,169129,266865,168171.0,95441,245206.0,173738,144342,77.5,77.9,77.2,80.1,82.3,77.4,76.8,2.5,2.9,2.4,0.4,4.3,2.9,2.4,2.9,2.8,2.9,2.4,1.6,2.9,3.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,249.0,236.0,13.0,60.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-07,174230,274306,173341.0,98575,250161.0,179009,148771,79.9,80.1,79.6,82.8,83.9,79.7,79.1,3.6,3.8,3.6,1.5,4.0,4.0,3.5,3.0,2.8,3.1,3.3,2.0,3.0,3.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,336.0,318.0,18.0,72.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-08,176392,277683,175635.0,98868,249689.0,181371,150997,80.9,81.0,80.7,83.0,83.8,80.8,80.3,3.8,4.1,3.9,1.0,2.9,4.3,3.9,1.2,1.2,1.3,0.3,-0.2,1.3,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,297.0,279.0,18.0,67.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-09,175548,276854,174774.0,98034,249006.0,180435,150366,80.5,80.8,80.3,82.3,83.6,80.3,80.0,3.0,3.4,3.1,-0.3,1.4,3.6,2.8,-0.5,-0.3,-0.5,-0.8,-0.3,-0.5,-0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,317.0,296.0,21.0,71.0,240.0
http://landregistry.data.gov.uk/data/ukhpi/region/dudley/month/2020-10,177423,280978,176773.0,98215,248469.0,182283,152085,81.3,82.0,81.2,82.5,83.4,81.2,80.9,3.6,4.6,3.7,-0.4,1.3,4.0,3.7,1.1,1.5,1.1,0.2,-0.2,1.0,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/dudley,367.0,348.0,19.0,95.0,264.0
