_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-01,123377,188565,121746.0,69583,198342.0,122157,96920,78.3,77.6,78.2,80.9,81.0,78.4,77.6,2.1,2.5,2.1,-0.6,2.1,2.5,2.3,-1.3,-1.1,-1.3,-1.7,-0.6,-1.4,-1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,147.0,142.0,5.0,63.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-02,124904,191227,123207.0,70222,202518.0,123561,98078,79.3,78.7,79.1,81.6,82.7,79.3,78.6,4.7,5.2,4.7,1.7,3.6,5.0,4.9,1.2,1.4,1.2,0.9,2.1,1.1,1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,131.0,128.0,3.0,66.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-03,123821,189209,122082.0,69902,202866.0,122559,97265,78.6,77.9,78.4,81.2,82.9,78.7,77.9,2.5,2.5,2.5,1.0,1.9,2.8,2.9,-0.9,-1.1,-0.9,-0.5,0.2,-0.8,-0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,155.0,146.0,9.0,66.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-04,127785,195392,125985.0,71742,209570.0,126388,100586,81.1,80.4,80.9,83.4,85.6,81.2,80.6,7.8,8.1,7.9,6.0,6.9,7.9,8.1,3.2,3.3,3.2,2.6,3.3,3.1,3.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,62.0,60.0,2.0,30.0,32.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-05,126111,192426,124276.0,71057,209106.0,124750,99401,80.1,79.2,79.8,82.6,85.4,80.1,79.6,3.0,3.4,2.9,1.5,4.5,2.9,2.9,-1.3,-1.5,-1.4,-1.0,-0.2,-1.3,-1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,76.0,76.0,,26.0,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-06,125509,191995,123726.0,70043,206451.0,124253,98894,79.7,79.0,79.5,81.4,84.3,79.8,79.2,3.2,4.4,3.1,0.2,5.0,3.0,2.8,-0.5,-0.2,-0.4,-1.4,-1.3,-0.4,-0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,116.0,115.0,1.0,54.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-07,120610,184805,118935.0,67582,196892.0,119291,94737,76.6,76.1,76.4,78.5,80.4,76.6,75.9,-3.5,-2.3,-3.5,-6.1,-2.9,-3.6,-4.1,-3.9,-3.7,-3.9,-3.5,-4.6,-4.0,-4.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,124.0,113.0,11.0,62.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-08,122299,186869,120650.0,68395,197741.0,121267,96309,77.6,76.9,77.5,79.5,80.8,77.9,77.2,-1.7,-0.8,-1.7,-4.7,-1.7,-1.4,-2.0,1.4,1.1,1.4,1.2,0.4,1.7,1.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,201.0,195.0,6.0,112.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-09,124953,190153,123256.0,70090,202476.0,124005,98755,79.3,78.3,79.1,81.5,82.7,79.6,79.1,1.0,1.4,1.0,-1.7,0.3,1.6,0.9,2.2,1.8,2.2,2.5,2.4,2.3,2.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,258.0,251.0,7.0,111.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-10,129371,196586,127692.0,72396,206680.0,128431,102522,82.1,80.9,82.0,84.1,84.4,82.5,82.1,5.1,5.4,5.2,2.4,3.4,5.5,5.5,3.5,3.4,3.6,3.3,2.1,3.6,3.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,321.0,321.0,,155.0,166.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-11,131739,201267,130094.0,73397,208060.0,130272,104159,83.6,82.9,83.5,85.3,85.0,83.7,83.4,7.1,7.7,7.2,4.4,4.9,6.8,7.4,1.8,2.4,1.9,1.4,0.7,1.4,1.6,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,292.0,291.0,1.0,130.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2020-12,134441,206363,132794.0,74549,211168.0,132581,106060,85.3,85.0,85.3,86.6,86.3,85.1,85.0,7.5,8.2,7.6,5.4,5.9,7.0,8.0,2.1,2.5,2.1,1.6,1.5,1.8,1.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,322.0,315.0,7.0,152.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-01,136047,208307,134414.0,76098,212415.0,133984,107447,86.4,85.8,86.3,88.4,86.8,86.0,86.1,10.3,10.5,10.4,9.4,7.1,9.7,10.9,1.2,0.9,1.2,2.1,0.6,1.1,1.3,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,191.0,189.0,2.0,102.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-02,136724,209061,135064.0,76775,214297.0,134566,108144,86.8,86.1,86.7,89.2,87.6,86.4,86.6,9.5,9.3,9.6,9.3,5.8,8.9,10.3,0.5,0.4,0.5,0.9,0.9,0.4,0.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,196.0,194.0,2.0,104.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-03,137158,208799,135486.0,77518,215356.0,134973,108911,87.1,86.0,87.0,90.1,88.0,86.7,87.2,10.8,10.4,11.0,10.9,6.2,10.1,12.0,0.3,-0.1,0.3,1.0,0.5,0.3,0.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,310.0,291.0,19.0,161.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-04,133202,202831,131515.0,75132,211671.0,130993,105893,84.6,83.5,84.5,87.3,86.5,84.1,84.8,4.2,3.8,4.4,4.7,1.0,3.6,5.3,-2.9,-2.9,-2.9,-3.1,-1.7,-2.9,-2.8,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,187.0,187.0,,104.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-05,132376,201124,130705.0,74742,210115.0,130239,105435,84.0,82.8,83.9,86.9,85.8,83.6,84.5,5.0,4.5,5.2,5.2,0.5,4.4,6.1,-0.6,-0.8,-0.6,-0.5,-0.7,-0.6,-0.4,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,218.0,216.0,2.0,109.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-06,135053,205086,133431.0,76445,211110.0,132537,107716,85.7,84.4,85.7,88.8,86.2,85.1,86.3,7.6,6.8,7.8,9.1,2.3,6.7,8.9,2.0,2.0,2.1,2.3,0.5,1.8,2.2,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,253.0,251.0,2.0,125.0,128.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-07,139350,211869,137646.0,78346,219118.0,137266,111027,88.5,87.2,88.4,91.1,89.5,88.2,88.9,15.5,14.6,15.7,15.9,11.3,15.1,17.2,3.2,3.3,3.2,2.5,3.8,3.6,3.1,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,274.0,273.0,1.0,126.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-08,141770,215661,140096.0,79552,220556.0,139946,112804,90.0,88.8,90.0,92.5,90.1,89.9,90.4,15.9,15.4,16.1,16.3,11.5,15.4,17.1,1.7,1.8,1.8,1.5,0.7,2.0,1.6,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,254.0,252.0,2.0,135.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-09,141148,215041,139468.0,78849,220086.0,139736,112090,89.6,88.5,89.6,91.6,89.9,89.7,89.8,13.0,13.1,13.2,12.5,8.7,12.7,13.5,-0.4,-0.3,-0.4,-0.9,-0.2,-0.2,-0.6,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,251.0,244.0,7.0,124.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-10,144715,221409,143106.0,80956,221080.0,142868,114500,91.9,91.1,91.9,94.1,90.3,91.7,91.7,11.9,12.6,12.1,11.8,7.0,11.2,11.7,2.5,3.0,2.6,2.7,0.5,2.2,2.2,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,240.0,238.0,2.0,132.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-11,144613,222049,142976.0,80765,222066.0,142505,114167,91.8,91.4,91.8,93.9,90.7,91.5,91.5,9.8,10.3,9.9,10.0,6.7,9.4,9.6,-0.1,0.3,-0.1,-0.2,0.4,-0.3,-0.3,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,229.0,223.0,6.0,130.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/dumfries-and-galloway/month/2021-12,143393,220884,141799.0,79904,219103.0,141154,112974,91.0,90.9,91.1,92.9,89.5,90.6,90.5,6.7,7.0,6.8,7.2,3.8,6.5,6.5,-0.8,-0.5,-0.8,-1.1,-1.3,-0.9,-1.0,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/dumfries-and-galloway,193.0,186.0,7.0,103.0,90.0
