_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-01,500081,1156984,514164.0,369281,376172.0,717256,576632,84.5,81.7,83.7,87.3,89.6,81.5,82.5,-3.3,-3.0,-3.2,-4.4,-4.4,-2.5,-2.0,-0.3,-0.5,-0.4,-0.4,0.3,-0.4,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,220.0,202.0,18.0,30.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-02,500136,1159842,513897.0,368901,378781.0,718953,576847,84.5,81.9,83.7,87.2,90.2,81.7,82.5,-1.9,-1.1,-1.6,-3.4,-4.2,-0.7,-0.3,0.0,0.2,-0.1,-0.1,0.7,0.2,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,211.0,191.0,20.0,39.0,163.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-03,512485,1189472,525754.0,377969,393438.0,737842,590634,86.6,84.0,85.6,89.4,93.7,83.8,84.5,2.6,3.2,2.7,1.3,1.4,4.0,3.8,2.5,2.6,2.3,2.5,3.9,2.6,2.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,260.0,210.0,50.0,35.0,213.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-04,510147,1191417,523431.0,375255,391218.0,734403,590070,86.2,84.2,85.2,88.7,93.2,83.4,84.4,3.3,4.8,3.5,1.8,1.8,4.8,4.6,-0.5,0.2,-0.4,-0.7,-0.6,-0.5,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,121.0,108.0,13.0,27.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-05,506046,1176800,518206.0,373048,393702.0,727069,584202,85.5,83.1,84.4,88.2,93.8,82.6,83.6,1.6,3.0,1.5,0.7,2.9,2.8,2.3,-0.8,-1.2,-1.0,-0.6,0.6,-1.0,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,102.0,88.0,14.0,22.0,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-06,501055,1157446,514037.0,368537,384704.0,720512,580544,84.6,81.8,83.7,87.1,91.7,81.9,83.0,-1.2,-0.4,-1.3,-2.2,-0.4,0.0,-0.3,-1.0,-1.6,-0.8,-1.2,-2.3,-0.9,-0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,148.0,140.0,8.0,25.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-07,506723,1164655,520453.0,373058,385722.0,728242,586686,85.6,82.3,84.8,88.2,91.9,82.7,83.9,-0.3,0.4,-0.2,-1.3,-0.7,0.9,0.6,1.1,0.6,1.2,1.2,0.3,1.1,1.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,148.0,134.0,14.0,16.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-08,518898,1200975,534056.0,379968,388920.0,749294,603912,87.6,84.8,87.0,89.8,92.7,85.1,86.4,2.4,3.3,2.7,1.0,0.9,4.0,3.7,2.4,3.1,2.6,1.9,0.8,2.9,2.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,197.0,176.0,21.0,31.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-09,523227,1222759,538444.0,382046,392523.0,757740,610167,88.4,86.4,87.7,90.3,93.5,86.1,87.3,3.6,5.3,3.9,1.9,1.3,5.7,5.0,0.8,1.8,0.8,0.5,0.9,1.1,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,215.0,173.0,42.0,37.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/ealing/month/2020-10,523059,1227972,539170.0,380547,387595.0,759465,612273,88.3,86.7,87.8,90.0,92.3,86.3,87.6,2.9,4.5,3.3,1.0,-0.2,4.6,4.7,0.0,0.4,0.1,-0.4,-1.3,0.2,0.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/ealing,229.0,218.0,11.0,44.0,179.0
