_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-01,92357,173649,84837.0,55386,168636.0,99819,78416,75.8,74.1,75.9,77.5,77.1,75.7,75.5,-3.8,-3.1,-3.8,-6.1,-2.9,-3.5,-3.9,0.3,0.7,0.2,0.1,1.3,0.2,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,126.0,119.0,7.0,45.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-02,92930,175641,85203.0,55528,170947.0,100370,78605,76.2,75.0,76.3,77.7,78.2,76.1,75.7,-2.2,-1.3,-2.2,-5.0,-2.6,-2.0,-2.4,0.6,1.1,0.4,0.3,1.4,0.6,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,130.0,124.0,6.0,40.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-03,92239,174340,84403.0,55320,171428.0,99487,77808,75.7,74.4,75.5,77.4,78.4,75.5,74.9,-0.5,0.0,-0.6,-1.9,-1.0,-0.5,-0.8,-0.7,-0.7,-0.9,-0.4,0.3,-0.9,-1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,123.0,111.0,12.0,50.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-04,95555,180707,87410.0,57001,178377.0,103117,80891,78.4,77.1,78.2,79.8,81.6,78.2,77.9,6.1,7.1,6.0,4.2,5.9,5.9,5.9,3.6,3.7,3.6,3.0,4.1,3.6,4.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,59.0,50.0,9.0,14.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-05,94881,178711,86731.0,56651,178906.0,102492,80526,77.8,76.3,77.6,79.3,81.8,77.7,77.5,4.4,5.5,4.1,2.7,6.5,4.3,4.0,-0.7,-1.1,-0.8,-0.6,0.3,-0.6,-0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,83.0,81.0,2.0,29.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-06,97919,185176,89559.0,57998,183208.0,105952,83132,80.3,79.0,80.1,81.1,83.8,80.4,80.0,4.5,6.7,4.0,1.2,7.0,4.4,3.7,3.2,3.6,3.3,2.4,2.4,3.4,3.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,81.0,75.0,6.0,32.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-07,96043,182091,87905.0,57103,177879.0,103700,81248,78.8,77.7,78.7,79.9,81.3,78.7,78.2,-1.0,1.0,-1.3,-3.9,-0.2,-1.1,-2.1,-1.9,-1.7,-1.8,-1.5,-2.9,-2.1,-2.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,103.0,94.0,9.0,54.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-08,97241,184076,89040.0,57769,179005.0,105095,82369,79.8,78.6,79.7,80.8,81.9,79.7,79.3,-3.2,-1.5,-3.5,-6.3,-2.9,-3.1,-4.1,1.2,1.1,1.3,1.2,0.6,1.3,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,119.0,102.0,17.0,55.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-09,97847,184409,89561.0,58214,181040.0,105799,83145,80.3,78.7,80.2,81.4,82.8,80.3,80.1,-2.1,-1.1,-2.3,-4.9,-2.0,-1.7,-2.7,0.6,0.2,0.6,0.8,1.1,0.7,0.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,234.0,212.0,22.0,91.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-ayrshire/month/2020-10,102788,193264,94151.0,61032,188281.0,111271,87605,84.3,82.5,84.3,85.4,86.1,84.4,84.4,7.1,8.1,6.9,4.2,6.8,7.4,6.9,5.1,4.8,5.1,4.8,4.0,5.2,5.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-ayrshire,253.0,233.0,20.0,86.0,167.0
