_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-01,196494,379437,189620.0,121654,277753.0,215796,157029,82.5,81.3,82.0,85.3,85.7,81.7,81.9,2.9,4.1,2.8,0.3,3.6,3.5,3.4,0.1,0.5,0.0,-0.1,1.0,0.0,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,112.0,105.0,7.0,28.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-02,199379,386230,192162.0,122924,284065.0,219226,159105,83.7,82.8,83.1,86.1,87.6,83.0,83.0,4.6,6.0,4.7,1.8,4.0,5.3,5.1,1.5,1.8,1.3,1.0,2.3,1.6,1.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,124.0,105.0,19.0,32.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-03,200093,387001,192462.0,123835,288774.0,219842,159316,84.0,83.0,83.2,86.8,89.1,83.2,83.1,3.4,4.0,3.4,1.7,3.1,3.8,3.6,0.4,0.2,0.2,0.7,1.7,0.3,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,130.0,104.0,26.0,40.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-04,191060,371211,183750.0,117635,275989.0,209655,152357,80.2,79.6,79.4,82.4,85.2,79.3,79.5,-1.1,0.3,-1.1,-3.2,-1.6,-0.9,-1.3,-4.5,-4.1,-4.5,-5.0,-4.4,-4.6,-4.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,40.0,39.0,1.0,9.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-05,187412,363622,179968.0,115715,273449.0,205265,149591,78.7,78.0,77.8,81.1,84.4,77.7,78.0,-4.1,-2.3,-4.3,-6.0,-2.5,-4.0,-4.6,-1.9,-2.0,-2.1,-1.6,-0.9,-2.1,-1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,57.0,57.0,,20.0,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-06,187494,364585,180289.0,114765,271184.0,206258,149978,78.7,78.2,77.9,80.4,83.7,78.0,78.2,-5.2,-2.6,-5.4,-8.3,-3.6,-4.8,-5.8,0.0,0.3,0.2,-0.8,-0.8,0.5,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,90.0,88.0,2.0,21.0,69.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-07,194809,378336,187469.0,119718,280266.0,214298,155306,81.8,81.1,81.0,83.9,86.5,81.1,81.0,-2.3,0.0,-2.4,-5.1,-1.4,-1.7,-3.0,3.9,3.8,4.0,4.3,3.3,3.9,3.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,97.0,90.0,7.0,27.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-08,195324,377656,188191.0,120037,278731.0,215535,156174,82.0,81.0,81.4,84.1,86.0,81.6,81.5,-2.7,-0.9,-2.7,-5.6,-2.4,-1.8,-3.1,0.3,-0.2,0.4,0.3,-0.5,0.6,0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,132.0,124.0,8.0,40.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-09,201140,386559,193778.0,124139,287193.0,222076,161338,84.4,82.9,83.8,87.0,88.6,84.0,84.1,0.8,1.8,0.9,-1.6,0.5,2.0,0.7,3.0,2.4,3.0,3.4,3.0,3.0,3.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,214.0,207.0,7.0,62.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-dunbartonshire/month/2020-10,204302,390223,197221.0,126168,287788.0,226265,164648,85.7,83.7,85.3,88.4,88.8,85.6,85.9,2.0,2.4,2.2,-0.1,0.8,3.0,2.4,1.6,0.9,1.8,1.6,0.2,1.9,2.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-dunbartonshire,254.0,231.0,23.0,53.0,201.0
