_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-01,223012,415864,200724.0,137077,281336.0,241547,200613,81.4,80.6,80.5,82.7,82.6,81.4,81.2,4.1,5.6,3.9,1.7,5.1,5.0,4.7,-1.0,-0.5,-1.3,-1.4,-0.2,-1.1,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,163.0,118.0,45.0,59.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-02,220902,414512,198431.0,135174,281514.0,239427,198431,80.6,80.3,79.6,81.6,82.6,80.6,80.3,2.5,4.2,2.5,0.0,2.8,3.3,3.1,-0.9,-0.3,-1.1,-1.4,0.1,-0.9,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,119.0,84.0,35.0,37.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-03,215835,405503,193366.0,132352,278139.0,233915,193557,78.7,78.6,77.6,79.9,81.6,78.8,78.3,0.1,1.1,0.1,-1.2,0.6,0.6,0.5,-2.3,-2.2,-2.6,-2.1,-1.2,-2.3,-2.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,143.0,86.0,57.0,31.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-04,217058,408981,194317.0,132355,280242.0,235211,195042,79.2,79.2,78.0,79.9,82.2,79.2,78.9,-1.0,0.7,-1.0,-2.7,-0.4,-0.8,-0.8,0.6,0.9,0.5,0.0,0.8,0.6,0.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,58.0,46.0,12.0,18.0,40.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-05,216051,406456,192816.0,131886,281073.0,234252,194210,78.8,78.7,77.3,79.6,82.5,78.9,78.6,-2.3,-0.3,-2.9,-4.1,0.0,-2.0,-2.4,-0.5,-0.6,-0.8,-0.4,0.3,-0.4,-0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,59.0,52.0,7.0,14.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-06,226905,427684,203076.0,137744,293185.0,246459,204269,82.8,82.9,81.5,83.1,86.0,83.0,82.6,2.2,5.4,1.5,-0.9,4.9,2.7,1.9,5.0,5.2,5.3,4.4,4.3,5.2,5.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,95.0,69.0,26.0,27.0,68.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-07,229214,431827,205608.0,139864,294478.0,248561,205731,83.6,83.7,82.5,84.4,86.4,83.7,83.2,2.0,4.8,1.7,-0.5,3.7,2.6,1.6,1.0,1.0,1.2,1.5,0.4,0.9,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,142.0,102.0,40.0,33.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-08,233275,437571,209756.0,142328,297896.0,253471,210163,85.1,84.8,84.1,85.9,87.4,85.4,85.0,4.4,6.8,4.2,1.7,5.7,5.3,4.4,1.8,1.3,2.0,1.8,1.2,2.0,2.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,155.0,101.0,54.0,47.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-09,236850,441756,212737.0,144865,303270.0,257620,214169,86.4,85.6,85.3,87.4,89.0,86.8,86.7,3.6,5.0,3.6,1.4,4.5,4.8,4.0,1.5,1.0,1.4,1.8,1.8,1.6,1.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,256.0,205.0,51.0,82.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-10,237131,439353,213742.0,145278,300984.0,258267,215534,86.5,85.1,85.7,87.7,88.3,87.0,87.2,3.8,4.6,4.1,2.1,4.1,4.8,4.7,0.1,-0.5,0.5,0.3,-0.8,0.3,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,331.0,247.0,84.0,78.0,253.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-11,242270,450554,219055.0,148386,305150.0,262857,219941,88.4,87.3,87.9,89.5,89.6,88.5,89.0,4.8,5.7,5.2,3.4,4.8,5.1,5.6,2.2,2.5,2.5,2.1,1.4,1.8,2.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,283.0,229.0,54.0,74.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2020-12,241311,451408,218551.0,147316,302686.0,261175,218635,88.0,87.5,87.7,88.9,88.8,88.0,88.5,7.1,8.0,7.5,6.0,7.4,7.0,7.8,-0.4,0.2,-0.2,-0.7,-0.8,-0.6,-0.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,253.0,196.0,57.0,81.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-01,242300,451890,220168.0,149114,301480.0,261528,219164,88.4,87.5,88.3,90.0,88.5,88.1,88.7,8.6,8.7,9.7,8.8,7.2,8.3,9.2,0.4,0.1,0.7,1.2,-0.4,0.1,0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,169.0,139.0,30.0,45.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-02,239428,445570,217561.0,147870,297781.0,258006,216495,87.4,86.3,87.3,89.2,87.4,86.9,87.6,8.4,7.5,9.6,9.4,5.8,7.8,9.1,-1.2,-1.4,-1.2,-0.8,-1.2,-1.3,-1.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,159.0,99.0,60.0,41.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-03,238873,441224,217166.0,148517,296574.0,257264,216581,87.1,85.5,87.1,89.6,87.0,86.7,87.6,10.7,8.8,12.3,12.2,6.6,10.0,11.9,-0.2,-1.0,-0.2,0.4,-0.4,-0.3,0.0,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,295.0,182.0,113.0,95.0,200.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-04,244160,452470,221025.0,151315,306111.0,262525,221252,89.1,87.7,88.7,91.3,89.8,88.4,89.5,12.5,10.6,13.7,14.3,9.2,11.6,13.4,2.2,2.5,1.8,1.9,3.2,2.0,2.2,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,152.0,97.0,55.0,50.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-05,248760,460337,225248.0,154209,311692.0,267582,225727,90.8,89.2,90.4,93.1,91.5,90.1,91.3,15.1,13.3,16.8,16.9,10.9,14.2,16.2,1.9,1.7,1.9,1.9,1.8,1.9,2.0,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,185.0,126.0,59.0,51.0,134.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-06,252196,466133,229350.0,157155,312944.0,270347,228787,92.0,90.3,92.0,94.8,91.8,91.1,92.6,11.1,9.0,12.9,14.1,6.7,9.7,12.0,1.4,1.3,1.8,1.9,0.4,1.0,1.4,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,237.0,176.0,61.0,63.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-07,256540,477044,232725.0,158366,320197.0,275873,232198,93.6,92.4,93.4,95.6,94.0,92.9,93.9,11.9,10.5,13.2,13.2,8.7,11.0,12.9,1.7,2.3,1.5,0.8,2.3,2.0,1.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,186.0,144.0,42.0,67.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-08,264436,491420,240630.0,163426,327763.0,285211,238830,96.5,95.2,96.5,98.6,96.2,96.1,96.6,13.4,12.3,14.7,14.8,10.0,12.5,13.6,3.1,3.0,3.4,3.2,2.4,3.4,2.9,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,192.0,153.0,39.0,71.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-09,269049,501674,244599.0,165493,334169.0,291028,242341,98.2,97.2,98.1,99.9,98.1,98.0,98.1,13.6,13.6,15.0,14.2,10.2,13.0,13.2,1.7,2.1,1.6,1.3,2.0,2.0,1.5,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,184.0,140.0,44.0,55.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-10,269380,500387,246646.0,166992,329063.0,291116,242440,98.3,96.9,98.9,100.8,96.6,98.1,98.1,13.6,13.9,15.4,14.9,9.3,12.7,12.5,0.1,-0.3,0.8,0.9,-1.5,0.0,0.0,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,223.0,185.0,38.0,64.0,159.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-11,266187,496722,243207.0,164482,326744.0,287179,239030,97.1,96.2,97.6,99.3,95.9,96.7,96.7,9.9,10.2,11.0,10.8,7.1,9.3,8.7,-1.2,-0.7,-1.4,-1.5,-0.7,-1.4,-1.4,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,197.0,135.0,62.0,68.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2021-12,264999,494995,242588.0,163713,323879.0,285859,237712,96.7,95.9,97.3,98.8,95.0,96.3,96.2,9.8,9.7,11.0,11.1,7.0,9.5,8.7,-0.4,-0.3,-0.3,-0.5,-0.9,-0.5,-0.6,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,214.0,122.0,92.0,62.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-lothian/month/2022-01,267954,501854,245094.0,165049,328101.0,289062,240095,97.8,97.2,98.3,99.6,96.3,97.4,97.1,10.6,11.1,11.3,10.7,8.8,10.5,9.6,1.1,1.4,1.0,0.8,1.3,1.1,1.0,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-lothian,118.0,100.0,18.0,39.0,79.0
