_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-01,187868,282368,182515.0,105505,276443.0,188260,176461,141157,79.8,80.3,78.9,82.7,84.0,80.0,79.6,78.9,2.0,0.9,1.7,0.8,4.7,2.8,2.9,0.3,0.4,-0.4,0.1,6.2,0.6,-0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5049.0,4606.0,443.0,1328.0,3607.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-02,186308,279453,182172.0,104876,263167.0,186652,174623,140740,79.2,79.4,78.7,82.2,80.0,79.3,78.8,78.6,1.3,0.4,2.0,-0.4,-3.2,1.9,2.3,-0.8,-1.0,-0.2,-0.6,-4.8,-1.0,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5326.0,4774.0,552.0,1384.0,3798.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-03,188446,283155,183606.0,106548,272277.0,189446,176439,142044,80.1,80.5,79.3,83.6,82.7,80.5,79.6,79.4,2.7,2.3,2.7,1.8,2.8,2.9,3.3,1.1,1.3,0.8,1.6,3.5,1.0,0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5233.0,4453.0,780.0,1379.0,3663.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-04,187949,283493,182203.0,103546,280337.0,188026,175902,141839,79.9,80.6,78.7,81.2,85.2,79.9,79.4,79.3,1.9,2.1,1.5,-1.1,5.1,2.1,2.1,-0.3,0.1,-0.8,-2.8,3.0,-0.3,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,2128.0,1919.0,209.0,497.0,1567.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-05,187382,281267,182062.0,105188,275545.0,187096,176266,140794,79.6,80.0,78.7,82.5,83.7,79.5,79.5,78.7,1.4,1.6,1.0,0.1,4.7,1.9,0.8,-0.3,-0.8,-0.1,1.6,-1.7,0.2,-0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,3185.0,2940.0,245.0,839.0,2275.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-06,191136,285465,187236.0,107422,266879.0,190560,179541,144931,81.2,81.2,80.9,84.2,81.1,81.0,81.0,81.0,3.4,2.7,3.7,1.8,2.6,3.7,4.4,2.0,1.5,2.8,2.1,-3.1,1.9,2.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,4677.0,4176.0,501.0,1229.0,3374.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-07,193004,289522,188129.0,108432,278089.0,191554,180986,145754,82.0,82.3,81.3,85.0,84.5,81.4,81.6,81.5,3.6,3.5,3.8,1.9,2.4,4.0,3.7,1.0,1.4,0.5,0.9,4.2,0.8,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5127.0,4626.0,501.0,1330.0,3710.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-08,193470,290976,188712.0,106964,277564.0,191585,181821,145673,82.2,82.7,81.5,83.9,84.3,81.4,82.0,81.4,2.9,2.7,2.9,1.0,3.7,3.6,2.5,0.2,0.5,0.3,-1.4,-0.2,0.5,-0.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5292.0,4701.0,591.0,1390.0,3792.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-09,194142,293040,189530.0,107405,277014.0,191738,181666,146244,82.5,83.3,81.9,84.2,84.2,81.5,82.0,81.7,3.5,3.9,3.7,0.3,2.6,3.9,3.1,0.3,0.7,0.4,0.4,-0.2,-0.1,0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,5673.0,5068.0,605.0,1459.0,4080.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-midlands/month/2020-10,196846,296883,192605.0,108400,276887.0,195746,184002,148843,83.7,84.4,83.2,85.0,84.1,83.2,83.0,83.2,5.0,5.5,5.4,2.0,2.8,4.5,5.7,1.4,1.3,1.6,0.9,0.0,1.3,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-midlands,7147.0,6494.0,653.0,2000.0,4952.0
