_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-01,285803,440900,279720.0,178908,365083.0,286743,291396,238156,83.9,82.8,82.9,89.2,87.7,84.2,83.2,83.3,0.1,-0.8,-0.3,-1.0,3.0,0.6,1.2,-0.6,-0.7,-1.3,-1.0,5.8,-0.2,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,6661.0,5994.0,667.0,1818.0,4666.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-02,285943,443729,281498.0,177559,352189.0,287075,291022,238226,83.9,83.3,83.5,88.5,84.6,84.3,83.1,83.3,-0.3,-0.1,0.3,-2.9,-4.1,0.3,0.5,0.0,0.6,0.6,-0.8,-3.5,-0.1,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,6770.0,6081.0,689.0,1782.0,4793.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-03,285012,441610,279773.0,178686,357409.0,287997,289602,236923,83.7,82.9,83.0,89.1,85.8,84.5,82.7,82.8,0.4,0.9,0.5,-0.9,0.4,0.5,0.7,-0.3,-0.5,-0.6,0.6,1.5,-0.5,-0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,6953.0,5982.0,971.0,1793.0,4921.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-04,287501,446619,281040.0,177083,370038.0,288632,292830,240198,84.4,83.9,83.3,88.3,88.9,84.7,83.6,84.0,0.9,1.7,0.6,-1.9,3.4,1.2,1.4,0.9,1.1,0.5,-0.9,3.5,1.1,1.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,2938.0,2571.0,367.0,709.0,2128.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-05,287030,445145,280844.0,179152,367271.0,287846,293014,237789,84.3,83.6,83.3,89.3,88.2,84.5,83.7,83.2,0.5,1.0,0.1,-0.7,3.8,1.0,0.1,-0.2,-0.3,-0.1,1.2,-0.7,0.1,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,3600.0,3276.0,324.0,929.0,2596.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-06,288667,444748,284841.0,179289,350427.0,288846,294720,241687,84.7,83.5,84.5,89.4,84.2,84.8,84.2,84.5,1.2,1.1,1.4,-0.9,0.8,1.8,2.0,0.6,-0.1,1.4,0.1,-4.6,0.6,1.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,5756.0,5104.0,652.0,1488.0,4165.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-07,289067,447616,283941.0,179123,361003.0,286381,294327,241628,84.9,84.1,84.2,89.3,86.7,84.1,84.0,84.5,0.3,0.8,0.5,-2.3,-0.9,0.7,0.8,0.1,0.6,-0.3,-0.1,3.0,-0.1,0.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,6316.0,5649.0,667.0,1606.0,4576.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-08,292992,456823,287973.0,178407,364513.0,290779,299652,244339,86.0,85.8,85.4,89.0,87.5,85.4,85.6,85.4,1.9,2.8,1.9,-1.1,2.7,2.8,1.8,1.4,2.1,1.4,-0.4,1.0,1.8,1.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,6573.0,5864.0,709.0,1714.0,4729.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-09,296829,463490,292227.0,181061,365491.0,293423,302544,247751,87.1,87.0,86.6,90.3,87.8,86.1,86.4,86.6,2.8,4.2,3.1,-1.3,1.7,3.8,2.8,1.3,1.5,1.5,1.5,0.3,1.0,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,7394.0,6624.0,770.0,1906.0,5291.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-of-england/month/2020-10,295661,461600,291768.0,180147,358715.0,294479,300815,247458,86.8,86.7,86.5,89.8,86.1,86.4,85.9,86.5,2.7,4.1,3.3,-0.6,-0.2,2.5,3.5,-0.4,-0.4,-0.2,-0.5,-1.9,-0.6,-0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-of-england,9269.0,8475.0,794.0,2433.0,6611.0
