_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-01,219900,380890,199347.0,133794,325532.0,231039,182634,80.9,80.0,80.7,83.4,82.4,80.0,80.9,1.0,2.2,1.0,-1.2,1.9,1.7,1.6,0.1,0.5,0.0,-0.2,1.0,0.0,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,128.0,111.0,17.0,37.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-02,218646,380113,198014.0,132506,326092.0,229987,181317,80.4,79.8,80.2,82.6,82.5,79.7,80.3,1.2,2.7,1.3,-1.4,1.1,1.9,1.9,-0.6,-0.2,-0.7,-1.0,0.2,-0.5,-0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,125.0,96.0,29.0,39.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-03,226749,393325,205085.0,137887,341401.0,238568,187685,83.4,82.6,83.0,85.9,86.4,82.6,83.1,3.4,4.1,3.4,1.8,3.1,4.0,3.7,3.7,3.5,3.6,4.1,4.7,3.7,3.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,88.0,70.0,18.0,28.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-04,215448,375781,194869.0,130188,324328.0,226605,178617,79.3,78.9,78.9,81.1,82.0,78.5,79.1,-3.7,-2.2,-3.6,-5.7,-4.2,-3.3,-3.7,-5.0,-4.5,-5.0,-5.6,-5.0,-5.0,-4.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,20.0,17.0,3.0,4.0,16.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-05,213239,372051,192518.0,129085,325078.0,223730,176892,78.4,78.1,78.0,80.5,82.2,77.5,78.3,-5.6,-3.6,-5.9,-7.5,-3.7,-5.4,-6.0,-1.0,-1.0,-1.2,-0.8,0.2,-1.3,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,33.0,29.0,4.0,6.0,27.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-06,205310,359028,185605.0,123453,310207.0,215974,170682,75.5,75.4,75.2,76.9,78.5,74.8,75.6,-11.2,-8.3,-11.5,-14.1,-9.2,-11.0,-11.7,-3.7,-3.5,-3.6,-4.4,-4.6,-3.5,-3.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,70.0,67.0,3.0,23.0,47.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-07,219005,381786,198162.0,132452,328826.0,230268,181535,80.6,80.2,80.2,82.6,83.2,79.8,80.4,-5.6,-3.0,-5.7,-8.0,-4.3,-5.2,-6.2,6.7,6.3,6.8,7.3,6.0,6.6,6.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,95.0,85.0,10.0,24.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-08,225562,390624,204353.0,136628,335673.0,237752,187644,83.0,82.0,82.7,85.2,84.9,82.4,83.1,-1.8,0.2,-1.8,-4.3,-1.2,-1.1,-2.0,3.0,2.3,3.1,3.2,2.1,3.3,3.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,119.0,96.0,23.0,43.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-09,234868,404593,212686.0,142563,350612.0,247858,195929,86.4,85.0,86.1,88.9,88.7,85.9,86.8,4.7,5.8,4.7,2.4,4.7,5.8,4.8,4.1,3.6,4.1,4.3,4.5,4.3,4.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,191.0,161.0,30.0,58.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-renfrewshire/month/2020-10,240497,411254,218218.0,145945,354089.0,254599,201801,88.5,86.4,88.4,91.0,89.6,88.2,89.4,8.4,8.9,8.5,6.1,7.4,9.4,9.3,2.4,1.6,2.6,2.4,1.0,2.7,3.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-renfrewshire,251.0,217.0,34.0,67.0,184.0
