_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-01,172308,264557,168345.0,89302,218162.0,164822,130417,81.2,81.4,80.6,85.0,83.3,81.1,80.2,1.6,1.2,1.5,0.3,1.4,1.9,1.9,0.4,0.5,0.3,0.0,1.3,0.3,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,479.0,415.0,64.0,153.0,318.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-02,171176,262981,167212.0,88415,218951.0,163607,129715,80.7,80.9,80.1,84.2,83.6,80.5,79.8,2.1,1.7,2.2,0.4,1.0,2.5,2.7,-0.7,-0.6,-0.7,-1.0,0.4,-0.7,-0.5,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,448.0,383.0,65.0,170.0,268.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-03,170760,262796,166643.0,87778,221915.0,163158,129284,80.5,80.9,79.8,83.6,84.7,80.3,79.5,1.7,1.3,1.8,-0.1,1.5,2.0,2.2,-0.2,-0.1,-0.3,-0.7,1.4,-0.3,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,431.0,365.0,66.0,153.0,261.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-04,169941,261914,165733.0,86800,221935.0,162208,128787,80.1,80.6,79.3,82.6,84.7,79.8,79.2,0.5,0.5,0.6,-1.6,0.6,0.6,1.0,-0.5,-0.3,-0.5,-1.1,0.0,-0.6,-0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,133.0,117.0,16.0,41.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-05,173218,266934,168621.0,88588,229185.0,165436,131126,81.6,82.1,80.7,84.3,87.5,81.4,80.7,1.0,1.3,0.8,-0.9,3.6,1.1,1.1,1.9,1.9,1.7,2.1,3.3,2.0,1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,256.0,231.0,25.0,99.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-06,174912,268949,170528.0,89359,228998.0,167328,132572,82.4,82.8,81.6,85.1,87.4,82.4,81.6,1.5,1.7,1.4,-0.7,4.0,1.7,1.5,1.0,0.8,1.1,0.9,-0.1,1.1,1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,384.0,324.0,60.0,144.0,227.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-07,175253,269084,171118.0,89939,226925.0,167803,132795,82.6,82.8,81.9,85.6,86.6,82.6,81.7,2.1,2.2,2.2,0.2,3.2,2.5,2.0,0.2,0.1,0.3,0.6,-0.9,0.3,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,419.0,347.0,72.0,163.0,253.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-08,174258,267780,170388.0,88663,223302.0,166892,132104,82.1,82.4,81.6,84.4,85.2,82.1,81.3,1.0,1.0,1.1,-1.5,1.1,1.4,0.9,-0.6,-0.5,-0.4,-1.4,-1.6,-0.5,-0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,469.0,399.0,70.0,153.0,307.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-09,175519,270585,171510.0,88618,225953.0,167890,132897,82.7,83.3,82.1,84.4,86.2,82.6,81.8,1.9,2.2,2.1,-1.2,1.8,2.4,1.6,0.7,1.0,0.7,-0.1,1.2,0.6,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,506.0,432.0,74.0,185.0,315.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-10,178814,276165,174921.0,89661,228393.0,170961,135333,84.3,85.0,83.7,85.4,87.2,84.1,83.3,3.5,4.1,3.7,-0.2,3.2,3.8,3.3,1.9,2.1,2.0,1.2,1.1,1.8,1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,682.0,609.0,73.0,253.0,419.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-11,182182,281379,178510.0,91521,229952.0,174003,138034,85.9,86.6,85.5,87.1,87.8,85.6,84.9,6.3,7.0,6.7,2.6,5.7,6.3,6.4,1.9,1.9,2.1,2.1,0.7,1.8,2.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,702.0,643.0,59.0,249.0,442.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2020-12,184957,285546,181424.0,93041,231646.0,176502,140375,87.2,87.9,86.9,88.6,88.4,86.9,86.4,7.8,8.5,8.1,4.1,7.6,7.4,8.1,1.5,1.5,1.6,1.7,0.7,1.4,1.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,699.0,630.0,69.0,263.0,419.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-01,187070,287338,183754.0,95326,231929.0,178675,142490,88.2,88.4,88.0,90.8,88.5,87.9,87.7,8.6,8.6,9.2,6.7,6.3,8.4,9.3,1.1,0.6,1.3,2.5,0.1,1.2,1.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,553.0,505.0,48.0,209.0,344.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-02,188579,288287,185274.0,97176,233265.0,180220,144202,88.9,88.7,88.7,92.5,89.0,88.7,88.7,10.2,9.6,10.8,9.9,6.5,10.2,11.2,0.8,0.3,0.8,1.9,0.6,0.9,1.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,705.0,621.0,84.0,258.0,447.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-03,189717,288625,186361.0,99051,234563.0,181397,145614,89.4,88.8,89.2,94.3,89.5,89.3,89.6,11.1,9.8,11.8,12.8,5.7,11.2,12.6,0.6,0.1,0.6,1.9,0.6,0.7,1.0,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,928.0,803.0,125.0,376.0,552.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-04,188905,287715,185174.0,98469,236311.0,180369,145081,89.0,88.5,88.7,93.8,90.2,88.8,89.3,11.2,9.9,11.7,13.4,6.5,11.2,12.7,-0.4,-0.3,-0.6,-0.6,0.7,-0.6,-0.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,623.0,549.0,74.0,251.0,372.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-05,188446,287254,184638.0,98011,236339.0,179835,144716,88.8,88.4,88.4,93.3,90.2,88.5,89.0,8.8,7.6,9.5,10.6,3.1,8.7,10.4,-0.2,-0.2,-0.3,-0.5,0.0,-0.3,-0.3,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,591.0,505.0,86.0,198.0,393.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-riding-of-yorkshire/month/2021-06,190981,290352,187594.0,99467,236261.0,182171,147404,90.0,89.3,89.8,94.7,90.2,89.7,90.7,9.2,8.0,10.0,11.3,3.2,8.9,11.2,1.3,1.1,1.6,1.5,0.0,1.3,1.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-riding-of-yorkshire,1037.0,868.0,169.0,410.0,626.0
