_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-01,274292,482018,271812.0,161032,350403.0,300679,240251,79.5,79.4,79.3,81.3,82.0,79.3,78.0,0.4,0.0,0.5,-0.2,0.0,0.8,1.4,-1.0,-1.2,-1.0,-0.7,-1.1,-1.3,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,641.0,609.0,32.0,247.0,388.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-02,271527,477610,268942.0,159062,350787.0,297749,237883,78.7,78.7,78.4,80.3,82.1,78.5,77.2,-0.2,-0.6,-0.1,-1.0,-1.8,0.1,0.9,-1.0,-0.9,-1.1,-1.2,0.1,-1.0,-1.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,655.0,621.0,34.0,255.0,383.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-03,271970,478474,269131.0,158790,357830.0,298829,238523,78.8,78.8,78.5,80.2,83.7,78.8,77.4,-0.7,-1.0,-0.7,-1.7,-0.9,-0.3,0.2,0.2,0.2,0.1,-0.2,2.0,0.4,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,708.0,658.0,50.0,285.0,403.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-04,271219,480909,268047.0,156137,364174.0,299897,237362,78.6,79.2,78.2,78.9,85.2,79.1,77.1,-0.8,-0.3,-0.9,-2.8,0.4,0.0,-0.3,-0.3,0.5,-0.4,-1.7,1.8,0.4,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,294.0,273.0,21.0,105.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-05,273032,483658,269607.0,157377,371507.0,302242,238626,79.1,79.7,78.6,79.5,86.9,79.7,77.5,0.7,1.3,0.5,-1.0,4.4,1.5,0.8,0.7,0.6,0.6,0.8,2.0,0.8,0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,373.0,360.0,13.0,147.0,221.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-06,271339,481033,268115.0,156124,365481.0,300534,237214,78.6,79.3,78.2,78.9,85.5,79.3,77.0,-0.3,0.8,-0.5,-2.6,3.8,0.8,-0.4,-0.6,-0.5,-0.6,-0.8,-1.6,-0.6,-0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,521.0,492.0,29.0,191.0,322.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-07,273395,483289,270459.0,158583,361496.0,301682,238758,79.2,79.6,78.9,80.1,84.6,79.6,77.5,0.5,1.4,0.4,-1.1,2.3,1.2,0.3,0.8,0.5,0.9,1.6,-1.1,0.4,0.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,692.0,665.0,27.0,289.0,400.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-08,274917,486335,272104.0,158011,360538.0,304118,241712,79.7,80.1,79.4,79.8,84.4,80.2,78.5,-0.5,0.4,-0.6,-3.1,1.2,0.8,-0.2,0.6,0.6,0.6,-0.4,-0.3,0.8,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,673.0,632.0,41.0,262.0,405.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-09,278961,495641,275970.0,159304,368662.0,309040,245173,80.9,81.7,80.5,80.5,86.3,81.5,79.6,1.3,2.2,1.2,-1.6,2.5,2.7,1.7,1.5,1.9,1.4,0.8,2.3,1.6,1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,799.0,754.0,45.0,304.0,479.0
http://landregistry.data.gov.uk/data/ukhpi/region/east-sussex/month/2020-10,282598,503944,279747.0,160528,369772.0,313018,248629,81.9,83.0,81.6,81.1,86.5,82.6,80.7,1.7,3.0,1.7,-1.5,2.3,2.8,2.2,1.3,1.7,1.4,0.8,0.3,1.3,1.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/east-sussex,964.0,909.0,55.0,378.0,573.0
