_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-01,413847,1056721,413464.0,285008,393204.0,605757,418625,86.5,84.6,86.3,90.0,90.4,85.4,84.8,-1.5,-1.7,-1.5,-3.0,-2.4,-0.8,-0.4,-2.3,-2.5,-2.4,-2.5,-1.8,-2.3,-2.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,178.0,170.0,8.0,25.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-02,414403,1059674,413882.0,285036,398199.0,605526,419860,86.7,84.8,86.4,90.0,91.6,85.3,85.0,-1.8,-1.4,-1.7,-3.6,-3.6,-1.1,-0.5,0.1,0.3,0.1,0.0,1.3,0.0,0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,189.0,184.0,5.0,35.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-03,417188,1068683,416342.0,286626,408169.0,610479,422885,87.2,85.5,86.9,90.5,93.9,86.0,85.7,-0.3,0.2,-0.2,-1.9,-0.6,0.5,0.8,0.7,0.9,0.6,0.6,2.5,0.8,0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,172.0,163.0,9.0,35.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-04,420470,1086508,419570.0,287782,412168.0,615264,427188,87.9,86.9,87.6,90.9,94.8,86.7,86.5,0.5,2.3,0.5,-1.5,0.0,1.6,1.6,0.8,1.7,0.8,0.4,1.0,0.8,1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,98.0,97.0,1.0,11.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-05,417005,1078287,415749.0,286051,414640.0,610175,422810,87.2,86.3,86.8,90.3,95.4,86.0,85.6,1.2,3.4,1.1,-0.2,3.4,2.1,1.8,-0.8,-0.8,-0.9,-0.6,0.6,-0.8,-1.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,78.0,78.0,,12.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-06,411588,1061788,410667.0,281509,404185.0,603201,418181,86.1,85.0,85.7,88.9,93.0,85.0,84.7,-0.7,1.5,-0.7,-2.3,1.2,0.4,0.1,-1.3,-1.5,-1.2,-1.6,-2.5,-1.1,-1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,155.0,153.0,2.0,29.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-07,412997,1057035,412317.0,282984,401591.0,604964,419461,86.4,84.6,86.0,89.4,92.4,85.2,85.0,0.5,2.1,0.5,-1.0,0.9,1.4,1.3,0.3,-0.4,0.4,0.5,-0.6,0.3,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,169.0,162.0,7.0,30.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-08,423474,1086281,423135.0,287897,405991.0,623431,431866,88.6,86.9,88.3,90.9,93.4,87.8,87.5,1.5,3.4,1.6,-0.6,0.8,3.0,2.7,2.5,2.8,2.6,1.7,1.1,3.1,3.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,162.0,153.0,9.0,29.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-09,426015,1099663,425627.0,288626,409164.0,629125,434752,89.1,88.0,88.8,91.1,94.1,88.6,88.1,3.7,5.9,3.8,1.2,2.1,5.6,4.8,0.6,1.2,0.6,0.3,0.8,0.9,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,200.0,193.0,7.0,35.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/enfield/month/2020-10,432225,1119934,432147.0,291767,410161.0,639641,441817,90.4,89.6,90.2,92.1,94.3,90.1,89.5,3.8,5.7,3.9,1.2,1.4,5.5,5.1,1.5,1.8,1.5,1.1,0.2,1.7,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/enfield,238.0,233.0,5.0,35.0,199.0
