_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-01,234049,379278,229121.0,200542,305710.0,233830,223383,188112,81.9,81.1,80.9,88.1,86.6,81.8,80.6,80.5,1.3,0.5,1.0,0.0,4.0,2.0,2.2,-0.1,0.3,-0.8,-0.4,6.1,0.2,-0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,56603.0,51367.0,5236.0,15566.0,39718.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-02,232955,378175,229326.0,198111,293199.0,232936,222084,188050,81.5,80.9,81.0,87.0,83.0,81.5,80.1,80.5,0.9,0.5,1.5,-1.1,-3.0,1.6,2.0,-0.5,-0.3,0.1,-1.2,-4.1,-0.6,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,56568.0,50581.0,5987.0,15325.0,39554.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-03,235204,381424,230873.0,201893,301764.0,236728,223902,189218,82.3,81.6,81.6,88.7,85.5,82.8,80.8,81.0,2.5,2.4,2.6,1.8,2.6,2.6,3.1,1.0,0.9,0.7,1.9,2.9,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,57626.0,49736.0,7890.0,15525.0,39966.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-04,232657,380360,227459.0,196842,306573.0,232605,221522,187480,81.4,81.3,80.3,86.4,86.8,81.4,79.9,80.2,0.7,1.7,0.4,-1.4,3.2,1.0,0.9,-1.1,-0.3,-1.5,-2.5,1.6,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,23673.0,20993.0,2680.0,6037.0,16889.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-05,233673,379564,228662.0,199258,306026.0,233306,223472,187588,81.8,81.2,80.8,87.5,86.7,81.6,80.6,80.3,1.0,1.5,0.6,0.3,4.5,1.5,0.6,0.4,-0.2,0.5,1.2,-0.2,0.9,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,30798.0,28330.0,2468.0,8467.0,21595.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-06,236731,381630,233561.0,200593,293587.0,235518,226560,191964,82.8,81.6,82.5,88.1,83.1,82.4,81.7,82.2,2.0,1.8,2.2,0.0,1.4,2.5,2.9,1.3,0.5,2.1,0.7,-4.1,1.4,2.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,46664.0,41775.0,4889.0,12806.0,32975.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-07,239080,386939,234858.0,203285,305170.0,236028,228366,193150,83.6,82.8,83.0,89.3,86.4,82.6,82.4,82.7,1.9,2.2,2.2,-0.1,0.4,2.6,2.3,1.0,1.4,0.6,1.3,3.9,0.8,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,54524.0,49100.0,5424.0,15118.0,38317.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-08,241511,393170,237385.0,202602,307076.0,237871,231397,195125,84.5,84.1,83.9,89.0,87.0,83.2,83.5,83.5,2.6,3.0,2.6,0.9,3.7,3.5,2.5,1.0,1.6,1.1,-0.3,0.6,1.3,1.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,56476.0,50719.0,5757.0,15156.0,40154.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-09,243733,397653,239875.0,204750,307284.0,240294,232610,197172,85.3,85.0,84.7,89.9,87.0,84.1,83.9,84.4,3.4,4.4,3.7,0.5,2.2,4.3,3.6,0.9,1.1,1.0,1.1,0.1,0.5,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,62864.0,56532.0,6332.0,17116.0,44353.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-10,245090,400900,241768.0,203687,304277.0,242634,234285,198822,85.8,85.7,85.4,89.4,86.2,84.9,84.5,85.1,4.3,5.5,4.8,1.1,1.5,4.3,5.3,0.6,0.8,0.8,-0.5,-1.0,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,77907.0,71485.0,6422.0,21585.0,54537.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-11,247749,404089,244908.0,206467,303297.0,245304,236609,201342,86.7,86.4,86.5,90.7,85.9,85.8,85.3,86.2,5.9,6.3,6.1,3.8,5.9,5.8,6.9,1.1,0.8,1.3,1.4,-0.3,1.0,1.3,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,76747.0,70882.0,5865.0,21598.0,53155.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2020-12,250168,408273,247200.0,207515,307076.0,247643,238974,203750,87.5,87.3,87.3,91.1,87.0,86.6,86.2,87.2,6.8,8.0,7.0,3.1,6.6,7.2,7.8,1.0,1.0,0.9,0.5,1.2,1.0,1.2,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,85705.0,78316.0,7389.0,23812.0,59267.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-01,249890,400408,247390.0,211598,302916.0,249471,239206,203782,87.4,85.6,87.4,92.9,85.8,87.3,86.3,87.2,6.8,5.6,8.0,5.5,-0.9,7.1,8.3,-0.1,-1.9,0.1,2.0,-1.4,0.1,0.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,70906.0,64303.0,6603.0,20098.0,50692.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-02,251309,401761,248448.0,212678,308151.0,250867,240266,205709,87.9,85.9,87.8,93.4,87.3,87.8,86.7,88.0,7.9,6.2,8.3,7.4,5.1,8.2,9.4,0.6,0.3,0.4,0.5,1.7,0.4,0.9,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,90060.0,81669.0,8391.0,25281.0,64636.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-03,254407,405272,251260.0,217216,314519.0,255704,242416,208532,89.0,86.7,88.8,95.4,89.1,89.5,87.4,89.3,8.2,6.3,8.8,7.6,4.2,8.3,10.2,1.2,0.9,1.1,2.1,2.1,0.9,1.4,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,128525.0,115038.0,13487.0,38047.0,90217.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-04,250703,402224,247201.0,211892,314099.0,251577,239276,205073,87.7,86.0,87.3,93.1,88.9,88.0,86.3,87.8,7.8,5.7,8.7,7.6,2.5,8.0,9.4,-1.5,-0.8,-1.6,-2.5,-0.1,-1.3,-1.7,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,82173.0,74364.0,7809.0,23147.0,58873.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-05,251203,403410,248247.0,211031,308999.0,251528,240217,205640,87.9,86.3,87.7,92.7,87.5,88.0,86.6,88.0,7.5,6.3,8.6,5.9,1.0,7.5,9.6,0.2,0.3,0.4,-0.4,-1.6,0.4,0.3,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,71336.0,63923.0,7413.0,20021.0,51157.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-06,266129,423149,264177.0,222854,315535.0,265045,253590,221100,93.1,90.5,93.3,97.9,89.4,92.7,91.5,94.6,12.4,10.9,13.1,11.1,7.5,11.9,15.2,5.9,4.9,6.4,5.6,2.1,5.6,7.5,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,162673.0,147313.0,15360.0,46666.0,115655.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-07,250545,401849,246692.0,212284,317612.0,247316,240259,203681,87.7,85.9,87.1,93.2,89.9,86.5,86.7,87.2,4.8,3.9,5.0,4.4,4.1,5.2,5.5,-5.9,-5.0,-6.6,-4.7,0.7,-5.3,-7.9,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,52302.0,47242.0,5060.0,13966.0,38194.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-08,259193,418989,256966.0,215477,310534.0,255022,248799,211410,90.7,89.6,90.8,94.6,87.9,89.2,89.7,90.5,7.3,6.6,8.2,6.4,1.1,7.5,8.3,3.5,4.3,4.2,1.5,-2.2,3.6,3.8,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,71786.0,64390.0,7396.0,19585.0,51984.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-09,268041,429424,265944.0,221733,319095.0,263982,257076,221283,93.8,91.8,93.9,97.4,90.4,92.4,92.7,94.7,10.0,8.0,10.9,8.3,3.8,10.5,12.2,3.4,2.5,3.5,2.9,2.8,3.3,4.7,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,125654.0,114514.0,11140.0,36874.0,88390.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-10,259748,427308,257561.0,213941,310760.0,256981,248864,210086,90.9,91.4,91.0,94.0,88.0,89.9,89.8,89.9,6.0,6.6,6.5,5.0,2.1,6.2,5.7,-3.1,-0.5,-3.2,-3.5,-2.6,-3.2,-5.1,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,53907.0,47105.0,6802.0,14191.0,39469.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-11,265662,433974,262973.0,218984,322349.0,263094,255257,215507,92.9,92.8,92.9,96.2,91.3,92.0,92.1,92.2,7.2,7.4,7.4,6.1,6.3,7.9,7.0,2.3,1.6,2.1,2.4,3.7,2.6,2.6,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,68044.0,59912.0,8132.0,19358.0,48373.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2021-12,267793,435507,266161.0,220057,314269.0,265639,256409,219333,93.7,93.1,94.0,96.6,89.0,92.9,92.5,93.9,7.0,6.7,7.7,6.0,2.3,7.3,7.6,0.8,0.4,1.2,0.5,-2.5,0.5,1.8,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,76166.0,63985.0,12181.0,21100.0,54553.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-01,270231,440325,268121.0,220816,321658.0,270064,260243,220353,94.5,94.2,94.7,97.0,91.1,94.5,93.9,94.3,8.1,10.0,8.4,4.4,6.2,8.8,8.1,0.9,1.1,0.7,0.3,2.4,1.5,0.5,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,57602.0,52374.0,5228.0,16464.0,40933.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-02,271265,440554,268780.0,223575,332327.0,271163,261063,221012,94.9,94.2,94.9,98.2,94.1,94.9,94.2,94.6,7.9,9.7,8.2,5.1,7.8,8.7,7.4,0.4,0.1,0.2,1.2,3.3,0.3,0.3,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,66048.0,59531.0,6517.0,18383.0,47375.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-03,272225,443574,269802.0,221848,331680.0,274519,262521,221995,95.2,94.9,95.3,97.4,93.9,96.0,94.7,95.0,7.0,9.5,7.4,2.1,5.5,8.3,6.5,0.4,0.7,0.4,-0.8,-0.2,0.6,0.4,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,75440.0,66201.0,9239.0,21491.0,53540.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-04,274812,446355,272594.0,223782,328936.0,275320,264279,225518,96.1,95.5,96.3,98.3,93.2,96.3,95.3,96.5,9.6,11.0,10.3,5.6,4.7,10.4,10.0,1.0,0.6,1.0,0.9,-0.8,0.7,1.6,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,68234.0,59078.0,9156.0,19263.0,48524.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-05,278084,451774,275953.0,224775,329993.0,278065,268689,227975,97.3,96.6,97.5,98.7,93.5,97.3,96.9,97.6,10.7,12.0,11.2,6.5,6.8,11.9,10.9,1.2,1.2,1.2,0.4,0.3,1.7,1.1,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,68223.0,60133.0,8090.0,19167.0,48615.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-06,281116,454481,278947.0,229363,333972.0,279544,270777,231086,98.4,97.2,98.5,100.7,94.6,97.8,97.7,98.9,5.6,7.4,5.6,2.9,5.8,6.8,4.5,1.1,0.6,1.1,2.0,1.2,0.8,1.4,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,71809.0,59020.0,12789.0,19490.0,51665.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-07,286526,464170,284296.0,230175,340887.0,282266,277134,236066,100.2,99.3,100.4,101.1,96.5,98.8,100.0,101.0,14.4,15.5,15.2,8.4,7.3,15.3,15.9,1.9,2.1,1.9,0.4,2.1,2.3,2.2,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,76486.0,68386.0,8100.0,20953.0,54821.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-08,289294,469648,287139.0,231993,341753.0,284061,279162,238656,101.2,100.4,101.4,101.9,96.8,99.4,100.7,102.1,11.6,12.1,11.7,7.7,10.1,12.2,12.9,1.0,1.2,1.0,0.8,0.3,0.7,1.1,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,79111.0,71343.0,7768.0,21802.0,56541.0
http://landregistry.data.gov.uk/data/ukhpi/region/england/month/2022-09,290185,471688,288079.0,232246,341379.0,285667,280183,239221,101.5,100.9,101.8,102.0,96.7,99.9,101.1,102.4,8.3,9.8,8.3,4.7,7.0,9.0,8.1,0.3,0.4,0.3,0.1,-0.1,0.4,0.2,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/england,79500.0,69778.0,9722.0,22077.0,56356.0
