_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-01,308465,494029,304078.0,178331,362813.0,316695,257969,83.7,83.0,83.1,87.9,85.4,83.3,82.6,-1.3,-1.6,-1.3,-2.5,-1.1,-0.7,-0.5,0.1,0.2,0.0,-0.2,1.0,0.1,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1616.0,1428.0,188.0,409.0,1161.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-02,307792,493212,303270.0,177353,365553.0,316016,257828,83.6,82.9,82.9,87.4,86.0,83.1,82.5,-0.9,-1.0,-0.7,-2.7,-2.0,-0.3,0.2,-0.2,-0.2,-0.3,-0.5,0.8,-0.2,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1616.0,1452.0,164.0,424.0,1142.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-03,308083,494883,303079.0,177101,371968.0,316276,257725,83.6,83.2,82.9,87.3,87.5,83.2,82.5,-0.2,-0.2,-0.1,-2.1,-0.7,0.2,0.6,0.1,0.3,-0.1,-0.1,1.8,0.1,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1765.0,1534.0,231.0,435.0,1263.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-04,308037,496107,302911.0,176156,372905.0,315887,258076,83.6,83.4,82.8,86.8,87.7,83.1,82.6,-0.1,0.4,0.1,-2.4,-0.7,0.1,0.8,0.0,0.2,-0.1,-0.5,0.3,-0.1,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,727.0,636.0,91.0,169.0,535.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-05,309620,499118,303841.0,177315,379722.0,317628,258674,84.0,83.9,83.1,87.4,89.3,83.5,82.8,0.3,1.0,0.2,-1.5,2.2,0.4,0.8,0.5,0.6,0.3,0.7,1.8,0.6,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,898.0,825.0,73.0,226.0,657.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-06,310474,498280,305246.0,177652,376419.0,319013,260650,84.3,83.7,83.5,87.6,88.6,83.9,83.5,0.5,0.7,0.4,-1.4,2.3,0.8,1.3,0.3,-0.2,0.5,0.2,-0.9,0.4,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1493.0,1349.0,144.0,388.0,1080.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-07,311280,498550,306608.0,178580,372884.0,320187,261208,84.5,83.8,83.8,88.0,87.7,84.2,83.6,0.2,0.3,0.3,-1.6,0.3,0.7,0.8,0.3,0.1,0.4,0.5,-0.9,0.4,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1476.0,1338.0,138.0,371.0,1076.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-08,312708,501621,308417.0,177959,371428.0,321900,263135,84.9,84.3,84.3,87.7,87.4,84.7,84.2,0.8,1.0,1.0,-1.7,0.2,1.4,1.4,0.5,0.6,0.6,-0.3,-0.4,0.5,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1561.0,1396.0,165.0,367.0,1162.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-09,315541,508378,310986.0,178534,376492.0,324791,265026,85.7,85.4,85.0,88.0,88.6,85.4,84.9,1.2,1.9,1.5,-1.7,0.4,2.0,1.6,0.9,1.3,0.8,0.3,1.4,0.9,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,1785.0,1625.0,160.0,443.0,1287.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-10,318303,514175,314012.0,179035,377456.0,327538,267609,86.4,86.4,85.9,88.3,88.8,86.2,85.7,2.8,3.8,3.0,-0.6,2.0,3.3,3.3,0.9,1.1,1.0,0.3,0.3,0.8,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,2306.0,2144.0,162.0,552.0,1701.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-11,319158,515380,315509.0,179698,373506.0,328082,268609,86.6,86.6,86.3,88.6,87.9,86.3,86.0,3.0,3.9,3.3,-0.3,2.0,3.3,3.7,0.3,0.2,0.5,0.4,-1.0,0.2,0.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,2385.0,2237.0,148.0,642.0,1679.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2020-12,321159,519248,317844.0,180498,373151.0,329714,270631,87.2,87.3,86.9,89.0,87.8,86.7,86.6,4.2,5.3,4.5,1.0,3.9,4.2,5.1,0.6,0.8,0.7,0.4,-0.1,0.5,0.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,2678.0,2461.0,217.0,677.0,1906.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2021-01,321696,517640,318877.0,182407,370036.0,330211,271234,87.3,87.0,87.2,89.9,87.1,86.9,86.8,4.3,4.8,4.9,2.3,2.0,4.3,5.1,0.2,-0.3,0.3,1.1,-0.8,0.2,0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,2340.0,2103.0,237.0,589.0,1745.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2021-02,322037,515384,319253.0,184484,370423.0,330064,272125,87.4,86.6,87.3,90.9,87.2,86.8,87.1,4.6,4.5,5.3,4.0,1.3,4.4,5.5,0.1,-0.4,0.1,1.1,0.1,0.0,0.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,3044.0,2785.0,259.0,838.0,2201.0
http://landregistry.data.gov.uk/data/ukhpi/region/essex/month/2021-03,320825,510274,318025.0,185942,369785.0,328417,271615,87.1,85.7,86.9,91.7,87.0,86.4,87.0,4.1,3.1,4.9,5.0,-0.6,3.8,5.4,-0.4,-1.0,-0.4,0.8,-0.2,-0.5,-0.2,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/essex,4337.0,3972.0,365.0,1167.0,3162.0
