_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-01,127437,252678,122176.0,80049,186954.0,147100,113505,80.9,79.6,80.8,83.0,82.4,80.5,80.2,9.6,10.9,9.4,7.1,11.2,10.3,10.1,1.7,2.2,1.6,1.5,2.8,1.5,1.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,196.0,178.0,18.0,55.0,141.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-02,124892,248970,119506.0,78086,185125.0,144120,111141,79.3,78.4,79.0,81.0,81.6,78.9,78.6,7.8,9.4,7.7,5.1,8.4,8.5,8.3,-2.0,-1.5,-2.2,-2.5,-1.0,-2.0,-2.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,172.0,157.0,15.0,47.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-03,123902,246908,118335.0,77704,185622.0,142722,110073,78.7,77.8,78.2,80.6,81.8,78.1,77.8,6.9,7.8,6.8,5.5,7.4,7.2,7.1,-0.8,-0.8,-1.0,-0.5,0.3,-1.0,-1.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,174.0,160.0,14.0,54.0,120.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-04,124623,248686,118964.0,77790,187416.0,143578,111105,79.1,78.3,78.6,80.7,82.6,78.6,78.5,7.0,8.5,6.9,5.3,7.6,7.2,7.1,0.6,0.7,0.5,0.1,1.0,0.6,0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,86.0,85.0,1.0,23.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-05,126737,251963,120818.0,79170,192527.0,146088,113293,80.5,79.4,79.9,82.1,84.8,79.9,80.1,6.4,8.0,5.9,4.6,9.3,6.5,6.2,1.7,1.3,1.6,1.8,2.7,1.7,2.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,108.0,105.0,3.0,23.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-06,126276,252013,120483.0,78239,190614.0,146051,113090,80.2,79.4,79.6,81.1,84.0,79.9,79.9,5.1,7.9,4.5,1.9,8.5,5.5,5.0,-0.4,0.0,-0.3,-1.2,-1.0,0.0,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,113.0,105.0,8.0,30.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-07,124619,249096,119040.0,77522,186454.0,143948,111064,79.1,78.5,78.7,80.4,82.1,78.8,78.5,2.6,5.2,2.2,-0.2,4.6,3.2,2.2,-1.3,-1.2,-1.2,-0.9,-2.2,-1.4,-1.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,114.0,97.0,17.0,38.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-08,124036,247475,118618.0,77123,183994.0,143467,110692,78.8,77.9,78.4,80.0,81.1,78.5,78.2,1.0,3.4,0.7,-1.9,2.4,1.8,0.8,-0.5,-0.7,-0.4,-0.5,-1.3,-0.3,-0.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,211.0,199.0,12.0,58.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-09,127268,252431,121708.0,79381,188807.0,147222,113888,80.8,79.5,80.4,82.3,83.2,80.6,80.5,2.3,3.7,2.1,-0.1,2.8,3.3,2.3,2.6,2.0,2.6,2.9,2.6,2.6,2.9,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,330.0,304.0,26.0,84.0,246.0
http://landregistry.data.gov.uk/data/ukhpi/region/falkirk/month/2020-10,130242,256791,124770.0,81274,190686.0,150980,117000,82.7,80.9,82.5,84.3,84.0,82.6,82.7,4.6,5.4,4.6,2.6,4.1,5.4,5.1,2.3,1.7,2.5,2.4,1.0,2.6,2.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/falkirk,356.0,330.0,26.0,102.0,254.0
