_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-01,129246,82.4,3.4,0.1,2020-01,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-02,129246,82.4,3.4,0.1,2020-02,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-03,129246,82.4,3.4,0.1,2020-03,3,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-04,127280,81.1,2.7,-1.5,2020-04,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-05,127280,81.1,2.7,-1.5,2020-05,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-06,127280,81.1,2.7,-1.5,2020-06,3,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,37.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-07,128709,82.1,-1.0,1.1,2020-07,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-08,128709,82.1,-1.0,1.1,2020-08,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-09,128709,82.1,-1.0,1.1,2020-09,3,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-10,135344,86.3,4.8,5.2,2020-10,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-11,135344,86.3,4.8,5.2,2020-11,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2020-12,135344,86.3,4.8,5.2,2020-12,3,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-01,134472,85.7,4.0,-0.6,2021-01,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-02,134472,85.7,4.0,-0.6,2021-02,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-03,134472,85.7,4.0,-0.6,2021-03,3,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-04,138840,88.5,9.1,3.2,2021-04,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-05,138840,88.5,9.1,3.2,2021-05,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-06,138840,88.5,9.1,3.2,2021-06,3,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-07,142462,90.8,10.7,2.6,2021-07,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-08,142462,90.8,10.7,2.6,2021-08,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-09,142462,90.8,10.7,2.6,2021-09,3,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-10,147210,93.8,8.8,3.3,2021-10,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-11,147210,93.8,8.8,3.3,2021-11,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2021-12,147210,93.8,8.8,3.3,2021-12,3,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-01,149770,95.5,11.4,1.7,2022-01,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-02,149770,95.5,11.4,1.7,2022-02,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-03,149770,95.5,11.4,1.7,2022-03,3,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-04,152206,97.0,9.6,1.6,2022-04,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-05,152206,97.0,9.6,1.6,2022-05,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-06,152206,97.0,9.6,1.6,2022-06,3,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-07,157699,100.5,10.7,3.6,2022-07,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-08,157699,100.5,10.7,3.6,2022-08,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-09,157699,100.5,10.7,3.6,2022-09,3,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-10,159939,102.0,8.6,1.4,2022-10,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-11,159939,102.0,8.6,1.4,2022-11,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2022-12,159939,102.0,8.6,1.4,2022-12,3,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-01,156857,100.0,4.7,-1.9,2023-01,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-02,156857,100.0,4.7,-1.9,2023-02,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-03,156857,100.0,4.7,-1.9,2023-03,3,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-04,158198,100.9,3.9,0.9,2023-04,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-05,158198,100.9,3.9,0.9,2023-05,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-06,158198,100.9,3.9,0.9,2023-06,3,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,79.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-07,160178,102.1,1.6,1.3,2023-07,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-08,160178,102.1,1.6,1.3,2023-08,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-09,160178,102.1,1.6,1.3,2023-09,3,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-10,160683,102.4,0.5,0.3,2023-10,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-11,160683,102.4,0.5,0.3,2023-11,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2023-12,160683,102.4,0.5,0.3,2023-12,3,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-01,162129,103.4,3.4,0.9,2024-01,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-02,162129,103.4,3.4,0.9,2024-02,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-03,162129,103.4,3.4,0.9,2024-03,3,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-04,170721,108.8,7.9,5.3,2024-04,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-05,170721,108.8,7.9,5.3,2024-05,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-06,170721,108.8,7.9,5.3,2024-06,3,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-07,173637,110.7,8.4,1.7,2024-07,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-08,173637,110.7,8.4,1.7,2024-08,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-09,173637,110.7,8.4,1.7,2024-09,3,2024-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-10,176958,112.8,10.1,1.9,2024-10,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-11,176958,112.8,10.1,1.9,2024-11,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2024-12,176958,112.8,10.1,1.9,2024-12,3,2024-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-01,175572,111.9,8.3,-0.8,2025-01,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-02,175572,111.9,8.3,-0.8,2025-02,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-03,175572,111.9,8.3,-0.8,2025-03,3,2025-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-04,182143,116.1,6.7,3.7,2025-04,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-05,182143,116.1,6.7,3.7,2025-05,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-06,182143,116.1,6.7,3.7,2025-06,3,2025-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,61.0
http://landregistry.data.gov.uk/data/ukhpi/region/fermanagh-and-omagh/month/2025-07,188403,120.1,8.5,3.4,2025-07,3,2025-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fermanagh-and-omagh,68.0
