_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-01,125433,241192,120379.0,82158,193358.0,140824,110269,78.6,78.0,78.3,80.3,81.0,78.4,77.8,-1.8,-0.7,-1.9,-4.0,-0.8,-1.1,-1.3,-0.3,0.1,-0.4,-0.6,0.7,-0.4,-0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,498.0,441.0,57.0,165.0,333.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-02,125281,241691,120132.0,81839,194565.0,140666,110050,78.5,78.2,78.2,80.0,81.5,78.3,77.6,-0.5,0.7,-0.5,-3.0,-0.7,0.2,0.1,-0.1,0.2,-0.2,-0.4,0.6,-0.1,-0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,374.0,336.0,38.0,137.0,237.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-03,127163,245093,121782.0,83355,199643.0,142666,111554,79.7,79.3,79.2,81.5,83.6,79.5,78.7,2.4,2.9,2.4,1.1,2.3,2.8,2.8,1.5,1.4,1.4,1.9,2.6,1.4,1.4,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,438.0,394.0,44.0,134.0,304.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-04,127291,245670,121871.0,83008,200327.0,142859,111993,79.8,79.4,79.3,81.1,83.9,79.6,79.0,3.5,4.6,3.5,1.7,3.5,3.7,3.8,0.1,0.2,0.1,-0.4,0.3,0.1,0.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,152.0,142.0,10.0,33.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-05,127397,245203,121818.0,83152,202651.0,143160,112215,79.9,79.3,79.3,81.3,84.9,79.7,79.2,1.9,3.2,1.6,0.2,4.3,2.3,1.9,0.1,-0.2,0.0,0.2,1.2,0.2,0.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,270.0,261.0,9.0,87.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-06,128451,247875,122948.0,83247,202642.0,144712,113334,80.5,80.2,80.0,81.4,84.9,80.6,79.9,1.6,3.9,1.3,-1.3,4.4,2.2,1.5,0.8,1.1,0.9,0.1,0.0,1.1,1.0,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,305.0,258.0,47.0,95.0,210.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-07,129207,249683,123774.0,84058,202387.0,145276,113621,81.0,80.7,80.5,82.2,84.8,80.9,80.2,1.3,3.5,1.2,-1.2,2.9,2.0,1.1,0.6,0.7,0.7,1.0,-0.1,0.4,0.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,385.0,351.0,34.0,149.0,236.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-08,132174,254807,126736.0,85926,205370.0,148820,116475,82.9,82.4,82.5,84.0,86.0,82.9,82.2,3.7,5.5,3.5,0.9,4.7,4.6,3.7,2.3,2.1,2.4,2.2,1.5,2.4,2.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,484.0,431.0,53.0,167.0,317.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-09,133151,255406,127645.0,86780,207258.0,149988,117638,83.5,82.6,83.0,84.8,86.8,83.5,83.0,2.5,3.6,2.5,0.2,2.9,3.7,2.8,0.7,0.2,0.7,1.0,0.9,0.8,1.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,681.0,640.0,41.0,253.0,428.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-10,136298,260018,130869.0,88791,209311.0,153902,120921,85.4,84.1,85.1,86.8,87.7,85.7,85.3,4.9,5.5,5.0,2.8,4.3,6.0,5.7,2.4,1.8,2.5,2.3,1.0,2.6,2.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,957.0,885.0,72.0,290.0,667.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-11,136997,262690,131671.0,89036,208601.0,154202,121425,85.9,85.0,85.7,87.0,87.4,85.9,85.7,5.5,6.3,5.6,3.5,4.5,5.9,6.2,0.5,1.0,0.6,0.3,-0.3,0.2,0.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,853.0,796.0,57.0,274.0,579.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2020-12,136737,263911,131464.0,88453,207638.0,153596,121055,85.7,85.3,85.5,86.5,87.0,85.6,85.4,8.7,9.6,8.8,7.0,8.2,8.7,9.4,-0.2,0.5,-0.2,-0.7,-0.5,-0.4,-0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,696.0,646.0,50.0,253.0,443.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2021-01,137068,263645,131928.0,89343,206200.0,153412,121281,85.9,85.3,85.8,87.3,86.4,85.4,85.6,9.3,9.3,9.6,8.7,6.6,8.9,10.0,0.2,-0.1,0.4,1.0,-0.7,-0.1,0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,533.0,506.0,27.0,185.0,348.0
http://landregistry.data.gov.uk/data/ukhpi/region/fife/month/2021-02,136737,262054,131639.0,89595,205324.0,152690,121083,85.7,84.7,85.6,87.6,86.0,85.0,85.4,9.1,8.4,9.6,9.5,5.5,8.5,10.0,-0.2,-0.6,-0.2,0.3,-0.4,-0.5,-0.2,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/fife,492.0,449.0,43.0,170.0,322.0
