_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-01,169809,248717,167017.0,92304,252926.0,149363,121402,82.7,83.2,82.3,86.3,85.3,82.4,81.8,6.3,5.8,6.2,4.7,6.6,6.7,6.5,3.6,3.7,3.6,3.3,4.7,3.6,3.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,160.0,153.0,7.0,35.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-02,167576,245275,164706.0,91071,251939.0,147326,120112,81.6,82.0,81.2,85.1,85.0,81.3,80.9,6.5,6.0,6.6,4.7,5.7,6.9,7.0,-1.3,-1.4,-1.4,-1.3,-0.4,-1.4,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,170.0,161.0,9.0,45.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-03,167525,245230,164455.0,90954,255422.0,147202,120211,81.6,82.0,81.1,85.0,86.2,81.2,81.0,6.5,6.0,6.5,4.9,6.3,6.8,7.0,0.0,0.0,-0.2,-0.1,1.4,-0.1,0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,163.0,146.0,17.0,46.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-04,157658,230986,154731.0,85114,240954.0,138408,113199,76.8,77.3,76.3,79.5,81.3,76.4,76.3,0.3,0.1,0.3,-1.5,-0.1,0.5,0.6,-5.9,-5.8,-5.9,-6.4,-5.7,-6.0,-5.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,40.0,38.0,2.0,11.0,26.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-05,154906,227036,151799.0,83563,240183.0,135989,111147,75.5,75.9,74.8,78.1,81.0,75.0,74.9,-3.8,-3.7,-4.0,-5.5,-1.7,-3.7,-3.7,-1.7,-1.7,-1.9,-1.8,-0.3,-1.7,-1.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,83.0,80.0,3.0,25.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-06,155675,227854,152743.0,83743,238610.0,136868,111758,75.8,76.2,75.3,78.3,80.5,75.5,75.3,-4.4,-4.4,-4.6,-6.4,-2.5,-4.3,-4.4,0.5,0.4,0.6,0.2,-0.7,0.6,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,112.0,109.0,3.0,18.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-07,161757,236495,158878.0,87510,245412.0,142339,116128,78.8,79.1,78.3,81.8,82.8,78.5,78.3,-2.4,-2.5,-2.4,-4.2,-1.8,-2.1,-2.5,3.9,3.8,4.0,4.5,2.9,4.0,3.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,137.0,127.0,10.0,35.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-08,165886,242538,163091.0,89087,249326.0,145980,119196,80.8,81.1,80.4,83.2,84.1,80.5,80.3,0.0,-0.2,0.0,-2.2,-0.1,0.3,0.0,2.6,2.6,2.7,1.8,1.6,2.6,2.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,159.0,145.0,14.0,35.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-09,166229,243573,163325.0,88835,251336.0,146005,119368,81.0,81.5,80.5,83.0,84.8,80.5,80.4,1.0,1.0,1.1,-1.7,0.7,1.4,0.7,0.2,0.4,0.1,-0.3,0.8,0.0,0.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,145.0,136.0,9.0,30.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-10,169208,248403,166400.0,89805,253685.0,148417,121428,82.4,83.1,82.0,83.9,85.6,81.9,81.8,3.9,4.2,4.0,0.8,3.4,4.0,3.7,1.8,2.0,1.9,1.1,0.9,1.7,1.7,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,194.0,187.0,7.0,44.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-11,173610,255056,170950.0,92337,257111.0,152084,124657,84.6,85.3,84.3,86.3,86.7,83.9,84.0,6.3,6.7,6.5,3.4,5.4,6.0,6.5,2.6,2.7,2.7,2.8,1.4,2.5,2.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,240.0,234.0,6.0,60.0,172.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2020-12,177994,261470,175415.0,94633,261477.0,155812,128035,86.7,87.4,86.5,88.4,88.2,86.0,86.3,8.6,9.0,8.8,5.9,8.2,8.1,9.4,2.5,2.5,2.6,2.5,1.7,2.5,2.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,257.0,246.0,11.0,72.0,176.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2021-01,177523,259652,175153.0,95519,257941.0,155766,128189,86.5,86.8,86.3,89.3,87.0,85.9,86.4,4.5,4.4,4.9,3.5,2.0,4.3,5.6,-0.3,-0.7,-0.1,0.9,-1.4,0.0,0.1,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,166.0,152.0,14.0,41.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2021-02,177052,257922,174758.0,96211,256478.0,155674,128353,86.3,86.3,86.1,89.9,86.5,85.9,86.5,5.7,5.2,6.1,5.6,1.8,5.7,6.9,-0.3,-0.7,-0.2,0.7,-0.6,-0.1,0.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,209.0,191.0,18.0,53.0,155.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2021-03,176093,255409,173863.0,96990,254760.0,155143,128199,85.8,85.4,85.7,90.6,85.9,85.6,86.4,5.1,4.2,5.7,6.6,-0.3,5.4,6.6,-0.5,-1.0,-0.5,0.8,-0.7,-0.3,-0.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,281.0,241.0,40.0,70.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/flintshire/month/2021-04,176095,255639,173683.0,96882,258184.0,154979,128254,85.8,85.5,85.6,90.5,87.1,85.5,86.4,11.7,10.7,12.2,13.8,7.2,12.0,13.3,0.0,0.1,-0.1,-0.1,1.3,-0.1,0.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/flintshire,221.0,201.0,20.0,55.0,165.0
