_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-01,121490,228675,120230.0,81989,147238.0,139346,114973,82.6,83.5,82.5,84.8,84.8,82.8,81.3,-2.1,-2.5,-2.1,-3.8,-2.9,-1.6,-1.6,0.3,0.6,0.3,0.2,1.2,0.3,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,200.0,194.0,6.0,45.0,152.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-02,121884,229113,120549.0,82309,148666.0,139736,115426,82.9,83.7,82.7,85.1,85.6,83.0,81.6,-0.3,-0.8,-0.1,-2.1,-2.4,0.3,0.4,0.3,0.2,0.3,0.4,1.0,0.3,0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,214.0,202.0,12.0,58.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-03,121976,229466,120512.0,82485,150799.0,139760,115480,83.0,83.8,82.7,85.3,86.8,83.0,81.6,1.1,0.4,1.2,-0.2,-0.3,1.5,1.7,0.1,0.2,0.0,0.2,1.4,0.0,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,170.0,152.0,18.0,39.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-04,121091,227959,119653.0,81466,149416.0,138783,114861,82.4,83.2,82.1,84.2,86.0,82.4,81.2,-0.9,-1.3,-0.7,-2.4,-2.7,-0.4,-0.3,-0.7,-0.7,-0.7,-1.2,-0.9,-0.7,-0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,79.0,76.0,3.0,15.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-05,119480,225647,117941.0,80321,149719.0,136984,113189,81.3,82.4,80.9,83.0,86.2,81.4,80.0,-3.8,-3.6,-3.9,-5.0,-3.0,-3.5,-3.6,-1.3,-1.0,-1.4,-1.4,0.2,-1.3,-1.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,115.0,112.0,3.0,28.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-06,120223,226475,118768.0,80582,148911.0,137974,114050,81.8,82.7,81.5,83.3,85.7,82.0,80.6,-4.6,-4.4,-4.6,-6.2,-4.1,-4.1,-4.4,0.6,0.4,0.7,0.3,-0.5,0.7,0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,149.0,140.0,9.0,33.0,113.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-07,123120,231308,121684.0,82902,151452.0,141233,116726,83.8,84.5,83.5,85.7,87.2,83.9,82.5,-2.4,-2.3,-2.4,-3.8,-2.9,-1.8,-2.2,2.4,2.1,2.5,2.9,1.7,2.4,2.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,195.0,179.0,16.0,66.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-08,125822,236506,124394.0,84156,154008.0,144510,119491,85.6,86.4,85.3,87.0,88.7,85.8,84.5,0.1,0.2,0.2,-1.8,-0.9,0.9,0.4,2.2,2.2,2.2,1.5,1.7,2.3,2.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,200.0,186.0,14.0,57.0,137.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-09,129264,244228,127713.0,86178,159776.0,148306,122827,87.9,89.2,87.6,89.1,92.0,88.1,86.8,3.6,4.2,3.7,1.4,2.7,4.5,3.8,2.7,3.3,2.7,2.4,3.7,2.6,2.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,215.0,190.0,25.0,49.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/gateshead/month/2020-10,130198,246573,128713.0,86345,159486.0,149413,123876,88.6,90.0,88.3,89.3,91.8,88.8,87.6,5.6,6.4,5.7,3.1,4.6,6.2,5.9,0.7,1.0,0.8,0.2,-0.2,0.7,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/gateshead,262.0,240.0,22.0,64.0,192.0
