_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-01,253217,414256,249516.0,151066,300270.0,255549,209084,80.7,80.5,80.0,84.0,83.1,80.4,79.8,1.6,1.6,1.6,-0.3,1.6,2.3,2.1,0.9,1.0,0.8,0.8,1.7,0.9,0.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,750.0,686.0,64.0,233.0,502.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-02,251222,411139,247319.0,149854,300804.0,253409,207500,80.0,79.9,79.3,83.3,83.2,79.8,79.2,0.5,0.3,0.6,-1.4,-0.3,1.0,1.1,-0.8,-0.8,-0.9,-0.8,0.2,-0.8,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,692.0,636.0,56.0,214.0,465.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-03,254490,417124,250030.0,151809,309509.0,256630,209882,81.1,81.0,80.2,84.4,85.7,80.8,80.1,2.3,2.5,2.4,0.5,2.2,2.6,2.8,1.3,1.5,1.1,1.3,2.9,1.3,1.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,797.0,682.0,115.0,240.0,536.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-04,253466,415629,248856.0,150514,309468.0,255615,209444,80.7,80.7,79.8,83.7,85.6,80.5,79.9,1.6,1.8,1.7,-0.4,1.5,1.9,2.1,-0.4,-0.4,-0.5,-0.9,0.0,-0.4,-0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,278.0,251.0,27.0,91.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-05,254676,417482,249556.0,151131,314377.0,257368,210074,81.1,81.1,80.0,84.1,87.0,81.0,80.1,2.5,2.8,2.3,0.8,4.3,3.0,2.5,0.5,0.4,0.3,0.4,1.6,0.7,0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,386.0,358.0,28.0,102.0,274.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-06,253355,415392,248768.0,149572,309244.0,256302,209274,80.7,80.7,79.8,83.2,85.6,80.7,79.8,1.5,1.8,1.3,-0.6,3.3,2.0,1.5,-0.5,-0.5,-0.3,-1.0,-1.6,-0.4,-0.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,653.0,595.0,58.0,198.0,445.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-07,256721,420415,252510.0,152307,310246.0,259535,211944,81.8,81.7,81.0,84.7,85.9,81.7,80.9,1.7,1.9,1.7,-0.1,2.0,2.3,1.7,1.3,1.2,1.5,1.8,0.3,1.3,1.3,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,758.0,693.0,65.0,251.0,492.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-08,261693,428898,257757.0,154656,313736.0,264396,216477,83.4,83.3,82.6,86.0,86.8,83.2,82.6,2.4,2.5,2.6,0.7,2.2,3.0,2.6,1.9,2.0,2.1,1.5,1.1,1.9,2.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,761.0,670.0,91.0,221.0,524.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-09,264724,435771,260567.0,155700,318562.0,267117,218753,84.3,84.7,83.5,86.6,88.2,84.1,83.5,3.7,4.1,3.8,1.5,3.2,4.3,3.5,1.2,1.6,1.1,0.7,1.5,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,825.0,747.0,78.0,253.0,563.0
http://landregistry.data.gov.uk/data/ukhpi/region/gloucestershire/month/2020-10,266000,439212,262135.0,155302,317945.0,268377,219917,84.7,85.3,84.0,86.4,88.0,84.5,83.9,4.7,5.7,4.9,2.0,4.5,5.1,4.7,0.5,0.8,0.6,-0.3,-0.2,0.5,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/gloucestershire,1037.0,954.0,83.0,331.0,675.0
