_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-01,419756,865308,409747.0,339695,426265.0,603886,457346,89.1,85.3,86.5,92.7,94.3,84.8,84.6,3.1,3.3,3.3,2.2,2.7,4.1,4.5,-0.5,-0.6,-0.7,-0.5,0.0,-0.6,-0.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,206.0,157.0,49.0,29.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-02,419643,866728,409049.0,339405,429030.0,604091,457898,89.0,85.5,86.3,92.6,94.9,84.8,84.7,1.4,2.5,2.1,0.1,-0.1,3.0,3.6,0.0,0.2,-0.2,-0.1,0.6,0.0,0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,252.0,152.0,100.0,38.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-03,416772,860887,404813.0,337467,430512.0,599858,453804,88.4,84.9,85.4,92.1,95.2,84.2,84.0,2.3,3.7,3.0,1.1,1.3,4.1,4.3,-0.7,-0.7,-1.0,-0.6,0.3,-0.7,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,254.0,181.0,73.0,34.0,209.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-04,420497,871901,408111.0,340083,435035.0,605045,458986,89.2,86.0,86.1,92.8,96.2,85.0,84.9,4.4,6.5,5.0,3.0,3.2,6.3,6.4,0.9,1.3,0.8,0.8,1.1,0.9,1.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,116.0,77.0,39.0,18.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-05,418637,862869,403914.0,339941,438045.0,599979,453705,88.8,85.1,85.3,92.8,96.9,84.3,84.0,4.3,5.7,3.9,3.8,5.4,5.4,5.0,-0.4,-1.0,-1.0,0.0,0.7,-0.8,-1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,94.0,67.0,27.0,16.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-06,413332,850959,400281.0,334962,429484.0,593881,449631,87.7,83.9,84.5,91.4,95.0,83.4,83.2,0.8,2.0,0.5,0.2,1.9,2.0,1.6,-1.3,-1.4,-0.9,-1.5,-2.0,-1.0,-0.9,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,131.0,107.0,24.0,22.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-07,410206,842599,398914.0,332039,422781.0,590430,447211,87.0,83.1,84.2,90.6,93.5,82.9,82.8,-2.2,-0.9,-2.0,-3.0,-2.3,-0.8,-1.2,-0.8,-1.0,-0.3,-0.9,-1.6,-0.6,-0.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,198.0,150.0,48.0,22.0,171.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-08,411793,851463,402850.0,331395,419481.0,596956,453408,87.4,84.0,85.0,90.4,92.8,83.8,83.9,-1.7,0.1,-0.9,-2.8,-2.7,0.3,0.1,0.4,1.1,1.0,-0.2,-0.8,1.1,1.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,195.0,154.0,41.0,23.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-09,423845,881746,414521.0,340507,431992.0,616239,467742,89.9,87.0,87.5,92.9,95.5,86.6,86.6,-0.5,2.0,0.5,-2.0,-2.1,2.1,1.6,2.9,3.6,2.9,2.7,3.0,3.2,3.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,209.0,151.0,58.0,28.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/greenwich/month/2020-10,424564,890644,416791.0,340000,429574.0,620375,470691,90.1,87.8,88.0,92.8,95.0,87.1,87.1,0.0,2.8,1.2,-1.5,-1.8,2.5,2.4,0.2,1.0,0.5,-0.1,-0.6,0.7,0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/greenwich,294.0,204.0,90.0,35.0,252.0
