_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-01,154541,240676,153989.0,98184,142094.0,157974,119887,77.4,77.3,77.1,82.0,81.0,77.5,76.8,3.5,3.2,3.5,1.8,3.4,3.8,3.8,-2.6,-2.5,-2.6,-2.9,-1.8,-2.6,-2.5,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,128.0,125.0,3.0,50.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-02,154366,240527,153818.0,96979,142142.0,157954,119870,77.3,77.3,77.0,81.0,81.1,77.4,76.8,3.2,2.9,3.4,0.2,1.3,3.6,3.8,-0.1,-0.1,-0.1,-1.2,0.0,0.0,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,140.0,132.0,8.0,65.0,72.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-03,151944,236909,151361.0,94584,140739.0,155777,117986,76.1,76.1,75.8,79.0,80.3,76.4,75.6,2.1,1.7,2.3,-1.3,0.2,2.6,2.8,-1.6,-1.5,-1.6,-2.5,-1.0,-1.4,-1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,136.0,130.0,6.0,50.0,81.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-04,152974,238624,152442.0,93996,140921.0,156801,119024,76.6,76.7,76.4,78.5,80.4,76.9,76.3,1.6,1.4,1.8,-2.7,-1.2,2.0,2.3,0.7,0.7,0.7,-0.6,0.1,0.7,0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,59.0,58.0,1.0,23.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-05,147691,229991,147004.0,91404,138392.0,151538,114879,74.0,73.9,73.6,76.4,78.9,74.3,73.6,-3.3,-3.4,-3.3,-6.5,-3.3,-2.8,-2.9,-3.5,-3.6,-3.6,-2.8,-1.8,-3.4,-3.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,41.0,41.0,,18.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-06,147198,228961,146606.0,90715,136698.0,151220,114618,73.7,73.6,73.4,75.8,78.0,74.1,73.4,-3.4,-3.5,-3.4,-7.2,-3.2,-2.7,-3.2,-0.3,-0.4,-0.3,-0.8,-1.2,-0.2,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,57.0,50.0,7.0,23.0,33.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-07,150120,233651,149581.0,93208,138533.0,154185,116688,75.2,75.1,74.9,77.9,79.0,75.6,74.8,-0.1,0.1,-0.1,-3.7,-0.8,0.6,-0.2,2.0,2.0,2.0,2.7,1.3,2.0,1.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,105.0,103.0,2.0,60.0,42.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-08,161502,251604,160990.0,99785,148105.0,165900,125528,80.9,80.8,80.6,83.4,84.5,81.3,80.4,6.0,6.2,6.0,1.9,5.2,6.9,6.0,7.6,7.7,7.6,7.1,6.9,7.6,7.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,111.0,111.0,,51.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-09,159328,248654,158770.0,98344,146814.0,163517,123729,79.8,79.9,79.5,82.2,83.7,80.2,79.3,2.9,3.2,3.0,-1.0,1.9,3.8,2.8,-1.3,-1.2,-1.4,-1.4,-0.9,-1.4,-1.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,113.0,113.0,,48.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/gwynedd/month/2020-10,163307,255688,162904.0,99408,148241.0,167380,126861,81.8,82.2,81.6,83.1,84.6,82.1,81.3,3.2,3.8,3.4,-2.0,1.1,3.7,3.3,2.5,2.8,2.6,1.1,1.0,2.4,2.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/gwynedd,147.0,147.0,,77.0,67.0
