_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-01,574592,1192179,565990.0,509872,591536.0,1022625,826561,94.0,89.6,92.5,95.2,97.0,89.6,89.4,5.3,6.6,5.3,5.0,5.2,7.0,7.1,1.3,1.4,1.2,1.3,2.0,1.2,1.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,174.0,147.0,27.0,38.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-02,589242,1220899,580039.0,522493,612633.0,1051096,850425,96.4,91.8,94.8,97.5,100.4,92.1,92.0,7.0,8.3,7.5,6.5,5.7,9.3,9.7,2.5,2.4,2.5,2.5,3.6,2.8,2.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,161.0,118.0,43.0,43.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-03,597238,1239629,586603.0,529309,629080.0,1069799,863845,97.7,93.2,95.9,98.8,103.1,93.7,93.5,4.1,4.6,4.4,3.7,3.8,6.0,6.4,1.4,1.5,1.1,1.3,2.7,1.8,1.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,145.0,110.0,35.0,33.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-04,595785,1236085,585233.0,527476,627355.0,1072087,865874,97.5,92.9,95.7,98.4,102.8,93.9,93.7,0.7,1.2,1.0,0.2,0.0,2.7,3.0,-0.2,-0.3,-0.2,-0.3,-0.3,0.2,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,60.0,49.0,11.0,14.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-05,598229,1232873,585069.0,530510,638404.0,1068284,862933,97.9,92.7,95.7,99.0,104.6,93.6,93.4,3.0,2.8,2.6,2.8,4.9,3.8,3.9,0.4,-0.3,0.0,0.6,1.8,-0.4,-0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,68.0,53.0,15.0,14.0,49.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-06,598686,1232332,587596.0,530489,632150.0,1071431,866981,98.0,92.7,96.1,99.0,103.6,93.9,93.8,5.6,5.3,5.4,5.4,7.4,6.6,6.7,0.1,0.0,0.4,0.0,-1.0,0.3,0.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,128.0,102.0,26.0,25.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-07,614742,1267905,605100.0,544593,643327.0,1101032,891181,100.6,95.3,98.9,101.6,105.5,96.4,96.4,6.5,7.0,6.7,6.3,7.1,7.9,7.9,2.7,2.9,3.0,2.7,1.8,2.8,2.8,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,167.0,115.0,52.0,32.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-08,609141,1271501,602142.0,538318,629022.0,1102469,893006,99.7,95.6,98.5,100.5,103.1,96.6,96.6,3.6,4.4,4.2,3.2,3.1,5.5,5.7,-0.9,0.3,-0.5,-1.2,-2.2,0.1,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,144.0,102.0,42.0,34.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-09,626906,1320896,619432.0,553249,648231.0,1141712,924899,102.6,99.3,101.3,103.2,106.3,100.0,100.1,6.3,8.1,6.9,5.7,5.1,8.9,9.0,2.9,3.9,2.9,2.8,3.1,3.6,3.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,192.0,149.0,43.0,45.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/hackney/month/2020-10,610820,1298068,605340.0,538106,625839.0,1119739,908552,100.0,97.6,99.0,100.4,102.6,98.1,98.3,5.3,7.6,6.2,4.6,3.6,8.2,8.8,-2.6,-1.7,-2.3,-2.7,-3.5,-1.9,-1.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hackney,160.0,128.0,32.0,38.0,120.0
