_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-01,132194,229697,130752.0,77780,202669.0,139055,105169,76.0,77.1,75.8,78.1,78.8,76.0,74.8,3.7,3.4,3.9,1.9,3.2,4.1,4.1,1.4,1.7,1.3,1.4,2.2,1.4,1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,124.0,110.0,14.0,30.0,93.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-02,129520,225008,127841.0,76619,200102.0,136071,103038,74.5,75.5,74.1,76.9,77.8,74.4,73.3,1.4,0.9,1.6,-0.6,-0.1,1.7,1.9,-2.0,-2.0,-2.2,-1.5,-1.3,-2.1,-2.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,110.0,94.0,16.0,28.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-03,126927,220917,124934.0,75450,198693.0,133353,100701,73.0,74.1,72.4,75.7,77.3,72.9,71.6,-0.3,-0.7,-0.3,-1.5,-1.0,-0.1,0.1,-2.0,-1.8,-2.3,-1.5,-0.7,-2.0,-2.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,133.0,116.0,17.0,23.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-04,126671,220785,124634.0,74741,198966.0,132930,100623,72.8,74.1,72.3,75.0,77.4,72.7,71.6,-3.1,-3.0,-3.1,-4.9,-3.5,-3.0,-2.8,-0.2,-0.1,-0.2,-0.9,0.1,-0.3,-0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,38.0,34.0,4.0,7.0,31.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-05,128996,225183,126729.0,76131,205238.0,135552,102189,74.2,75.5,73.5,76.4,79.8,74.1,72.7,-2.1,-1.7,-2.5,-3.4,-0.2,-2.0,-2.4,1.8,2.0,1.7,1.9,3.2,2.0,1.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,62.0,54.0,8.0,14.0,48.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-06,132299,230536,130139.0,77841,208299.0,139151,104902,76.1,77.3,75.5,78.1,81.0,76.1,74.6,-0.3,0.2,-0.6,-1.6,1.5,-0.1,-0.6,2.6,2.4,2.7,2.2,1.5,2.7,2.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,107.0,98.0,9.0,30.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-07,134822,234173,132802.0,79771,209778.0,141844,107058,77.5,78.6,77.0,80.1,81.6,77.5,76.2,2.4,2.5,2.2,1.5,2.8,2.8,2.2,1.9,1.6,2.0,2.5,0.7,1.9,2.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,119.0,108.0,11.0,24.0,88.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-08,138790,240979,136885.0,81416,213565.0,145947,110442,79.8,80.8,79.4,81.7,83.0,79.8,78.6,5.5,5.6,5.4,4.1,5.0,5.9,5.3,2.9,2.9,3.1,2.1,1.8,2.9,3.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,135.0,125.0,10.0,29.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-09,139685,243273,137711.0,81586,215700.0,146694,111112,80.3,81.6,79.9,81.9,83.9,80.2,79.1,5.6,6.0,5.5,3.4,4.6,6.0,5.2,0.6,1.0,0.6,0.2,1.0,0.5,0.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,130.0,116.0,14.0,34.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-10,138642,242061,136797.0,80373,212574.0,145506,110260,79.7,81.2,79.3,80.7,82.7,79.5,78.4,5.5,6.3,5.4,2.9,4.3,5.6,5.1,-0.7,-0.5,-0.7,-1.5,-1.4,-0.8,-0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,136.0,125.0,11.0,32.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-11,138197,241281,136545.0,80231,209446.0,144800,110081,79.5,81.0,79.2,80.5,81.4,79.1,78.3,5.9,6.6,5.9,3.8,4.3,5.6,5.9,-0.3,-0.3,-0.2,-0.2,-1.5,-0.5,-0.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,163.0,156.0,7.0,35.0,125.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2020-12,138893,242166,137362.0,80527,208800.0,145378,110904,79.9,81.2,79.7,80.8,81.2,79.5,78.9,6.6,7.2,6.4,5.0,5.3,6.0,6.8,0.5,0.4,0.6,0.4,-0.3,0.4,0.7,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,125.0,120.0,5.0,30.0,92.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-01,140894,243808,139532.0,82567,209356.0,147570,112935,81.0,81.8,80.9,82.9,81.4,80.7,80.3,6.6,6.1,6.7,6.2,3.3,6.1,7.4,1.4,0.7,1.6,2.5,0.3,1.5,1.8,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,142.0,128.0,14.0,27.0,115.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-02,143562,246470,142167.0,84905,213396.0,150512,115529,82.5,82.7,82.4,85.2,83.0,82.3,82.2,10.8,9.5,11.2,10.8,6.6,10.6,12.1,1.9,1.1,1.9,2.8,1.9,2.0,2.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,174.0,165.0,9.0,43.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-03,147975,252059,146517.0,88501,220184.0,155219,119570,85.1,84.6,85.0,88.8,85.6,84.8,85.1,16.6,14.1,17.3,17.3,10.8,16.4,18.7,3.1,2.3,3.1,4.2,3.2,3.1,3.5,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,180.0,158.0,22.0,53.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-04,149262,254219,147540.0,89212,225282.0,156487,120709,85.8,85.3,85.6,89.5,87.6,85.5,85.9,17.8,15.1,18.4,19.4,13.2,17.7,20.0,0.9,0.9,0.7,0.8,2.3,0.8,1.0,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,131.0,122.0,9.0,28.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-05,150161,256220,148401.0,89702,226997.0,157335,121355,86.3,86.0,86.1,90.0,88.3,86.0,86.3,16.4,13.8,17.1,17.8,10.6,16.1,18.8,0.6,0.8,0.6,0.5,0.8,0.5,0.5,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,128.0,122.0,6.0,23.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-06,151196,257187,149684.0,90261,225320.0,157999,122901,86.9,86.3,86.8,90.6,87.6,86.4,87.4,14.3,11.6,15.0,16.0,8.2,13.5,17.2,0.7,0.4,0.9,0.6,-0.7,0.4,1.3,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,185.0,175.0,10.0,32.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-07,151887,258684,150231.0,90416,228170.0,159214,122960,87.3,86.8,87.1,90.8,88.7,87.0,87.5,12.7,10.5,13.1,13.3,8.8,12.2,14.9,0.5,0.6,0.4,0.2,1.3,0.8,0.0,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,133.0,129.0,4.0,31.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-08,153906,262391,152333.0,91012,229876.0,161603,124389,88.5,88.0,88.3,91.3,89.4,88.3,88.5,10.9,8.9,11.3,11.8,7.6,10.7,12.6,1.3,1.4,1.4,0.7,0.7,1.5,1.2,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,136.0,130.0,6.0,32.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-09,154478,263990,152791.0,90883,232050.0,162609,124341,88.8,88.6,88.6,91.2,90.2,88.9,88.5,10.6,8.5,11.0,11.4,7.6,10.8,11.9,0.4,0.6,0.3,-0.1,0.9,0.6,0.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,230.0,222.0,8.0,48.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/halton/month/2021-10,153574,264170,152259.0,90078,226029.0,161252,123402,88.3,88.6,88.3,90.4,87.9,88.1,87.8,10.8,9.1,11.3,12.1,6.3,10.8,11.9,-0.6,0.1,-0.3,-0.9,-2.6,-0.8,-0.8,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/halton,122.0,118.0,4.0,23.0,99.0
