_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-01,748571,1574565,750372.0,598533,697515.0,1382457,1061528,88.7,82.5,88.8,90.3,90.7,84.1,85.3,0.1,-0.1,0.4,-0.4,-0.7,1.4,1.7,1.3,1.4,1.2,1.3,1.8,1.0,1.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,178.0,144.0,34.0,44.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-02,763188,1596503,761270.0,609882,713302.0,1416701,1081948,90.4,83.6,90.1,92.0,92.7,86.2,86.9,2.8,3.1,3.2,2.1,0.5,5.3,5.0,2.0,1.4,1.5,1.9,2.3,2.5,1.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,172.0,129.0,43.0,53.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-03,745686,1553835,739788.0,595773,703074.0,1388945,1057044,88.3,81.4,87.5,89.9,91.4,84.5,84.9,0.5,0.4,0.3,-0.1,-0.6,3.1,2.0,-2.3,-2.7,-2.8,-2.3,-1.4,-2.0,-2.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,199.0,161.0,38.0,64.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-04,720174,1509001,715196.0,573725,674403.0,1356528,1027637,85.3,79.0,84.6,86.5,87.7,82.5,82.6,-2.6,-2.1,-2.7,-3.3,-4.3,0.9,-0.8,-3.4,-2.9,-3.3,-3.7,-4.1,-2.3,-2.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,125.0,99.0,26.0,41.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-05,703712,1472194,697074.0,561490,670188.0,1323495,1000248,83.4,77.1,82.5,84.7,87.1,80.5,80.4,-5.2,-5.5,-6.1,-5.6,-3.8,-2.3,-4.5,-2.3,-2.4,-2.5,-2.1,-0.6,-2.4,-2.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,95.0,79.0,16.0,35.0,57.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-06,747039,1568421,741692.0,595544,700960.0,1392656,1064872,88.5,82.1,87.7,89.8,91.1,84.7,85.5,1.3,1.4,0.4,0.9,2.0,3.5,2.1,6.2,6.5,6.4,6.1,4.6,5.2,6.5,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,103.0,81.0,22.0,28.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-07,785016,1644164,779989.0,626508,732831.0,1450984,1116533,93.0,86.1,92.3,94.5,95.3,88.3,89.7,4.6,4.8,3.8,4.2,4.5,6.2,5.2,5.1,4.8,5.2,5.2,4.5,4.2,4.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,160.0,139.0,21.0,51.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-08,794010,1666181,790021.0,631878,734234.0,1471614,1137415,94.1,87.3,93.5,95.3,95.5,89.5,91.4,5.3,5.8,4.7,4.8,4.2,7.1,6.4,1.1,1.3,1.3,0.9,0.2,1.4,1.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,152.0,130.0,22.0,46.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-09,771737,1621881,767167.0,612780,717860.0,1445050,1111022,91.4,84.9,90.8,92.4,93.3,87.9,89.2,1.7,2.7,1.3,1.0,0.5,4.5,3.1,-2.8,-2.7,-2.9,-3.0,-2.2,-1.8,-2.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,196.0,170.0,26.0,59.0,134.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-10,750193,1593610,747278.0,594266,688489.0,1404684,1086493,88.9,83.5,88.4,89.6,89.5,85.5,87.3,1.7,4.1,1.6,0.8,-1.0,3.8,3.7,-2.8,-1.7,-2.6,-3.0,-4.1,-2.8,-2.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,181.0,160.0,21.0,52.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/hammersmith-and-fulham/month/2020-11,765733,1630806,764549.0,606485,691819.0,1423875,1109973,90.7,85.4,90.4,91.5,90.0,86.6,89.2,4.9,6.8,4.7,3.9,1.1,5.9,7.1,2.1,2.3,2.3,2.1,0.5,1.4,2.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,170.0,147.0,23.0,48.0,116.0
