_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-01,309018,530450,303361.0,172650,410211.0,314100,247086,83.0,82.7,82.2,87.3,86.7,82.4,81.6,0.3,0.4,0.2,-1.3,0.4,0.7,0.7,-0.2,0.0,-0.2,-0.4,0.4,-0.2,-0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1466.0,1301.0,165.0,392.0,1045.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-02,309105,530863,303302.0,172085,413812.0,314165,247617,83.1,82.8,82.2,87.0,87.4,82.4,81.7,0.1,0.3,0.2,-1.9,-0.6,0.5,0.8,0.0,0.1,0.0,-0.3,0.9,0.0,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1513.0,1346.0,167.0,407.0,1055.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-03,310011,533256,303882.0,172148,419592.0,315187,248232,83.3,83.2,82.3,87.0,88.7,82.7,81.9,0.7,0.8,0.8,-1.0,0.4,1.0,1.4,0.3,0.5,0.2,0.0,1.4,0.3,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1526.0,1295.0,231.0,384.0,1073.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-04,310062,534340,303862.0,171151,420233.0,315149,248768,83.3,83.3,82.3,86.5,88.8,82.7,82.1,0.8,1.4,0.9,-1.4,0.2,1.0,1.4,0.0,0.2,0.0,-0.6,0.2,0.0,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,583.0,531.0,52.0,131.0,438.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-05,309670,533555,302667.0,171433,426169.0,314945,247864,83.2,83.2,82.0,86.6,90.0,82.6,81.8,1.2,1.8,1.0,-0.5,3.1,1.4,1.4,-0.1,-0.1,-0.4,0.2,1.4,-0.1,-0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,806.0,732.0,74.0,194.0,590.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-06,309779,533062,303356.0,170998,421809.0,315724,248352,83.2,83.1,82.2,86.4,89.1,82.8,82.0,1.4,2.1,1.2,-0.8,3.6,1.8,1.6,0.0,-0.1,0.2,-0.3,-1.0,0.2,0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1257.0,1108.0,149.0,345.0,891.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-07,310552,533189,304685.0,172075,418293.0,316689,248915,83.5,83.1,82.5,87.0,88.4,83.1,82.2,1.6,2.2,1.6,-0.3,2.5,2.2,1.8,0.2,0.0,0.4,0.6,-0.8,0.3,0.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1564.0,1412.0,152.0,416.0,1118.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-08,314064,540620,308765.0,172505,417936.0,320551,252191,84.4,84.3,83.6,87.2,88.3,84.1,83.2,2.1,2.7,2.3,-0.4,1.8,2.8,2.4,1.1,1.4,1.3,0.2,-0.1,1.2,1.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1546.0,1411.0,135.0,413.0,1104.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-09,315462,545448,309774.0,172325,422608.0,321611,253074,84.8,85.1,83.9,87.1,89.3,84.4,83.5,1.9,2.9,2.1,-1.0,1.3,2.7,2.0,0.4,0.9,0.3,-0.1,1.1,0.3,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1837.0,1613.0,224.0,487.0,1313.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-10,316620,549500,311336.0,171752,420866.0,322432,254252,85.1,85.7,84.3,86.8,88.9,84.6,83.9,1.9,3.1,2.2,-1.4,0.6,2.3,2.1,0.4,0.7,0.5,-0.3,-0.4,0.3,0.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2232.0,1991.0,241.0,609.0,1564.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-11,318981,553501,314467.0,173084,417810.0,324160,256688,85.7,86.3,85.2,87.5,88.3,85.0,84.7,2.8,4.1,3.3,-0.5,1.0,2.9,3.5,0.7,0.7,1.0,0.8,-0.7,0.5,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2134.0,1932.0,202.0,579.0,1489.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2020-12,321498,557758,317428.0,174428,417431.0,326332,259107,86.4,87.0,86.0,88.2,88.2,85.6,85.5,3.9,5.2,4.4,0.7,2.2,3.7,4.7,0.8,0.8,0.9,0.8,-0.1,0.7,0.9,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2658.0,2386.0,272.0,704.0,1859.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-01,322555,556526,318905.0,176562,415548.0,327398,260276,86.7,86.8,86.4,89.2,87.8,85.9,85.9,4.4,4.9,5.1,2.3,1.3,4.2,5.3,0.3,-0.2,0.5,1.2,-0.5,0.3,0.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2221.0,2056.0,165.0,656.0,1561.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-02,320314,548498,316687.0,177150,412909.0,325109,259274,86.1,85.5,85.8,89.5,87.2,85.3,85.6,3.6,3.3,4.4,2.9,-0.2,3.5,4.7,-0.7,-1.4,-0.7,0.3,-0.6,-0.7,-0.4,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2825.0,2568.0,257.0,828.0,1991.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-03,321293,545543,317620.0,179802,415047.0,326021,260973,86.3,85.1,86.0,90.9,87.7,85.5,86.1,3.6,2.3,4.5,4.4,-1.1,3.4,5.1,0.3,-0.5,0.3,1.5,0.5,0.3,0.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,3951.0,3576.0,375.0,1181.0,2764.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-04,323080,548474,318832.0,180778,422637.0,327769,262565,86.8,85.5,86.4,91.4,89.3,86.0,86.7,4.2,2.6,4.9,5.6,0.6,4.0,5.5,0.6,0.5,0.4,0.5,1.8,0.5,0.6,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2415.0,2219.0,196.0,669.0,1740.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-05,325330,553106,320986.0,181607,426201.0,330099,264219,87.4,86.3,87.0,91.8,90.1,86.6,87.2,5.1,3.7,6.1,5.9,0.0,4.8,6.6,0.7,0.8,0.7,0.5,0.8,0.7,0.6,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1982.0,1854.0,128.0,578.0,1395.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-06,330311,561253,326617.0,184134,426061.0,334557,269200,88.8,87.5,88.5,93.1,90.0,87.8,88.9,6.6,5.3,7.7,7.7,1.0,6.0,8.4,1.5,1.5,1.8,1.4,0.0,1.4,1.9,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,4943.0,4618.0,325.0,1481.0,3452.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-07,331518,563061,327672.0,184713,428975.0,336565,269793,89.1,87.8,88.8,93.4,90.6,88.3,89.1,6.8,5.6,7.5,7.3,2.6,6.3,8.4,0.4,0.3,0.3,0.3,0.7,0.6,0.2,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1070.0,956.0,114.0,278.0,784.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-08,335239,571626,331748.0,185496,430056.0,340844,272167,90.1,89.1,89.9,93.8,90.9,89.4,89.8,6.7,5.7,7.4,7.5,2.9,6.3,7.9,1.1,1.5,1.2,0.4,0.3,1.3,0.9,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2004.0,1810.0,194.0,522.0,1476.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-09,335702,573874,332048.0,184697,432101.0,342231,271811,90.2,89.5,89.9,93.4,91.3,89.8,89.7,6.4,5.2,7.2,7.2,2.2,6.4,7.4,0.1,0.4,0.1,-0.4,0.5,0.4,-0.1,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,3512.0,3264.0,248.0,1046.0,2452.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-10,339930,586201,337043.0,185152,429785.0,345857,274287,91.3,91.4,91.3,93.6,90.8,90.7,90.5,7.4,6.7,8.3,7.8,2.1,7.3,7.9,1.3,2.1,1.5,0.2,-0.5,1.1,0.9,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1371.0,1173.0,198.0,397.0,960.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-11,343758,593963,340715.0,186929,435753.0,349712,276958,92.4,92.6,92.3,94.5,92.1,91.7,91.4,7.8,7.3,8.3,8.0,4.3,7.9,7.9,1.1,1.3,1.1,1.0,1.4,1.1,1.0,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,1814.0,1615.0,199.0,520.0,1284.0
http://landregistry.data.gov.uk/data/ukhpi/region/hampshire/month/2021-12,346521,601688,343751.0,187379,436562.0,352295,278456,93.1,93.8,93.1,94.7,92.2,92.4,91.9,7.8,7.9,8.3,7.4,4.6,8.0,7.5,0.8,1.3,0.9,0.2,0.2,0.7,0.5,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/hampshire,2047.0,1731.0,316.0,577.0,1450.0
