_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-01,594571,2074846,592059.0,467641,457807.0,1074663,693572,93.1,88.9,92.5,96.3,97.6,89.9,89.3,1.4,1.4,1.4,0.6,0.6,2.5,2.8,-0.8,-1.2,-0.8,-0.8,0.0,-0.8,-0.6,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,148.0,141.0,7.0,21.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-02,581107,2035167,578928.0,455455,448497.0,1053762,681376,91.0,87.2,90.5,93.8,95.7,88.2,87.8,-0.8,-0.5,-0.6,-2.0,-3.2,0.8,1.2,-2.3,-1.9,-2.2,-2.6,-2.0,-1.9,-1.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,122.0,108.0,14.0,13.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-03,583071,2053698,580716.0,455916,457066.0,1062196,685785,91.3,88.0,90.8,93.9,97.5,88.9,88.3,1.1,1.6,1.2,-0.2,0.1,2.8,3.1,0.3,0.9,0.3,0.1,1.9,0.8,0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,169.0,125.0,44.0,23.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-04,583606,2085596,581272.0,455175,457244.0,1068411,688169,91.4,89.4,90.8,93.7,97.5,89.4,88.6,2.5,4.6,2.6,1.1,1.4,4.8,4.5,0.1,1.6,0.1,-0.2,0.0,0.6,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,79.0,72.0,7.0,14.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-05,582841,2085418,579863.0,455845,463613.0,1067625,684184,91.3,89.4,90.6,93.9,98.9,89.3,88.1,0.1,2.7,0.1,-0.8,1.5,2.3,1.3,-0.1,0.0,-0.2,0.1,1.4,-0.1,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,77.0,72.0,5.0,14.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-06,578332,2049988,575858.0,452444,454933.0,1059833,678829,90.6,87.9,90.0,93.2,97.0,88.7,87.4,-0.4,1.5,-0.3,-1.2,0.7,2.0,0.7,-0.8,-1.7,-0.7,-0.7,-1.9,-0.7,-0.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,112.0,92.0,20.0,17.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-07,580641,2029701,578545.0,454589,452530.0,1060005,681573,91.0,87.0,90.4,93.6,96.5,88.7,87.8,-1.9,-0.8,-1.7,-2.6,-2.1,0.1,-0.8,0.4,-1.0,0.5,0.5,-0.5,0.0,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,124.0,109.0,15.0,15.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-08,608733,2126762,607116.0,474258,468155.0,1116316,719558,95.4,91.2,94.9,97.7,99.8,93.4,92.7,3.9,4.1,4.1,2.8,2.8,6.2,5.2,4.8,4.8,4.9,4.3,3.5,5.3,5.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,164.0,143.0,21.0,23.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-09,613546,2164200,611858.0,476330,472460.0,1130935,728332,96.1,92.8,95.6,98.1,100.8,94.6,93.8,2.8,3.5,3.1,1.5,1.1,5.7,4.6,0.8,1.8,0.8,0.4,0.9,1.3,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,188.0,162.0,26.0,23.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/haringey/month/2020-10,630271,2228518,629064.0,488283,479803.0,1164400,750294,98.7,95.5,98.3,100.6,102.3,97.4,96.7,6.2,6.2,6.5,4.7,3.7,8.7,8.2,2.7,3.0,2.8,2.5,1.6,3.0,3.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/haringey,202.0,190.0,12.0,24.0,171.0
