_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-01,457751,1016572,453870.0,299719,339863.0,550227,445756,84.5,81.9,83.3,88.1,87.9,82.5,82.8,-1.3,-0.9,-1.0,-2.6,-2.7,-0.3,-0.2,0.0,-0.2,-0.1,-0.1,0.6,0.0,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,185.0,160.0,25.0,36.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-02,460760,1023859,456709.0,301582,345308.0,553784,449307,85.0,82.5,83.8,88.6,89.3,83.0,83.4,-0.9,0.2,-0.3,-2.7,-3.2,0.4,0.6,0.7,0.7,0.6,0.6,1.6,0.6,0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,155.0,133.0,22.0,28.0,121.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-03,461094,1022604,455990.0,302317,350717.0,553168,449448,85.1,82.4,83.6,88.8,90.7,82.9,83.5,1.2,2.1,1.6,-0.4,0.0,2.4,2.5,0.1,-0.1,-0.2,0.2,1.6,-0.1,0.0,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,167.0,150.0,17.0,20.0,136.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-04,463587,1042616,458460.0,302973,352600.0,555978,452782,85.6,84.0,84.1,89.0,91.2,83.3,84.1,1.5,4.2,2.0,-0.4,-0.1,2.7,2.6,0.5,2.0,0.5,0.2,0.5,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,70.0,58.0,12.0,9.0,53.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-05,460900,1036952,454132.0,302041,354571.0,551383,448754,85.1,83.5,83.3,88.8,91.7,82.6,83.3,1.5,4.3,1.4,0.3,2.3,2.2,2.0,-0.6,-0.5,-0.9,-0.3,0.6,-0.8,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,65.0,56.0,9.0,10.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-06,457629,1029629,452416.0,298558,348491.0,550223,447232,84.5,82.9,83.0,87.7,90.1,82.5,83.1,-0.1,2.8,-0.1,-1.6,0.3,0.9,0.5,-0.7,-0.7,-0.4,-1.2,-1.7,-0.2,-0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,122.0,99.0,23.0,20.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-07,462950,1031036,458647.0,302408,350198.0,556973,452652,85.4,83.0,84.1,88.9,90.6,83.5,84.1,1.4,3.6,1.8,-0.1,0.7,2.5,2.1,1.2,0.1,1.4,1.3,0.5,1.2,1.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,124.0,114.0,10.0,25.0,98.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-08,467249,1042541,464602.0,303308,349376.0,565454,459547,86.2,84.0,85.2,89.1,90.3,84.7,85.3,1.6,4.1,2.4,-0.4,-0.1,3.3,2.8,0.9,1.1,1.3,0.3,-0.2,1.5,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,133.0,119.0,14.0,21.0,108.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-09,471719,1058324,468873.0,305608,353122.0,571243,464567,87.1,85.2,86.0,89.8,91.3,85.6,86.3,1.8,4.6,2.7,-0.5,-0.6,3.9,3.1,1.0,1.5,0.9,0.8,1.1,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,174.0,150.0,24.0,24.0,149.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-10,470920,1061730,469573.0,303528,349032.0,572857,465529,86.9,85.5,86.1,89.2,90.3,85.9,86.5,1.4,4.3,2.4,-1.1,-1.2,3.6,3.1,-0.2,0.3,0.1,-0.7,-1.2,0.3,0.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,181.0,174.0,7.0,30.0,145.0
http://landregistry.data.gov.uk/data/ukhpi/region/harrow/month/2020-11,475545,1074127,475536.0,305991,349346.0,579021,470985,87.8,86.5,87.2,89.9,90.3,86.8,87.5,3.1,5.3,4.2,0.7,0.8,5.0,5.1,1.0,1.2,1.3,0.8,0.1,1.1,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/harrow,171.0,164.0,7.0,27.0,142.0
