_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-01,102166,187879,99839.0,64212,224895.0,110912,77220,79.9,81.0,79.5,84.0,82.6,80.3,78.2,-1.4,-1.7,-1.3,-3.6,-1.5,-1.1,-1.1,-2.2,-1.9,-2.3,-2.4,-1.4,-2.2,-2.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,86.0,81.0,5.0,30.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-02,101048,186042,98593.0,63665,224633.0,109596,76367,79.1,80.2,78.5,83.2,82.5,79.4,77.4,2.3,1.8,2.5,0.0,1.4,2.5,2.7,-1.1,-1.0,-1.2,-0.9,-0.1,-1.2,-1.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,91.0,88.0,3.0,35.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-03,100427,185443,97766.0,63468,226470.0,108979,75675,78.6,79.9,77.8,83.0,83.2,78.9,76.7,6.2,5.7,6.2,4.8,6.0,6.4,6.6,-0.6,-0.3,-0.8,-0.3,0.8,-0.6,-0.9,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,68.0,64.0,4.0,24.0,41.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-04,96612,178557,94023.0,60664,218318.0,104692,72882,75.6,77.0,74.8,79.3,80.2,75.8,73.8,1.5,1.4,1.5,-0.2,1.2,1.5,1.7,-3.8,-3.7,-3.8,-4.4,-3.6,-3.9,-3.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,39.0,38.0,1.0,14.0,24.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-05,96932,179501,94131.0,60839,222046.0,105196,72912,75.8,77.4,74.9,79.6,81.5,76.2,73.9,-1.1,-0.6,-1.4,-2.4,1.0,-1.0,-1.3,0.3,0.5,0.1,0.3,1.7,0.5,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,58.0,53.0,5.0,18.0,39.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-06,94495,174581,91916.0,58998,214257.0,102672,71182,73.9,75.2,73.2,77.1,78.7,74.3,72.1,-6.4,-5.8,-6.7,-8.0,-4.2,-6.2,-6.7,-2.5,-2.7,-2.4,-3.0,-3.5,-2.4,-2.4,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,95.0,84.0,11.0,31.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-07,98672,181737,96133.0,61896,221437.0,107264,74455,77.2,78.3,76.5,80.9,81.3,77.7,75.4,-3.2,-2.9,-3.3,-4.6,-2.2,-2.8,-3.5,4.4,4.1,4.6,4.9,3.4,4.5,4.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,80.0,73.0,7.0,32.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-08,97980,180520,95593.0,61044,217883.0,106447,74001,76.7,77.8,76.1,79.8,80.0,77.1,75.0,-2.1,-1.8,-2.2,-3.8,-1.7,-1.7,-2.4,-0.7,-0.7,-0.6,-1.4,-1.6,-0.8,-0.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,133.0,132.0,1.0,62.0,70.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-09,102942,190342,100366.0,63789,229895.0,111646,77671,80.5,82.0,79.9,83.4,84.4,80.8,78.7,2.6,3.1,2.6,0.0,2.5,3.0,2.0,5.1,5.4,5.0,4.5,5.5,4.9,5.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,116.0,113.0,3.0,37.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-10,100881,186871,98449.0,62061,223937.0,109392,76064,78.9,80.5,78.4,81.2,82.2,79.2,77.0,-1.4,-0.6,-1.4,-4.4,-1.7,-1.3,-1.8,-2.0,-1.8,-1.9,-2.7,-2.6,-2.0,-2.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,110.0,110.0,,36.0,73.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-11,102873,190377,100568.0,63222,225848.0,111361,77752,80.5,82.1,80.1,82.7,82.9,80.6,78.8,-2.3,-1.5,-2.2,-5.2,-2.8,-2.5,-2.4,2.0,1.9,2.2,1.9,0.9,1.8,2.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,153.0,148.0,5.0,50.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2020-12,102934,190192,100743.0,63139,224335.0,111314,77985,80.5,82.0,80.2,82.6,82.4,80.6,79.0,-1.5,-0.7,-1.4,-4.1,-1.7,-1.9,-1.3,0.1,-0.1,0.2,-0.1,-0.7,0.0,0.3,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,135.0,129.0,6.0,45.0,83.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-01,106548,195559,104448.0,65845,229840.0,115236,81111,83.4,84.3,83.1,86.1,84.4,83.4,82.2,4.3,4.1,4.6,2.5,2.2,3.9,5.0,3.5,2.8,3.7,4.3,2.5,3.5,4.0,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,106.0,101.0,5.0,51.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-02,109337,199023,107271.0,68069,234807.0,118150,83817,85.5,85.8,85.4,89.0,86.2,85.6,84.9,8.2,7.0,8.8,6.9,4.5,7.8,9.8,2.6,1.8,2.7,3.4,2.2,2.5,3.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,127.0,112.0,15.0,49.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-03,110840,200236,108813.0,69763,237735.0,119667,85476,86.7,86.3,86.6,91.2,87.3,86.7,86.6,10.4,8.0,11.3,9.9,5.0,9.8,13.0,1.4,0.6,1.4,2.5,1.2,1.3,2.0,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,178.0,159.0,19.0,60.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-04,114479,206733,112305.0,72045,247887.0,123248,88540,89.6,89.1,89.4,94.2,91.0,89.2,89.7,18.5,15.8,19.4,18.8,13.5,17.7,21.5,3.3,3.2,3.2,3.3,4.3,3.0,3.6,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,126.0,119.0,7.0,44.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-05,114693,207539,112496.0,72120,248896.0,123383,88639,89.7,89.5,89.6,94.3,91.4,89.3,89.8,18.3,15.6,19.5,18.5,12.1,17.3,21.6,0.2,0.4,0.2,0.1,0.4,0.1,0.1,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,143.0,138.0,5.0,49.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-06,116643,210143,114554.0,73247,249036.0,125297,90603,91.3,90.6,91.2,95.8,91.4,90.7,91.8,23.4,20.4,24.6,24.2,16.2,22.0,27.3,1.7,1.3,1.8,1.6,0.1,1.6,2.2,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,197.0,174.0,23.0,80.0,117.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-07,116313,209829,114192.0,72840,249439.0,125092,90185,91.0,90.4,90.9,95.2,91.6,90.6,91.3,17.9,15.5,18.8,17.7,12.6,16.6,21.1,-0.3,-0.1,-0.3,-0.6,0.2,-0.2,-0.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,150.0,143.0,7.0,47.0,103.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-08,116566,210433,114495.0,72488,248445.0,125526,90309,91.2,90.7,91.1,94.8,91.2,90.9,91.5,19.0,16.6,19.8,18.7,14.0,17.9,22.0,0.2,0.3,0.3,-0.5,-0.4,0.3,0.1,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,145.0,130.0,15.0,49.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-09,117437,212466,115314.0,72640,251270.0,126574,90812,91.9,91.6,91.8,95.0,92.3,91.7,92.0,14.1,11.6,14.9,13.9,9.3,13.4,16.9,0.7,1.0,0.7,0.2,1.1,0.8,0.6,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,210.0,185.0,25.0,60.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/hartlepool/month/2021-10,117175,213220,115180.0,72051,247102.0,126302,90273,91.7,91.9,91.7,94.2,90.7,91.5,91.4,16.2,14.1,17.0,16.1,10.3,15.5,18.7,-0.2,0.4,-0.1,-0.8,-1.7,-0.2,-0.6,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hartlepool,146.0,131.0,15.0,56.0,88.0
