_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-01,366227,680810,366987.0,223322,330146.0,432028,346714,84.0,83.3,83.6,87.6,90.8,83.3,82.9,-1.6,-1.9,-1.7,-3.2,-3.2,-1.1,-1.0,-1.0,-1.0,-1.0,-1.3,-0.4,-1.0,-0.8,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,257.0,255.0,2.0,27.0,227.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-02,368635,686165,369453.0,224629,335086.0,434709,349168,84.6,84.0,84.2,88.1,92.2,83.8,83.5,-0.3,-0.3,-0.3,-2.3,-3.2,0.2,0.5,0.7,0.8,0.7,0.6,1.5,0.6,0.7,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,268.0,251.0,17.0,45.0,216.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-03,369905,688089,370672.0,225424,341654.0,436471,350202,84.9,84.2,84.5,88.4,94.0,84.2,83.8,1.4,1.2,1.4,-0.3,-0.3,1.8,2.1,0.3,0.3,0.3,0.4,2.0,0.4,0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,275.0,264.0,11.0,33.0,238.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-04,372954,697277,373732.0,226169,344330.0,440096,353720,85.6,85.3,85.2,88.7,94.7,84.9,84.6,2.4,3.0,2.5,0.3,0.4,2.9,3.1,0.8,1.3,0.8,0.3,0.8,0.8,1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,135.0,122.0,13.0,21.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-05,372271,695988,372875.0,225704,348120.0,439668,352782,85.4,85.2,85.0,88.6,95.8,84.8,84.4,1.5,2.4,1.5,-0.1,2.4,2.1,1.8,-0.2,-0.2,-0.2,-0.2,1.1,-0.1,-0.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,145.0,136.0,9.0,15.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-06,376403,703505,377195.0,227261,347415.0,445094,357218,86.4,86.1,86.0,89.2,95.6,85.8,85.4,1.5,2.6,1.6,-0.6,1.9,2.2,1.9,1.1,1.1,1.2,0.7,-0.2,1.2,1.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,239.0,203.0,36.0,32.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-07,379000,704875,379909.0,229601,346924.0,448088,359447,86.9,86.2,86.6,90.1,95.4,86.4,86.0,1.6,2.4,1.7,-0.3,0.4,2.3,1.9,0.7,0.2,0.7,1.0,-0.1,0.7,0.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,227.0,207.0,20.0,28.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-08,378870,705113,379925.0,228325,343049.0,448375,360115,86.9,86.3,86.6,89.6,94.4,86.5,86.1,1.6,2.3,1.8,-0.7,-0.6,2.4,2.2,0.0,0.0,0.0,-0.6,-1.1,0.1,0.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,230.0,214.0,16.0,39.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-09,375914,701472,376906.0,225896,341738.0,445086,357524,86.2,85.8,85.9,88.6,94.0,85.8,85.5,1.1,2.0,1.3,-1.5,-1.7,2.2,1.6,-0.8,-0.5,-0.8,-1.1,-0.4,-0.7,-0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,270.0,258.0,12.0,43.0,224.0
http://landregistry.data.gov.uk/data/ukhpi/region/havering/month/2020-10,374799,702253,375962.0,224042,336371.0,444209,356893,86.0,85.9,85.7,87.9,92.5,85.7,85.4,0.7,1.8,0.8,-2.2,-2.5,1.6,1.3,-0.3,0.1,-0.3,-0.8,-1.6,-0.2,-0.2,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/havering,318.0,309.0,9.0,50.0,264.0
