_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-01,404003,833387,399546.0,243976,501766.0,468269,348858,87.3,86.6,86.8,91.8,90.6,86.4,85.5,0.1,0.1,0.1,-1.0,-0.5,0.6,0.8,-0.1,-0.1,-0.1,-0.3,0.5,-0.1,0.2,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1188.0,1119.0,69.0,237.0,925.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-02,404501,836518,399943.0,243611,506309.0,468735,349608,87.4,87.0,86.9,91.7,91.4,86.5,85.7,0.6,1.0,0.8,-1.2,-1.3,1.1,1.4,0.1,0.4,0.1,-0.1,0.9,0.1,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1173.0,1101.0,72.0,227.0,908.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-03,403144,834875,398110.0,242498,512581.0,467190,348488,87.1,86.8,86.5,91.2,92.5,86.2,85.4,0.3,0.7,0.4,-1.3,-0.3,0.8,1.1,-0.3,-0.2,-0.5,-0.5,1.2,-0.3,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1120.0,1023.0,97.0,230.0,848.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-04,404189,842253,399102.0,241933,514359.0,468330,349527,87.4,87.6,86.7,91.0,92.9,86.4,85.7,0.1,1.4,0.2,-1.9,-0.8,0.7,0.5,0.3,0.9,0.2,-0.2,0.3,0.2,0.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,436.0,408.0,28.0,72.0,349.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-05,403532,840709,397691.0,242230,521811.0,467800,348035,87.2,87.4,86.4,91.1,94.2,86.3,85.3,0.0,1.4,-0.2,-1.5,1.8,0.5,-0.2,-0.2,-0.2,-0.4,0.1,1.4,-0.1,-0.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,563.0,537.0,26.0,121.0,432.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-06,405303,842462,400035.0,242490,517684.0,471010,350373,87.6,87.6,86.9,91.2,93.5,86.9,85.9,0.4,1.9,0.3,-1.4,1.8,1.2,0.5,0.4,0.2,0.6,0.1,-0.8,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,922.0,882.0,40.0,169.0,739.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-07,405711,840371,400713.0,243279,515190.0,471719,350689,87.7,87.4,87.1,91.5,93.0,87.0,86.0,0.3,1.4,0.3,-1.4,0.6,1.0,0.4,0.1,-0.2,0.2,0.3,-0.5,0.2,0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1158.0,1075.0,83.0,218.0,918.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-08,411097,853132,406652.0,244653,515257.0,478903,356660,88.9,88.7,88.4,92.1,93.0,88.3,87.4,1.6,2.8,1.7,-0.7,0.7,2.4,2.1,1.3,1.5,1.5,0.6,0.0,1.5,1.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1164.0,1094.0,70.0,255.0,887.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-09,413936,864156,409335.0,245303,520139.0,482335,358985,89.5,89.8,88.9,92.3,93.9,89.0,88.0,1.7,3.3,1.9,-0.9,0.4,2.8,2.0,0.7,1.3,0.7,0.3,0.9,0.7,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1304.0,1208.0,96.0,253.0,1015.0
http://landregistry.data.gov.uk/data/ukhpi/region/hertfordshire/month/2020-10,416431,870978,412340.0,245627,517538.0,485827,361807,90.0,90.5,89.6,92.4,93.4,89.6,88.7,2.5,4.2,2.8,-0.3,0.7,3.6,3.1,0.6,0.8,0.7,0.1,-0.5,0.7,0.8,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hertfordshire,1655.0,1546.0,109.0,312.0,1311.0
