_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-01,168008,257894,162925.0,102010,206384.0,159092,127826,82.3,81.2,81.9,85.0,85.5,82.6,82.0,2.8,3.6,2.8,0.5,3.4,3.1,2.8,0.4,0.7,0.3,0.1,1.3,0.3,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,295.0,269.0,26.0,111.0,184.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-02,165536,254827,160329.0,99878,205243.0,156785,125808,81.1,80.2,80.6,83.2,85.1,81.4,80.7,2.8,3.9,2.9,-0.3,2.2,3.0,2.8,-1.5,-1.2,-1.6,-2.1,-0.6,-1.4,-1.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,282.0,250.0,32.0,122.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-03,165201,253742,159716.0,100140,207681.0,156546,125579,81.0,79.9,80.3,83.5,86.1,81.3,80.6,-0.2,0.3,-0.2,-2.0,-0.1,0.1,0.0,-0.2,-0.4,-0.4,0.3,1.2,-0.2,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,325.0,273.0,52.0,114.0,211.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-04,168191,258575,162534.0,101389,212227.0,159384,128198,82.4,81.4,81.7,84.5,87.9,82.8,82.3,0.6,1.4,0.6,-1.4,0.6,0.7,0.7,1.8,1.9,1.8,1.2,2.2,1.8,2.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,158.0,148.0,10.0,53.0,105.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-05,169903,260383,163962.0,102840,216792.0,161183,129732,83.3,82.0,82.5,85.7,89.8,83.7,83.3,0.1,0.8,-0.2,-1.6,2.1,0.0,-0.1,1.0,0.7,0.9,1.4,2.2,1.1,1.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,152.0,148.0,4.0,57.0,95.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-06,170583,262325,164827.0,102295,215482.0,161976,130182,83.6,82.6,82.9,85.3,89.3,84.1,83.5,1.8,3.4,1.5,-1.5,3.8,1.7,1.1,0.4,0.7,0.5,-0.5,-0.6,0.5,0.3,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,155.0,148.0,7.0,61.0,94.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-07,168765,260105,163279.0,101678,210925.0,159795,128162,82.7,81.9,82.1,84.7,87.4,83.0,82.3,0.7,2.4,0.6,-2.4,1.2,0.5,-0.3,-1.1,-0.8,-0.9,-0.6,-2.1,-1.3,-1.6,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,183.0,168.0,15.0,77.0,106.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-08,170194,261617,164834.0,102496,210870.0,161469,129691,83.4,82.4,82.9,85.4,87.4,83.9,83.2,1.6,2.9,1.6,-1.4,1.8,1.9,1.1,0.8,0.6,1.0,0.8,0.0,1.0,1.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,288.0,254.0,34.0,128.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-09,170163,260211,164703.0,102861,211882.0,161754,130350,83.4,81.9,82.8,85.7,87.8,84.0,83.7,0.5,1.1,0.5,-2.0,0.5,1.2,0.5,0.0,-0.5,-0.1,0.4,0.5,0.2,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,456.0,417.0,39.0,183.0,273.0
http://landregistry.data.gov.uk/data/ukhpi/region/highland/month/2020-10,170842,260482,165556.0,103035,210680.0,162772,131531,83.7,82.0,83.3,85.9,87.3,84.5,84.4,1.2,1.6,1.3,-1.1,0.7,1.8,1.7,0.4,0.1,0.5,0.2,-0.6,0.6,0.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/highland,542.0,489.0,53.0,233.0,309.0
