_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-01,416009,816836,414199.0,276194,329054.0,491334,388524,87.1,85.5,85.9,91.7,93.9,85.0,85.3,-2.0,-1.9,-1.9,-3.4,-3.1,-1.1,-0.8,0.2,0.2,0.2,0.2,0.9,0.2,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,248.0,209.0,39.0,33.0,207.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-02,414458,813686,412933.0,274621,328880.0,490215,387532,86.8,85.1,85.6,91.2,93.9,84.8,85.1,-2.4,-2.0,-2.0,-4.3,-4.8,-1.2,-1.0,-0.4,-0.4,-0.3,-0.6,-0.1,-0.2,-0.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,222.0,200.0,22.0,39.0,180.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-03,419642,823779,417844.0,278066,336060.0,496442,392273,87.9,86.2,86.6,92.3,95.9,85.9,86.1,-0.2,0.0,0.1,-1.9,-1.8,0.9,0.9,1.3,1.2,1.2,1.3,2.2,1.3,1.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,192.0,181.0,11.0,34.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-04,413025,815399,411435.0,272508,329978.0,488882,387242,86.5,85.3,85.3,90.5,94.2,84.5,85.0,-0.6,0.7,-0.2,-2.6,-2.5,0.7,0.5,-1.6,-1.0,-1.5,-2.0,-1.8,-1.5,-1.3,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,89.0,77.0,12.0,12.0,77.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-05,417874,823568,414982.0,277011,339321.0,493661,390349,87.5,86.2,86.0,92.0,96.9,85.4,85.7,1.5,2.8,1.5,0.3,2.2,2.4,1.9,1.2,1.0,0.9,1.7,2.8,1.0,0.8,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,101.0,93.0,8.0,14.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-06,414102,817370,412065.0,273180,332795.0,490868,387735,86.7,85.5,85.4,90.7,95.0,84.9,85.2,1.9,3.4,2.0,0.3,2.4,3.0,2.4,-0.9,-0.8,-0.7,-1.4,-1.9,-0.6,-0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,131.0,124.0,7.0,17.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-07,420420,826310,418871.0,277710,335652.0,498521,393499,88.0,86.5,86.8,92.2,95.8,86.2,86.4,2.7,3.8,3.0,1.2,2.2,3.9,3.2,1.5,1.1,1.7,1.7,0.9,1.6,1.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,192.0,176.0,16.0,26.0,161.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-08,421467,831728,421071.0,276097,331544.0,502103,396306,88.2,87.0,87.3,91.7,94.7,86.8,87.0,3.3,4.7,3.8,1.0,1.7,5.0,4.1,0.2,0.7,0.5,-0.6,-1.2,0.7,0.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,211.0,183.0,28.0,30.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-09,422699,837355,422157.0,276422,333109.0,503693,397677,88.5,87.6,87.5,91.8,95.1,87.1,87.3,2.0,3.8,2.5,-0.5,-0.1,3.9,2.8,0.3,0.7,0.3,0.1,0.5,0.3,0.3,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,216.0,203.0,13.0,20.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/hillingdon/month/2020-10,426153,849567,426612.0,276942,331669.0,509354,401964,89.2,88.9,88.4,91.9,94.7,88.1,88.3,2.8,5.0,3.5,0.0,0.1,4.7,3.9,0.8,1.5,1.1,0.2,-0.4,1.1,1.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hillingdon,282.0,268.0,14.0,41.0,236.0
