_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-01,467323,901859,466950.0,334666,312104.0,603182,520803,87.1,85.3,86.7,90.0,93.8,84.6,85.4,3.6,4.2,3.9,2.3,2.4,4.9,5.1,-0.1,-0.2,-0.3,-0.1,0.6,-0.2,0.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,183.0,157.0,26.0,33.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-02,468124,902693,466802.0,335108,312534.0,604343,521597,87.3,85.4,86.7,90.1,94.0,84.8,85.5,5.6,6.6,6.1,3.8,2.5,7.3,7.4,0.2,0.1,0.0,0.1,0.1,0.2,0.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,163.0,138.0,25.0,17.0,144.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-03,465285,895780,462873.0,333375,312077.0,600043,518056,86.7,84.8,86.0,89.6,93.8,84.2,85.0,4.2,4.8,4.5,2.7,1.6,5.7,5.6,-0.6,-0.8,-0.8,-0.5,-0.1,-0.7,-0.7,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,177.0,157.0,20.0,31.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-04,457061,885852,454916.0,326265,305276.0,590192,511039,85.2,83.8,84.5,87.7,91.8,82.8,83.8,1.8,3.5,2.3,0.1,-1.6,3.6,3.6,-1.8,-1.1,-1.7,-2.1,-2.2,-1.6,-1.4,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,89.0,81.0,8.0,12.0,74.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-05,453868,877984,450894.0,324533,307890.0,585826,506395,84.6,83.1,83.8,87.3,92.6,82.2,83.0,0.5,1.9,0.5,-0.7,-0.3,1.9,1.5,-0.7,-0.9,-0.9,-0.5,0.9,-0.7,-0.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,67.0,60.0,7.0,10.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-06,451496,872132,449251.0,321880,302351.0,584065,505187,84.2,82.5,83.5,86.5,90.9,82.0,82.8,-0.7,0.6,-0.7,-2.1,-2.3,0.8,0.4,-0.5,-0.7,-0.4,-0.8,-1.8,-0.3,-0.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,92.0,87.0,5.0,15.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-07,451777,867414,449883.0,322835,300540.0,583259,504770,84.2,82.1,83.6,86.8,90.4,81.8,82.8,0.1,1.0,0.2,-1.1,-2.2,1.4,1.1,0.1,-0.5,0.1,0.3,-0.6,-0.1,-0.1,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,135.0,130.0,5.0,20.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-08,466779,897403,465345.0,332021,307540.0,604056,524187,87.0,84.9,86.4,89.3,92.5,84.8,86.0,1.6,2.5,1.9,0.0,-1.7,3.2,3.0,3.3,3.5,3.4,2.8,2.3,3.6,3.8,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,138.0,133.0,5.0,24.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-09,479159,923922,477346.0,340387,317551.0,620140,538997,89.3,87.4,88.7,91.5,95.5,87.0,88.4,3.3,4.5,3.5,1.5,0.1,5.2,4.7,2.7,3.0,2.6,2.5,3.3,2.7,2.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,174.0,131.0,43.0,20.0,138.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-10,486842,943798,485759.0,344637,318476.0,631420,549389,90.8,89.3,90.2,92.7,95.8,88.6,90.1,3.1,4.4,3.3,1.4,-0.3,4.6,4.6,1.6,2.2,1.8,1.2,0.3,1.8,1.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,177.0,151.0,26.0,33.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-11,492109,955394,491843.0,348260,317394.0,637632,555988,91.7,90.4,91.4,93.6,95.4,89.5,91.2,5.8,6.8,5.9,4.2,1.9,6.7,7.4,1.1,1.2,1.3,1.1,-0.3,1.0,1.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,212.0,179.0,33.0,30.0,175.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2020-12,486715,945872,486952.0,344015,311199.0,630983,550661,90.7,89.5,90.5,92.5,93.6,88.5,90.3,4.0,4.6,4.0,2.7,0.3,4.4,5.7,-1.1,-1.0,-1.0,-1.2,-2.0,-1.0,-1.0,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,221.0,192.0,29.0,35.0,182.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-01,483856,932907,484185.0,343340,308871.0,625873,545504,90.2,88.3,89.9,92.3,92.9,87.8,89.5,3.5,3.4,3.7,2.6,-1.0,3.8,4.7,-0.6,-1.4,-0.6,-0.2,-0.7,-0.8,-0.9,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,198.0,160.0,38.0,19.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-02,476663,911597,476675.0,340130,306465.0,614532,534660,88.9,86.3,88.5,91.4,92.2,86.2,87.7,1.8,1.0,2.1,1.5,-1.9,1.7,2.5,-1.5,-2.3,-1.6,-0.9,-0.8,-1.8,-2.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,240.0,221.0,19.0,33.0,206.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-03,478350,905328,477950.0,343855,310552.0,613174,533530,89.2,85.7,88.8,92.4,93.4,86.0,87.5,2.8,1.1,3.3,3.1,-0.5,2.2,3.0,0.4,-0.7,0.3,1.1,1.3,-0.2,-0.2,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,355.0,327.0,28.0,61.0,291.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-04,487156,922354,486131.0,350959,320650.0,623530,542212,90.8,87.3,90.3,94.4,96.4,87.5,88.9,6.6,4.1,6.9,7.6,5.0,5.6,6.1,1.8,1.9,1.7,2.1,3.3,1.7,1.6,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,203.0,191.0,12.0,24.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-05,478092,906466,477111.0,344212,314510.0,612020,532502,89.1,85.8,88.6,92.5,94.6,85.9,87.3,5.3,3.2,5.8,6.1,2.1,4.5,5.2,-1.9,-1.7,-1.9,-1.9,-1.9,-1.8,-1.8,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,206.0,199.0,7.0,26.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-06,481422,913008,481076.0,345779,312203.0,615897,538394,89.7,86.4,89.4,93.0,93.9,86.4,88.3,6.6,4.7,7.1,7.4,3.3,5.5,6.6,0.7,0.7,0.8,0.5,-0.7,0.6,1.1,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,655.0,590.0,65.0,97.0,558.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-07,466159,883256,465703.0,334508,303193.0,597246,521448,86.9,83.6,86.5,89.9,91.2,83.8,85.5,3.2,1.8,3.5,3.6,0.9,2.4,3.3,-3.2,-3.3,-3.2,-3.3,-2.9,-3.0,-3.1,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,72.0,67.0,5.0,12.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-08,475871,909407,475938.0,339490,305822.0,614236,533410,88.7,86.1,88.4,91.3,92.0,86.2,87.5,1.9,1.3,2.3,2.2,-0.6,1.7,1.8,2.1,3.0,2.2,1.5,0.9,2.8,2.3,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,148.0,143.0,5.0,25.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-09,472221,907823,472295.0,335766,303425.0,613214,529049,88.0,85.9,87.7,90.3,91.2,86.0,86.8,-1.4,-1.7,-1.1,-1.4,-4.4,-1.1,-1.8,-0.8,-0.2,-0.8,-1.1,-0.8,-0.2,-0.8,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,277.0,268.0,9.0,45.0,231.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-10,480297,938131,481437.0,339468,301122.0,628725,538661,89.5,88.8,89.4,91.3,90.5,88.2,88.3,-1.3,-0.6,-0.9,-1.5,-5.4,-0.4,-2.0,1.7,3.3,1.9,1.1,-0.8,2.5,1.8,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,104.0,103.0,1.0,15.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-11,477861,934726,478869.0,337730,300457.0,625781,535735,89.1,88.5,89.0,90.8,90.3,87.8,87.9,-2.9,-2.2,-2.6,-3.0,-5.3,-1.9,-3.6,-0.5,-0.4,-0.5,-0.5,-0.2,-0.5,-0.5,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,174.0,173.0,1.0,25.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/hounslow/month/2021-12,476206,940371,477658.0,335266,296403.0,626139,534754,88.8,89.0,88.7,90.1,89.1,87.9,87.7,-2.2,-0.6,-1.9,-2.5,-4.8,-0.8,-2.9,-0.3,0.6,-0.3,-0.7,-1.3,0.1,-0.2,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/hounslow,152.0,151.0,1.0,21.0,131.0
