_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-01,84871,229959,84697.0,66829,106019.0,113970,91325,85.2,83.4,85.2,86.3,86.6,84.7,83.9,6.4,8.3,6.2,4.9,10.0,7.4,7.8,3.9,4.4,3.8,3.7,5.3,3.9,4.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,103.0,94.0,9.0,45.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-02,80625,219349,80395.0,63374,101553.0,108406,86774,80.9,79.5,80.9,81.9,82.9,80.6,79.7,-1.6,0.6,-1.7,-3.1,-0.1,-0.5,-0.3,-5.0,-4.6,-5.1,-5.2,-4.2,-4.9,-5.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,103.0,100.0,3.0,63.0,40.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-03,79011,214403,78685.0,62236,101153.0,106052,84885,79.3,77.7,79.1,80.4,82.6,78.8,77.9,-5.1,-3.9,-5.2,-5.9,-3.8,-4.5,-4.4,-2.0,-2.3,-2.1,-1.8,-0.4,-2.2,-2.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,77.0,73.0,4.0,42.0,35.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-04,79929,217902,79575.0,62680,102985.0,107568,86353,80.2,79.0,80.0,81.0,84.1,79.9,79.3,-4.7,-2.5,-4.9,-5.9,-2.7,-4.2,-4.0,1.2,1.6,1.1,0.7,1.8,1.4,1.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,35.0,34.0,1.0,13.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-05,77188,209742,76804.0,60520,100555.0,103972,83556,77.5,76.1,77.2,78.2,82.1,77.3,76.7,-7.9,-5.5,-8.2,-9.0,-3.8,-7.4,-7.4,-3.4,-3.7,-3.5,-3.4,-2.4,-3.3,-3.2,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,49.0,49.0,,26.0,23.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-06,79888,218283,79521.0,62375,103269.0,107975,86765,80.2,79.2,80.0,80.6,84.3,80.2,79.7,-9.2,-5.4,-9.5,-11.0,-4.9,-8.3,-8.4,3.5,4.1,3.5,3.1,2.7,3.9,3.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,43.0,36.0,7.0,16.0,27.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-07,76624,209403,76316.0,60075,97888.0,103087,82692,76.9,75.9,76.8,77.6,79.9,76.6,75.9,-13.4,-10.2,-13.6,-14.8,-10.6,-12.6,-12.9,-4.1,-4.1,-4.0,-3.7,-5.2,-4.5,-4.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,83.0,79.0,4.0,38.0,45.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-08,77579,211566,77302.0,60770,98188.0,104566,83894,77.9,76.7,77.8,78.5,80.2,77.7,77.0,-12.1,-9.3,-12.3,-13.6,-10.2,-10.9,-11.3,1.2,1.0,1.3,1.2,0.3,1.4,1.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,100.0,89.0,11.0,50.0,50.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-09,80034,216632,79748.0,62746,101296.0,107909,86807,80.4,78.6,80.2,81.0,82.7,80.2,79.7,-8.2,-6.3,-8.3,-9.6,-6.9,-6.7,-7.1,3.2,2.4,3.2,3.3,3.2,3.2,3.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,137.0,130.0,7.0,59.0,78.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-10,85110,229224,84852.0,66599,106567.0,115131,92804,85.5,83.1,85.3,86.0,87.0,85.5,85.2,3.6,5.3,3.5,1.9,4.1,5.1,5.2,6.3,5.8,6.4,6.1,5.2,6.7,6.9,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,208.0,198.0,10.0,86.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-11,92256,250276,92014.0,72164,114562.0,124415,100451,92.6,90.8,92.5,93.2,93.6,92.4,92.2,11.2,13.1,11.1,9.7,11.1,12.1,12.6,8.4,9.2,8.4,8.4,7.5,8.1,8.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,189.0,184.0,5.0,89.0,100.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2020-12,89047,243856,88828.0,69527,110212.0,119920,96867,89.4,88.4,89.3,89.8,90.0,89.1,88.9,9.0,10.8,8.9,7.9,9.4,9.3,10.3,-3.5,-2.6,-3.5,-3.7,-3.8,-3.6,-3.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,159.0,152.0,7.0,62.0,97.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-01,90027,245460,89860.0,70691,110040.0,120329,97536,90.4,89.0,90.4,91.3,89.9,89.4,89.6,6.1,6.7,6.1,5.8,3.8,5.6,6.8,1.1,0.7,1.2,1.7,-0.2,0.3,0.7,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,130.0,128.0,2.0,61.0,69.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-02,87806,238377,87636.0,69159,107353.0,116901,95064,88.2,86.4,88.1,89.3,87.7,86.9,87.3,8.9,8.7,9.0,9.1,5.7,7.8,9.6,-2.5,-2.9,-2.5,-2.2,-2.4,-2.8,-2.5,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,111.0,110.0,1.0,46.0,65.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-03,92607,249017,92424.0,73225,113116.0,122850,100430,93.0,90.3,93.0,94.6,92.4,91.3,92.2,17.2,16.1,17.5,17.7,11.8,15.8,18.3,5.5,4.5,5.5,5.9,5.4,5.1,5.6,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,151.0,142.0,9.0,69.0,82.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-04,89517,240886,89280.0,70776,110589.0,118683,97089,89.9,87.3,89.8,91.4,90.3,88.2,89.2,12.0,10.5,12.2,12.9,7.4,10.3,12.4,-3.3,-3.3,-3.4,-3.3,-2.2,-3.4,-3.3,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,99.0,97.0,2.0,56.0,43.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-05,94116,252754,93877.0,74418,116050.0,124895,102173,94.5,91.7,94.4,96.1,94.8,92.8,93.8,21.9,20.5,22.2,23.0,15.4,20.1,22.3,5.1,4.9,5.1,5.1,4.9,5.2,5.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,128.0,123.0,5.0,53.0,75.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-06,94215,252536,94067.0,74680,114325.0,124372,102155,94.6,91.6,94.6,96.5,93.4,92.4,93.8,17.9,15.7,18.3,19.7,10.7,15.2,17.7,0.1,-0.1,0.2,0.4,-1.5,-0.4,0.0,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,173.0,171.0,2.0,69.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-07,98328,266028,98115.0,77525,120567.0,130815,106729,98.7,96.5,98.7,100.1,98.5,97.2,98.0,28.3,27.0,28.6,29.0,23.2,26.9,29.1,4.4,5.3,4.3,3.8,5.5,5.2,4.5,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,177.0,172.0,5.0,78.0,99.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-08,96543,261620,96389.0,76095,117263.0,128573,104609,96.9,94.9,96.9,98.3,95.8,95.5,96.1,24.4,23.7,24.7,25.2,19.4,23.0,24.7,-1.8,-1.7,-1.8,-1.8,-2.7,-1.7,-2.0,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,141.0,141.0,,57.0,84.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-09,96466,262861,96288.0,75810,117651.0,129100,104445,96.9,95.3,96.8,97.9,96.1,95.9,95.9,20.5,21.3,20.7,20.8,16.1,19.6,20.3,-0.1,0.5,-0.1,-0.4,0.3,0.4,-0.2,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,114.0,114.0,,51.0,63.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-10,98449,267902,98401.0,77579,117289.0,131137,106231,98.8,97.1,99.0,100.2,95.8,97.4,97.5,15.7,16.9,16.0,16.5,10.1,13.9,14.5,2.1,1.9,2.2,2.3,-0.3,1.6,1.7,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,135.0,132.0,3.0,59.0,76.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-11,99530,272214,99443.0,78347,119340.0,132484,107281,99.9,98.7,100.0,101.2,97.5,98.4,98.5,7.9,8.8,8.1,8.6,4.2,6.5,6.8,1.1,1.6,1.1,1.0,1.7,1.0,1.0,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,121.0,120.0,1.0,57.0,64.0
http://landregistry.data.gov.uk/data/ukhpi/region/inverclyde/month/2021-12,99362,272505,99304.0,78161,118572.0,132323,106985,99.8,98.8,99.9,101.0,96.8,98.3,98.2,11.6,11.7,11.8,12.4,7.6,10.3,10.4,-0.2,0.1,-0.1,-0.2,-0.6,-0.1,-0.3,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/inverclyde,116.0,111.0,5.0,53.0,63.0
