_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-01,176660,244174,176425.0,116263,155619.0,156467,120742,78.3,78.3,78.1,81.0,81.7,78.8,77.7,3.4,3.0,3.4,2.0,2.6,3.9,3.9,-1.9,-1.9,-2.0,-2.1,-1.2,-1.9,-1.9,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,71.0,69.0,2.0,26.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-02,176467,243921,176219.0,116234,156969.0,156043,120727,78.2,78.2,78.0,81.0,82.4,78.6,77.7,4.2,3.8,4.3,2.2,2.4,4.6,5.0,-0.1,-0.1,-0.1,0.0,0.9,-0.3,0.0,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,82.0,77.0,5.0,33.0,46.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-03,178099,246255,177783.0,117820,161004.0,157355,121743,78.9,79.0,78.7,82.1,84.5,79.3,78.4,7.3,6.9,7.4,6.0,7.0,7.7,8.1,0.9,1.0,0.9,1.4,2.6,0.8,0.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,89.0,80.0,9.0,46.0,41.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-04,176337,243935,175991.0,115754,160055.0,155627,120700,78.2,78.2,77.9,80.7,84.0,78.4,77.7,5.8,5.5,5.8,4.0,6.0,6.0,6.5,-1.0,-0.9,-1.0,-1.8,-0.6,-1.1,-0.9,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,44.0,42.0,2.0,15.0,29.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-05,174035,240507,173579.0,114638,160163.0,153815,119154,77.1,77.1,76.8,79.9,84.0,77.5,76.7,5.3,5.1,5.2,4.3,8.3,5.5,5.6,-1.3,-1.4,-1.4,-1.0,0.1,-1.2,-1.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,39.0,38.0,1.0,17.0,21.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-06,171821,237308,171469.0,113037,156293.0,151948,117747,76.2,76.1,75.9,78.8,82.0,76.5,75.8,0.6,0.5,0.6,-0.4,3.2,0.9,0.8,-1.3,-1.3,-1.2,-1.4,-2.4,-1.2,-1.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,40.0,40.0,,17.0,22.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-07,176133,243305,175879.0,116539,158154.0,155743,120545,78.1,78.0,77.8,81.2,83.0,78.4,77.6,2.7,2.7,2.7,1.9,3.3,2.9,2.5,2.5,2.5,2.6,3.1,1.2,2.5,2.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,49.0,48.0,1.0,22.0,25.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-08,184425,254928,184245.0,121148,163924.0,163132,126197,81.7,81.7,81.5,84.4,86.0,82.2,81.2,3.7,3.6,3.8,2.4,3.8,4.1,3.7,4.7,4.8,4.8,4.0,3.6,4.7,4.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,67.0,66.0,1.0,36.0,30.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-09,187554,259634,187320.0,122494,167657.0,165816,128164,83.1,83.2,82.9,85.4,88.0,83.5,82.5,8.3,8.4,8.4,6.2,8.1,8.9,8.1,1.7,1.8,1.7,1.1,2.3,1.6,1.6,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,85.0,84.0,1.0,38.0,44.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-anglesey/month/2020-10,186970,259389,186823.0,121179,165520.0,164955,127608,82.9,83.2,82.7,84.5,86.9,83.1,82.1,4.3,4.6,4.4,1.5,3.6,4.4,4.2,-0.3,-0.1,-0.3,-1.1,-1.3,-0.5,-0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-anglesey,106.0,106.0,,50.0,54.0
