_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-01,206404,324997,205708.0,125657,249406.0,223474,171532,76.5,75.9,76.4,79.4,79.1,75.8,75.6,1.7,1.6,1.7,0.4,1.8,2.4,2.3,0.1,0.2,0.1,-0.1,1.0,0.2,0.3,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,202.0,195.0,7.0,105.0,90.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-02,205820,324297,205040.0,124948,250686.0,222909,171298,76.3,75.8,76.2,79.0,79.5,75.6,75.5,1.7,1.7,1.7,-0.1,0.5,2.4,2.5,-0.3,-0.2,-0.3,-0.6,0.5,-0.3,-0.1,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,209.0,203.0,6.0,99.0,102.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-03,206634,325587,205708.0,125146,255326.0,224115,172071,76.6,76.1,76.4,79.1,81.0,76.0,75.8,2.8,2.6,2.8,1.4,2.4,3.6,3.7,0.4,0.4,0.3,0.2,1.9,0.5,0.5,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,243.0,230.0,13.0,104.0,130.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-04,206591,326004,205645.0,124486,255871.0,224132,172450,76.6,76.1,76.4,78.7,81.1,76.1,76.0,2.4,2.4,2.4,0.6,1.8,3.1,3.2,0.0,0.1,0.0,-0.5,0.2,0.0,0.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,70.0,68.0,2.0,33.0,34.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-05,206516,325479,205445.0,124696,259445.0,224085,172342,76.5,76.0,76.3,78.8,82.3,76.0,76.0,2.9,3.0,2.8,1.6,5.0,3.5,3.4,0.0,-0.2,-0.1,0.2,1.4,0.0,-0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,105.0,104.0,1.0,46.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-06,207574,327180,206589.0,125061,258124.0,225434,173369,76.9,76.4,76.7,79.1,81.8,76.5,76.4,2.7,2.9,2.6,0.9,4.6,3.4,3.2,0.5,0.5,0.6,0.3,-0.5,0.6,0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,164.0,160.0,4.0,75.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-07,208812,329013,207913.0,126191,256958.0,226710,174035,77.4,76.9,77.2,79.8,81.5,76.9,76.7,4.5,5.0,4.5,2.8,4.9,5.2,4.7,0.6,0.6,0.6,0.9,-0.5,0.6,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,206.0,202.0,4.0,83.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-08,210745,332679,209919.0,126434,256936.0,229305,175909,78.1,77.7,78.0,79.9,81.5,77.8,77.5,3.7,4.1,3.7,1.5,3.5,4.6,4.1,0.9,1.1,1.0,0.2,0.0,1.1,1.1,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,187.0,184.0,3.0,80.0,104.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-09,212876,336731,212010.0,127149,260436.0,231677,177842,78.9,78.7,78.7,80.4,82.6,78.6,78.4,5.1,5.8,5.2,2.5,4.4,6.2,5.3,1.0,1.2,1.0,0.6,1.4,1.0,1.1,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,233.0,227.0,6.0,114.0,118.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-10,217121,344934,216339.0,128820,262737.0,236192,181461,80.5,80.6,80.3,81.4,83.3,80.1,80.0,5.5,6.6,5.5,2.4,4.1,6.3,5.9,2.0,2.4,2.0,1.3,0.9,1.9,2.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,285.0,280.0,5.0,148.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-11,222349,353880,221668.0,132057,265682.0,241160,185837,82.4,82.7,82.3,83.5,84.2,81.8,81.9,8.6,9.9,8.7,5.6,6.9,9.0,9.3,2.4,2.6,2.5,2.5,1.1,2.1,2.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,322.0,308.0,14.0,174.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2020-12,226347,360453,225741.0,134356,268004.0,245265,189349,83.9,84.2,83.8,84.9,85.0,83.2,83.4,9.8,11.1,9.8,6.8,8.6,9.9,10.7,1.8,1.9,1.8,1.7,0.9,1.7,1.9,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,314.0,306.0,8.0,168.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2021-01,226751,359016,226210.0,135921,266603.0,245537,189756,84.0,83.9,84.0,85.9,84.5,83.3,83.6,9.9,10.5,10.0,8.2,6.9,9.9,10.6,0.2,-0.4,0.2,1.2,-0.5,0.1,0.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,236.0,227.0,9.0,123.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2021-02,226285,356249,225751.0,136873,266176.0,244817,189602,83.9,83.2,83.8,86.5,84.4,83.1,83.6,9.9,9.9,10.1,9.5,6.2,9.8,10.7,-0.2,-0.8,-0.2,0.7,-0.2,-0.3,-0.1,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,313.0,307.0,6.0,163.0,150.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2021-03,228026,356661,227466.0,139603,269579.0,246211,191249,84.5,83.3,84.5,88.3,85.5,83.5,84.3,10.4,9.5,10.6,11.6,5.6,9.9,11.1,0.8,0.1,0.8,2.0,1.3,0.6,0.9,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,514.0,499.0,15.0,266.0,247.0
http://landregistry.data.gov.uk/data/ukhpi/region/isle-of-wight/month/2021-04,228566,357207,227935.0,140004,273554.0,246569,192081,84.7,83.4,84.7,88.5,86.7,83.7,84.7,10.6,9.6,10.8,12.5,6.9,10.0,11.4,0.2,0.2,0.2,0.3,1.5,0.1,0.4,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/isle-of-wight,292.0,280.0,12.0,165.0,126.0
