_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-01,666282,1502043,656122.0,568268,818600.0,1250947,1028806,98.7,93.9,97.3,100.0,103.2,93.4,93.8,4.8,4.9,4.8,4.4,4.3,6.2,6.5,3.8,3.7,3.8,3.8,4.9,3.8,4.0,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,120.0,111.0,9.0,26.0,89.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-02,669196,1504556,659993.0,570162,828304.0,1264931,1037881,99.2,94.0,97.9,100.3,104.4,94.4,94.6,6.6,6.4,6.9,6.1,4.9,9.0,9.0,0.4,0.2,0.6,0.3,1.2,1.1,0.9,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,174.0,120.0,54.0,56.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-03,651398,1464099,642813.0,554262,812085.0,1241032,1016019,96.5,91.5,95.3,97.5,102.4,92.6,92.6,3.6,2.9,4.0,3.1,2.4,6.1,5.9,-2.7,-2.7,-2.6,-2.8,-2.0,-1.9,-2.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,234.0,135.0,99.0,58.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-04,641092,1442446,633205.0,544683,795334.0,1233547,1006140,95.0,90.2,93.9,95.9,100.3,92.1,91.7,3.2,2.4,3.7,2.7,0.6,6.5,5.7,-1.6,-1.5,-1.5,-1.7,-2.1,-0.6,-1.0,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,82.0,58.0,24.0,14.0,62.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-05,632239,1419836,622793.0,537768,795730.0,1215244,986956,93.7,88.7,92.4,94.6,100.3,90.7,89.9,0.9,0.0,1.0,0.5,1.1,3.8,2.2,-1.4,-1.6,-1.6,-1.3,0.0,-1.5,-1.9,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,64.0,59.0,5.0,9.0,54.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-06,641338,1441998,633383.0,545059,796316.0,1235837,1004885,95.0,90.1,93.9,95.9,100.4,92.2,91.6,2.3,1.9,2.7,1.9,1.9,5.6,3.9,1.4,1.6,1.7,1.4,0.1,1.7,1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,69.0,63.0,6.0,11.0,56.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-07,655304,1474615,648049.0,557016,807711.0,1256463,1026505,97.1,92.2,96.1,98.0,101.8,93.8,93.5,3.9,4.0,4.4,3.5,3.0,7.0,5.5,2.2,2.3,2.3,2.2,1.4,1.7,2.2,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,114.0,105.0,9.0,19.0,91.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-08,678122,1540345,672123.0,574978,825516.0,1309596,1074202,100.5,96.3,99.7,101.2,104.1,97.7,97.9,5.4,6.1,6.1,4.8,3.2,9.0,7.7,3.5,4.5,3.7,3.2,2.2,4.2,4.6,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,112.0,102.0,10.0,22.0,85.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-09,687305,1572696,680757.0,581864,839760.0,1335264,1096086,101.8,98.3,100.9,102.4,105.9,99.6,99.9,5.0,6.2,5.7,4.4,3.1,9.1,7.7,1.4,2.1,1.3,1.2,1.7,2.0,2.0,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,192.0,117.0,75.0,54.0,119.0
http://landregistry.data.gov.uk/data/ukhpi/region/islington/month/2020-10,685000,1577843,679982.0,578939,827020.0,1337207,1100616,101.5,98.6,100.8,101.9,104.2,99.8,100.3,6.7,8.3,7.6,5.9,4.4,10.7,10.2,-0.3,0.3,-0.1,-0.5,-1.5,0.1,0.4,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/islington,164.0,139.0,25.0,40.0,117.0
