_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_cash,sales_volume_mortgage,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-01,1353242,4368277,1363787.0,1105250,1037866.0,2935159,2362558,91.8,84.6,92.1,93.7,90.3,84.7,86.7,-2.7,-1.7,-2.6,-3.1,-3.4,-1.4,-1.2,2.2,0.7,2.1,2.2,2.9,2.0,2.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,147.0,147.0,75.0,68.0,
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-02,1427138,4632794,1435341.0,1162967,1104946.0,3138598,2511130,96.8,89.7,96.9,98.6,96.1,90.6,92.1,4.7,3.6,4.9,3.9,2.5,8.4,7.7,5.5,6.1,5.2,5.2,6.5,6.9,6.3,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,107.0,105.0,50.0,56.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-03,1447653,4760672,1452147.0,1178256,1143423.0,3210992,2557126,98.2,92.1,98.1,99.9,99.5,92.7,93.8,9.8,8.4,9.7,8.9,9.2,14.4,13.1,1.4,2.8,1.2,1.3,3.5,2.3,1.8,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,139.0,133.0,77.0,60.0,6.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-04,1468156,4922871,1473609.0,1190249,1142201.0,3292013,2628329,99.6,95.3,99.5,100.9,99.3,95.0,96.4,7.4,7.7,7.4,6.2,5.1,12.9,11.7,1.4,3.4,1.5,1.0,-0.1,2.5,2.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,84.0,80.0,37.0,44.0,4.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-05,1466183,4925815,1471447.0,1188376,1144182.0,3274044,2627599,99.5,95.3,99.4,100.7,99.5,94.5,96.4,10.4,12.8,10.2,9.2,9.9,15.6,14.7,-0.1,0.1,-0.1,-0.2,0.2,-0.5,0.0,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,65.0,63.0,33.0,30.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-06,1408523,4673954,1414804.0,1142703,1075781.0,3117288,2518173,95.6,90.5,95.5,96.8,93.6,90.0,92.4,1.2,2.0,1.1,0.2,-0.6,5.1,5.0,-3.9,-5.1,-3.8,-3.8,-6.0,-4.8,-4.2,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,63.0,62.0,29.0,34.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-07,1431124,4656079,1437257.0,1165051,1097797.0,3143123,2528343,97.1,90.1,97.0,98.7,95.5,90.7,92.7,4.5,4.6,4.3,3.7,2.6,8.0,7.2,1.6,-0.4,1.6,2.0,2.0,0.8,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,110.0,108.0,58.0,51.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-08,1434698,4645749,1440812.0,1167132,1101197.0,3183059,2539881,97.3,89.9,97.3,98.9,95.8,91.9,93.2,6.5,2.9,6.4,5.7,4.6,11.1,9.5,0.2,-0.2,0.2,0.2,0.3,1.3,0.5,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,75.0,74.0,36.0,39.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-09,1449937,4749969,1455470.0,1176693,1125041.0,3259802,2586402,98.4,91.9,98.3,99.7,97.9,94.1,94.9,10.9,6.9,10.8,10.0,9.3,17.0,14.2,1.1,2.2,1.0,0.8,2.2,2.4,1.8,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,142.0,141.0,70.0,72.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-10,1397634,4577635,1403623.0,1133853,1072110.0,3141723,2496286,94.8,88.6,94.8,96.1,93.2,90.7,91.6,9.9,3.3,9.9,9.2,7.4,14.6,12.6,-3.6,-3.6,-3.6,-3.6,-4.7,-3.6,-3.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,140.0,139.0,70.0,68.0,1.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-11,1414570,4602085,1421780.0,1148571,1063370.0,3145844,2520847,96.0,89.1,96.0,97.3,92.5,90.8,92.5,11.6,7.4,11.5,11.0,8.1,14.8,14.0,1.2,0.5,1.3,1.3,-0.8,0.1,1.0,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,125.0,123.0,62.0,61.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2020-12,1447320,4697197,1454978.0,1175803,1082629.0,3205509,2574904,98.2,90.9,98.2,99.6,94.2,92.5,94.4,9.3,8.2,8.9,8.7,7.4,11.4,11.3,2.3,2.1,2.3,2.4,1.8,1.9,2.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,131.0,129.0,57.0,70.0,2.0
http://landregistry.data.gov.uk/data/ukhpi/region/kensington-and-chelsea/month/2021-01,1442226,4663003,1449465.0,1172834,1086146.0,3186526,2557202,97.8,90.3,97.9,99.4,94.5,92.0,93.8,6.6,6.7,6.3,6.1,4.7,8.6,8.2,-0.4,-0.7,-0.4,-0.3,0.3,-0.6,-0.7,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,124.0,123.0,61.0,63.0,1.0
