_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-01,297278,517183,291592.0,177878,393234.0,318296,249328,82.9,82.8,82.3,86.2,87.0,82.7,81.6,0.7,0.5,0.6,-0.7,0.9,1.2,1.2,0.0,0.1,-0.1,-0.2,1.0,0.0,0.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1711.0,1547.0,164.0,440.0,1233.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-02,294778,513486,288931.0,175989,393570.0,315442,247451,82.2,82.3,81.5,85.3,87.1,81.9,81.0,0.1,0.0,0.2,-1.5,-0.6,0.6,0.9,-0.8,-0.7,-0.9,-1.1,0.1,-0.9,-0.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1755.0,1575.0,180.0,459.0,1237.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-03,294470,513337,288199.0,175361,398975.0,315393,247242,82.2,82.2,81.3,84.9,88.3,81.9,80.9,0.2,0.0,0.3,-1.1,0.2,0.6,1.0,-0.1,0.0,-0.3,-0.4,1.4,0.0,-0.1,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1901.0,1677.0,224.0,530.0,1281.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-04,294572,514902,288254.0,174779,399574.0,315157,247598,82.2,82.5,81.3,84.7,88.4,81.9,81.1,1.0,1.2,1.0,-0.6,0.6,1.1,1.6,0.0,0.3,0.0,-0.3,0.2,-0.1,0.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,734.0,638.0,96.0,182.0,525.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-05,296959,518667,290107.0,176310,407626.0,318070,249395,82.9,83.1,81.9,85.4,90.2,82.6,81.6,1.2,1.7,1.0,-0.1,3.1,1.5,1.4,0.8,0.7,0.6,0.9,2.0,0.9,0.7,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,938.0,875.0,63.0,249.0,675.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-06,298564,520857,292107.0,176663,405595.0,320245,251163,83.3,83.4,82.4,85.6,89.7,83.2,82.2,1.5,2.1,1.4,-0.3,3.1,2.0,1.8,0.5,0.4,0.7,0.2,-0.5,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1412.0,1260.0,152.0,377.0,1009.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-07,299644,521281,293441.0,177827,404243.0,321515,252108,83.6,83.5,82.8,86.1,89.4,83.5,82.5,1.2,1.7,1.2,-0.6,1.8,1.7,1.4,0.4,0.1,0.5,0.7,-0.3,0.4,0.4,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1742.0,1559.0,183.0,516.0,1197.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-08,301716,525708,295755.0,177969,404172.0,323916,254344,84.2,84.2,83.5,86.2,89.4,84.1,83.3,1.7,2.1,1.8,-0.4,2.2,2.3,2.2,0.7,0.8,0.8,0.1,0.0,0.7,0.9,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1734.0,1546.0,188.0,474.0,1236.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-09,303907,531526,297606.0,178576,410002.0,326081,256141,84.8,85.1,84.0,86.5,90.7,84.7,83.9,1.8,2.5,1.8,-0.7,2.3,2.5,2.1,0.7,1.1,0.6,0.3,1.4,0.7,0.7,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,1911.0,1737.0,174.0,570.0,1318.0
http://landregistry.data.gov.uk/data/ukhpi/region/kent/month/2020-10,306495,538243,300647.0,178774,408493.0,328887,258595,85.5,86.2,84.8,86.6,90.4,85.4,84.7,2.6,3.6,2.7,-0.3,2.1,3.1,3.0,0.9,1.3,1.0,0.1,-0.4,0.9,1.0,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/kent,2453.0,2218.0,235.0,700.0,1703.0
