_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-01,515930,1081325,511404.0,347463,360949.0,667459,491437,86.5,83.2,85.4,90.9,89.1,83.7,84.5,1.6,1.6,1.6,0.5,-0.2,2.3,2.7,0.2,0.1,0.2,0.0,0.9,0.2,0.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,139.0,130.0,9.0,26.0,110.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-02,511393,1077308,508191.0,342798,361710.0,663796,488306,85.8,82.9,84.9,89.6,89.3,83.3,84.0,2.1,2.8,2.5,0.4,-1.1,3.2,3.6,-0.9,-0.4,-0.6,-1.3,0.2,-0.5,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,156.0,149.0,7.0,23.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-03,511738,1080542,509172.0,341663,367750.0,666795,489122,85.8,83.2,85.1,89.4,90.8,83.6,84.1,2.4,3.2,2.8,0.4,0.6,3.8,3.7,0.1,0.3,0.2,-0.3,1.7,0.5,0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,156.0,143.0,13.0,39.0,116.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-04,513306,1092236,511274.0,341086,366640.0,669817,492644,86.1,84.1,85.4,89.2,90.5,84.0,84.7,2.7,4.6,3.3,0.4,-0.6,4.4,4.1,0.3,1.1,0.4,-0.2,-0.3,0.5,0.7,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,74.0,69.0,5.0,13.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-05,511130,1084680,507824.0,340643,370270.0,665653,489478,85.7,83.5,84.8,89.1,91.4,83.5,84.2,2.7,4.7,3.0,0.8,2.4,4.1,3.5,-0.4,-0.7,-0.7,-0.1,1.0,-0.6,-0.6,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,55.0,52.0,3.0,12.0,42.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-06,506074,1071685,503826.0,336289,362546.0,660712,486407,84.9,82.5,84.2,87.9,89.5,82.9,83.7,-0.8,1.1,-0.3,-2.9,-1.3,0.9,0.3,-1.0,-1.2,-0.8,-1.3,-2.1,-0.7,-0.6,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,88.0,83.0,5.0,16.0,71.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-07,512048,1077743,510187.0,341092,365144.0,668133,491431,85.9,83.0,85.2,89.2,90.1,83.8,84.5,-3.1,-1.6,-2.5,-4.8,-4.6,-1.7,-2.1,1.2,0.6,1.3,1.4,0.7,1.1,1.0,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,155.0,141.0,14.0,25.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-08,526385,1112580,525364.0,348605,371732.0,690213,507113,88.3,85.6,87.8,91.2,91.8,86.6,87.2,-1.3,0.4,-0.6,-3.5,-3.9,0.5,0.0,2.8,3.2,3.0,2.2,1.8,3.3,3.2,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,159.0,152.0,7.0,23.0,131.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-09,528808,1123880,527542.0,349349,374379.0,694755,509520,88.7,86.5,88.1,91.4,92.4,87.1,87.6,-0.1,1.9,0.6,-2.5,-3.5,2.0,1.0,0.5,1.0,0.4,0.2,0.7,0.7,0.5,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,162.0,157.0,5.0,31.0,129.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-10,524019,1120088,524126.0,344326,365656.0,691056,506704,87.9,86.2,87.6,90.0,90.3,86.7,87.2,2.2,4.6,3.2,-0.6,-1.6,4.4,3.9,-0.9,-0.3,-0.6,-1.4,-2.3,-0.5,-0.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,191.0,178.0,13.0,27.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-11,519111,1111177,520541.0,340448,357055.0,684943,503177,87.1,85.5,87.0,89.0,88.1,85.9,86.5,0.4,2.7,1.6,-2.5,-2.9,2.6,2.4,-0.9,-0.8,-0.7,-1.1,-2.4,-0.9,-0.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,213.0,207.0,6.0,41.0,170.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2020-12,522255,1119287,524259.0,342009,357024.0,689356,507142,87.6,86.2,87.6,89.4,88.1,86.5,87.2,1.4,3.6,2.7,-1.6,-0.2,3.5,3.6,0.6,0.7,0.7,0.5,0.0,0.6,0.8,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,222.0,205.0,17.0,39.0,180.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-01,526256,1120085,527938.0,346694,361056.0,691540,509352,88.3,86.2,88.2,90.7,89.1,86.7,87.6,2.0,3.6,3.2,-0.2,0.0,3.6,3.6,0.8,0.1,0.7,1.4,1.1,0.3,0.4,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,192.0,185.0,7.0,27.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-02,527738,1113005,528580.0,350080,367036.0,689767,509265,88.5,85.7,88.3,91.6,90.6,86.5,87.6,3.2,3.3,4.0,2.1,1.5,3.9,4.3,0.3,-0.6,0.1,1.0,1.7,-0.3,0.0,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,281.0,267.0,14.0,43.0,238.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-03,533570,1112691,533518.0,357075,377289.0,692850,512822,89.5,85.6,89.1,93.4,93.1,86.9,88.2,4.3,3.0,4.8,4.5,2.6,3.9,4.8,1.1,0.0,0.9,2.0,2.8,0.4,0.7,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,404.0,398.0,6.0,86.0,318.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-04,531666,1108767,530718.0,356426,382848.0,689166,510401,89.2,85.3,88.7,93.2,94.5,86.4,87.8,3.6,1.5,3.8,4.5,4.4,2.9,3.6,-0.4,-0.4,-0.5,-0.2,1.5,-0.5,-0.5,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,225.0,218.0,7.0,31.0,193.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-05,530842,1109494,529934.0,355424,381958.0,688808,509552,89.0,85.4,88.5,93.0,94.3,86.4,87.6,3.9,2.3,4.4,4.3,3.2,3.5,4.1,-0.2,0.1,-0.1,-0.3,-0.2,-0.1,-0.2,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,190.0,184.0,6.0,30.0,158.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-06,535998,1120989,535740.0,357936,380607.0,695839,516781,89.9,86.3,89.5,93.6,94.0,87.3,88.9,5.9,4.6,6.3,6.4,5.0,5.3,6.2,1.0,1.0,1.1,0.7,-0.4,1.0,1.4,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,609.0,592.0,17.0,122.0,486.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-07,526354,1108964,526244.0,351046,372629.0,683337,506677,88.3,85.4,87.9,91.8,92.0,85.7,87.2,2.8,2.9,3.1,2.9,2.0,2.3,3.1,-1.8,-1.1,-1.8,-1.9,-2.1,-1.8,-2.0,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,72.0,70.0,2.0,14.0,58.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-08,533518,1138299,534069.0,353433,372712.0,695941,513639,89.5,87.6,89.2,92.4,92.0,87.3,88.3,1.4,2.3,1.7,1.4,0.3,0.8,1.3,1.4,2.6,1.5,0.7,0.0,1.8,1.4,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,151.0,150.0,1.0,28.0,123.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-09,534433,1150635,535046.0,352465,372901.0,699891,513576,89.6,88.6,89.4,92.2,92.1,87.8,88.3,1.1,2.4,1.4,0.9,-0.4,0.7,0.8,0.2,1.1,0.2,-0.3,0.1,0.6,0.0,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,337.0,321.0,16.0,63.0,272.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-10,555036,1203989,556720.0,363305,379318.0,732173,533784,93.1,92.7,93.0,95.0,93.6,91.8,91.8,5.9,7.5,6.2,5.5,3.7,5.9,5.3,3.9,4.6,4.1,3.1,1.7,4.6,3.9,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,135.0,109.0,26.0,24.0,111.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-11,557481,1210041,558939.0,364673,382717.0,735959,536068,93.5,93.1,93.4,95.4,94.5,92.3,92.2,7.4,8.9,7.4,7.1,7.2,7.4,6.5,0.4,0.5,0.4,0.4,0.9,0.5,0.4,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,162.0,145.0,17.0,29.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2021-12,553355,1208655,555464.0,360456,375038.0,732830,532345,92.8,93.0,92.8,94.3,92.6,91.9,91.6,6.0,8.0,6.0,5.4,5.0,6.3,5.0,-0.7,-0.1,-0.6,-1.2,-2.0,-0.4,-0.7,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,165.0,150.0,15.0,37.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-01,552489,1203706,554698.0,359263,373699.0,732810,533054,92.7,92.7,92.7,94.0,92.3,91.9,91.7,5.0,7.5,5.1,3.6,3.5,6.0,4.7,-0.2,-0.4,-0.1,-0.3,-0.4,0.0,0.1,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,168.0,161.0,7.0,34.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-02,552831,1200855,555307.0,360123,375562.0,732872,533567,92.7,92.4,92.8,94.2,92.7,91.9,91.8,4.8,7.9,5.1,2.9,2.3,6.2,4.8,0.1,-0.2,0.1,0.2,0.5,0.0,0.1,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,168.0,147.0,21.0,29.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-03,560048,1218323,562197.0,364313,385924.0,743858,540106,93.9,93.8,93.9,95.3,95.3,93.3,92.9,5.0,9.5,5.4,2.0,2.3,7.4,5.3,1.3,1.5,1.2,1.2,2.8,1.5,1.2,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,194.0,181.0,13.0,40.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-04,564072,1225580,566206.0,366965,389666.0,748201,545171,94.6,94.3,94.6,96.0,96.2,93.9,93.8,6.1,10.5,6.7,3.0,1.8,8.6,6.8,0.7,0.6,0.7,0.7,1.0,0.6,0.9,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,154.0,137.0,17.0,21.0,133.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-05,570254,1240614,572559.0,369472,389170.0,758157,552489,95.7,95.5,95.6,96.6,96.1,95.1,95.0,7.4,11.8,8.0,4.0,1.9,10.1,8.4,1.1,1.2,1.1,0.7,-0.1,1.3,1.3,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,212.0,196.0,16.0,33.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-06,571324,1238311,573726.0,370235,386902.0,758721,555144,95.8,95.3,95.8,96.8,95.5,95.2,95.5,6.6,10.5,7.1,3.4,1.7,9.0,7.4,0.2,-0.2,0.2,0.2,-0.6,0.1,0.5,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,208.0,188.0,20.0,56.0,151.0
http://landregistry.data.gov.uk/data/ukhpi/region/kingston-upon-thames/month/2022-07,589248,1276071,591771.0,380740,397597.0,783989,573878,98.8,98.2,98.9,99.6,98.2,98.3,98.7,11.9,15.1,12.5,8.5,6.7,14.7,13.3,3.1,3.0,3.1,2.8,2.8,3.3,3.4,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,223.0,192.0,31.0,49.0,170.0
