_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-01,148373,256566,145031.0,94400,248057.0,156065,117311,78.7,79.4,78.1,82.9,81.0,78.6,77.7,2.9,2.5,3.0,1.2,2.3,3.3,3.1,0.8,0.9,0.7,0.5,1.7,0.7,0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,428.0,403.0,25.0,132.0,288.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-02,148752,257218,145481.0,94187,250715.0,156398,117746,78.9,79.6,78.3,82.7,81.9,78.7,78.0,4.2,3.7,4.4,1.7,2.4,4.5,4.6,0.3,0.3,0.3,-0.2,1.1,0.2,0.4,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,423.0,391.0,32.0,105.0,309.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-03,147963,256244,144675.0,93495,253123.0,155655,116999,78.4,79.3,77.9,82.1,82.7,78.3,77.5,4.2,3.7,4.4,1.9,3.5,4.5,4.7,-0.5,-0.4,-0.6,-0.7,1.0,-0.5,-0.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,428.0,384.0,44.0,102.0,312.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-04,145021,251391,141798.0,90873,248086.0,152435,114835,76.9,77.7,76.3,79.8,81.0,76.7,76.1,2.6,2.4,2.8,-0.3,1.5,2.8,3.0,-2.0,-1.9,-2.0,-2.8,-2.0,-2.1,-1.8,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,230.0,201.0,29.0,60.0,165.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-05,143340,248751,139910.0,90107,248911.0,150772,113299,76.0,76.9,75.3,79.1,81.3,75.9,75.0,0.4,0.7,0.4,-1.8,2.0,0.7,0.4,-1.2,-1.1,-1.3,-0.8,0.3,-1.1,-1.3,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,257.0,235.0,22.0,68.0,183.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-06,144158,249611,140893.0,90195,247602.0,151776,114107,76.4,77.2,75.8,79.2,80.9,76.4,75.6,0.0,0.1,0.0,-2.8,1.5,0.3,0.0,0.6,0.3,0.7,0.1,-0.5,0.7,0.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,390.0,347.0,43.0,111.0,270.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-07,146925,253944,143732.0,92451,250297.0,154811,116247,77.9,78.5,77.4,81.2,81.8,77.9,77.0,0.9,0.9,1.0,-1.5,1.3,1.3,0.8,1.9,1.7,2.0,2.5,1.1,2.0,1.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,432.0,388.0,44.0,114.0,310.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-08,152325,263514,149151.0,95188,257405.0,160577,120535,80.7,81.5,80.3,83.6,84.1,80.8,79.8,2.5,2.6,2.8,-0.3,2.4,3.1,2.4,3.7,3.8,3.8,3.0,2.8,3.7,3.7,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,420.0,387.0,33.0,96.0,312.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-09,153054,265702,149756.0,95413,260232.0,161190,120983,81.1,82.2,80.6,83.8,85.0,81.1,80.1,3.2,3.6,3.4,0.0,2.8,3.9,2.8,0.5,0.8,0.4,0.2,1.1,0.4,0.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,494.0,453.0,41.0,120.0,368.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-10,155362,270229,152176.0,95999,261768.0,163512,122899,82.4,83.6,81.9,84.3,85.5,82.3,81.4,4.7,5.4,5.0,0.9,4.1,5.2,4.6,1.5,1.7,1.6,0.6,0.6,1.4,1.6,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,672.0,642.0,30.0,162.0,496.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-11,155675,270581,152716.0,96012,258865.0,163541,123433,82.5,83.7,82.2,84.3,84.6,82.3,81.8,6.3,6.9,6.7,2.3,5.2,6.3,6.6,0.2,0.1,0.4,0.0,-1.1,0.0,0.4,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,628.0,595.0,33.0,145.0,473.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2020-12,159234,276450,156356.0,97947,262593.0,167096,126519,84.4,85.5,84.2,86.0,85.8,84.1,83.8,8.1,8.7,8.6,4.2,7.7,7.8,8.6,2.3,2.2,2.4,2.0,1.4,2.2,2.5,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,676.0,641.0,35.0,184.0,472.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2021-01,160766,277414,158013.0,99871,262924.0,168712,128037,85.2,85.8,85.1,87.7,85.9,84.9,84.8,8.4,8.1,9.0,5.8,6.0,8.1,9.1,1.0,0.3,1.1,2.0,0.1,1.0,1.2,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,444.0,411.0,33.0,116.0,328.0
http://landregistry.data.gov.uk/data/ukhpi/region/kirklees/month/2021-02,162305,278311,159564.0,101727,265019.0,170229,129673,86.0,86.1,85.9,89.3,86.6,85.7,85.9,9.1,8.2,9.7,8.0,5.7,8.8,10.1,1.0,0.3,1.0,1.9,0.8,0.9,1.3,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/kirklees,667.0,627.0,40.0,182.0,484.0
