_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-01,129149,215737,122727.0,71052,194618.0,134213,100019,73.5,75.7,72.2,74.3,74.9,73.1,71.5,1.4,1.2,1.3,-0.6,1.6,1.5,1.6,-1.0,-0.6,-1.1,-1.3,-0.1,-1.0,-1.1,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,162.0,122.0,40.0,35.0,122.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-02,130486,217930,124046.0,71950,198981.0,135613,101213,74.3,76.5,73.0,75.2,76.5,73.9,72.4,3.0,2.3,3.2,0.9,2.3,3.1,3.7,1.0,1.0,1.1,1.3,2.2,1.0,1.2,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,167.0,130.0,37.0,35.0,126.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-03,130367,218084,123800.0,72071,201853.0,135607,100948,74.2,76.5,72.8,75.3,77.7,73.9,72.2,2.2,1.4,2.5,1.2,2.3,2.4,3.0,-0.1,0.1,-0.2,0.2,1.4,0.0,-0.3,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,150.0,106.0,44.0,20.0,124.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-04,130993,219579,124258.0,71839,203502.0,136120,101496,74.6,77.0,73.1,75.1,78.3,74.1,72.6,2.8,2.4,3.0,1.4,2.9,2.8,3.4,0.5,0.7,0.4,-0.3,0.8,0.4,0.5,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,64.0,59.0,5.0,9.0,55.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-05,131873,222379,124589.0,71945,207322.0,137030,101574,75.1,78.0,73.3,75.2,79.8,74.6,72.6,3.5,4.2,3.2,2.1,6.1,3.5,3.3,0.7,1.3,0.3,0.1,1.9,0.7,0.1,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,88.0,79.0,9.0,20.0,67.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-06,132981,223365,126014.0,72443,207259.0,138316,102732,75.7,78.4,74.1,75.7,79.7,75.3,73.4,4.1,4.7,3.9,2.3,6.9,4.3,4.0,0.8,0.4,1.1,0.7,0.0,0.9,1.1,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,136.0,106.0,30.0,24.0,109.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-07,133553,222938,127000.0,73416,205977.0,139020,103621,76.0,78.2,74.7,76.7,79.2,75.7,74.1,2.7,2.6,2.9,1.5,4.1,3.0,2.9,0.4,-0.2,0.8,1.3,-0.6,0.5,0.9,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,148.0,123.0,25.0,36.0,107.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-08,132231,219503,126163.0,72511,201883.0,137694,103195,75.3,77.0,74.2,75.8,77.7,75.0,73.8,0.6,0.1,1.1,-0.6,1.3,1.0,1.1,-1.0,-1.5,-0.7,-1.2,-2.0,-1.0,-0.4,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,115.0,95.0,20.0,16.0,96.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-09,133915,222845,127609.0,73077,205213.0,139326,104451,76.2,78.2,75.1,76.4,78.9,75.9,74.7,1.7,1.3,2.2,-0.1,2.0,2.1,2.1,1.3,1.5,1.1,0.8,1.6,1.2,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,174.0,149.0,25.0,30.0,135.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-10,136814,227748,130594.0,74286,208591.0,142292,106808,77.9,79.9,76.8,77.6,80.2,77.5,76.4,3.9,3.8,4.5,1.8,4.2,4.2,4.5,2.2,2.2,2.3,1.7,1.6,2.1,2.3,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,186.0,170.0,16.0,41.0,139.0
http://landregistry.data.gov.uk/data/ukhpi/region/knowsley/month/2020-11,139976,232502,134007.0,76281,211557.0,145445,109670,79.7,81.6,78.8,79.7,81.4,79.2,78.4,8.0,7.6,8.8,6.1,8.1,8.0,9.2,2.3,2.1,2.6,2.7,1.4,2.2,2.7,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/knowsley,182.0,165.0,17.0,38.0,132.0
