_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-01,560049,1121233,556167.0,474657,568972.0,976878,758555,96.5,90.6,95.7,98.2,99.9,91.7,92.2,4.2,4.6,4.3,3.7,3.2,5.7,6.0,0.5,0.5,0.4,0.5,1.1,0.5,0.7,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,220.0,192.0,28.0,35.0,177.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-02,554805,1118144,550497.0,469584,568616.0,971303,753970,95.6,90.4,94.7,97.2,99.8,91.2,91.6,4.6,5.8,4.9,3.8,2.4,6.6,6.9,-0.9,-0.3,-1.0,-1.1,-0.1,-0.6,-0.6,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,271.0,189.0,82.0,55.0,203.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-03,551841,1120183,546813.0,466429,572456.0,971948,752438,95.1,90.5,94.1,96.5,100.5,91.3,91.5,3.6,5.2,3.7,2.9,2.6,5.9,5.7,-0.5,0.2,-0.7,-0.7,0.7,0.1,-0.2,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,271.0,218.0,53.0,59.0,201.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-04,538001,1098097,533012.0,454143,558781.0,949451,736378,92.7,88.7,91.7,94.0,98.1,89.2,89.5,0.6,2.7,0.8,-0.2,-0.7,3.0,2.7,-2.5,-2.0,-2.5,-2.6,-2.4,-2.3,-2.1,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,137.0,101.0,36.0,31.0,101.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-05,543522,1099567,537278.0,459700,573646.0,954338,740152,93.6,88.9,92.5,95.1,100.7,89.6,90.0,2.5,4.0,2.3,2.1,4.2,4.2,3.6,1.0,0.1,0.8,1.2,2.7,0.5,0.5,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,129.0,118.0,11.0,36.0,87.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-06,552494,1110328,546959.0,467193,577058.0,968759,753436,95.2,89.7,94.1,96.7,101.3,91.0,91.6,2.3,3.2,2.2,1.9,3.8,3.8,3.5,1.7,1.0,1.8,1.6,0.6,1.5,1.8,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,175.0,143.0,32.0,40.0,132.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-07,572980,1148702,568028.0,484529,592418.0,1004480,781411,98.7,92.8,97.8,100.3,104.0,94.3,95.0,4.9,6.0,5.0,4.5,5.1,6.5,6.2,3.7,3.5,3.9,3.7,2.7,3.7,3.7,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,296.0,203.0,93.0,58.0,228.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-08,579325,1172119,575432.0,488304,590510.0,1024090,797044,99.8,94.7,99.0,101.0,103.6,96.2,96.9,4.1,5.3,4.3,3.4,3.0,6.0,5.8,1.1,2.0,1.3,0.8,-0.3,2.0,2.0,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,257.0,225.0,32.0,47.0,202.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-09,582791,1192030,578844.0,489989,594269.0,1038310,806804,100.4,96.3,99.6,101.4,104.3,97.5,98.1,5.0,7.3,5.3,4.1,3.1,7.9,7.2,0.6,1.7,0.6,0.3,0.6,1.4,1.2,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,265.0,232.0,33.0,50.0,208.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-10,580331,1196413,577241.0,487007,585555.0,1038582,807417,100.0,96.7,99.3,100.8,102.8,97.5,98.1,5.6,8.3,6.0,4.6,3.2,8.5,8.3,-0.4,0.4,-0.3,-0.6,-1.5,0.0,0.1,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,325.0,293.0,32.0,54.0,263.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-11,579400,1193306,577172.0,486383,578370.0,1033717,806010,99.8,96.4,99.3,100.6,101.5,97.1,98.0,4.7,7.6,5.1,3.7,2.3,7.2,7.6,-0.2,-0.3,0.0,-0.1,-1.2,-0.5,-0.2,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,334.0,312.0,22.0,40.0,282.0
http://landregistry.data.gov.uk/data/ukhpi/region/lambeth/month/2020-12,572048,1179046,570418.0,480071,566908.0,1019321,796928,98.5,95.3,98.2,99.3,99.5,95.7,96.9,2.6,5.7,3.0,1.6,0.8,4.9,5.8,-1.3,-1.2,-1.2,-1.3,-2.0,-1.4,-1.1,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/lambeth,403.0,380.0,23.0,57.0,333.0
